,id,job_title,job_type,job_exp,company,industries,location,description,source,search_kw,expected_salary,post_date,job_function,remote
0,2919840962,Production Technician - PM Shift - 7:30pm - 7:30am - $17.20 + $1.50 - Golden West Baking Company,Full-time,Associate,C.H. Guenther & Son,"Food and Beverage Services, Food and Beverage Manufacturing, and Manufacturing","Delta, BC","

        Our heritage is driven by our commitment to the core values of People, Quality and Growth; our employees demonstrate, promote and exemplify our core values.

At Guenther Bakeries - Canada we demonstrate high integrity, a commitment to excellence, and a positive attitude in all that we do. We are results driven, lead by example, communicate openly and honestly, value diversity and foster long-term relationships.

Operate Department under HACCP regulations and WCB safety guidelines. Rotate position with Technician #1, #2, #3, #4 equally throughout shift. Priority for all areas in packaging is to ensure that customer satisfaction and requirements are met at all times, responsible for final quality control check and proper documentation. Final stages for QC control are in this area. It is everyone’s responsibility. If no Bagger Operator, Technician #1 will absorb the duties and responsibilities. Send each other for breaks.


Reports to:
 Supervisor


Dress Code:
 White Uniform and steel toe shoes

______________________________________________________________________________



Functions



Operate Department under HACCP regulations and WCB safety guidelines. Rotate position with Technician #1, #2, #3, #4 equally throughout shift. Priority for all areas in packaging is to ensure that customer satisfaction and requirements are met at all times, responsible for final quality control check and proper documentation. Final stages for QC control are in this area. It is everyone’s responsibility. If no Bagger Operator, Technician #1 will absorb the duties and responsibilities. Send each other for breaks.



Duties And Responsibilities On All Shifts




Technician #1




Duties Performed While At The Culler Position




Culler is to ensure that muffins meet customer requirements prior to bagging Priority QC area.

Ensure that all product is conveyed, sliced, forked grouped and packaged properly.

Clear jam-ups at the forkers, conveyors when needed

Clear jam-ups at air divider.

Assist Bagger Operator with bag and Quick Lock Changes

Assist Bagger operator when machine jams and tray off muffins when needed for all products.

Rebag product manually if needed

Report all equipment problems to the Bagger Operator. Page for a mechanic if necessary.

Keep muffin-packaging area organized, clean and sanitary. Dust machines and sweep the floor during production when possible. Set up double forkers for Raisin dough’s and clean blades after Raisin production.

Keep top surfaces of machines clear and clean.

Keep all tools in proper storage.

Adhere strictly to all Good Manufacturing Practices (GMP’s) outlined for working in a food processing plant.

Assist in general cleaning of machinery and plant facility as assigned when production is stopped.

Work as a Team and cooperate with your fellow team members at all times.

Work under the direction of the Bagger Operator.

Communicate any product loss, time loss, QA issues, or machine problems to the Shift Supervisor



Technician # 2 and # 3




Duties Performed While On The Take Off Positions




Ensure product is in proper bag and has correct clear kwik lok print.

Tray or box packages of English Muffins for shipping. 

Check metal detectors as required and filling log sheets accordingly.

Place properly packaged English Muffins into clean plastic trays or boxes.

Assist Packaging area helper in stacking boxes or trays on pallets (skids) or carts when needed.

Assist Culler clearing jam-ups around air divider and reset diverter gate. Help if needed with forker jam ups.

Clean and remove muffins from diverter gate area.

Organize take-off area for the next run and at changeover times (set up trays, boxes dividers and skids).

Assist with bringing trays to Take-off area during production breaks.

Keep muffin-packaging area organized, clean and sanitary. Clean the take-off roundtables and sweep the floor during production when possible.

Adhere strictly to all Good Manufacturing Practices (GMP’s) outlined for working in a food processing plant.

Assist in general cleaning of machinery and plant facility as assigned when production is stopped.

Work as a team and cooperate with your fellow team members at all times.

Work under the Direction of the Bagger Operator

Communicate with Bagger Operator about shortages and needed product.

Set up box machine for customer and products with printing details on boxes, codes, lot numbers etc.

Communicate any product loss, time loss, QA issues, or machine problems to the Shift Supervisor


Technician #4



Duties while performing Extra position
Assist Bagger Operator with bag changeovers.

Responsible for rebagging all muffins.

Take boxed product off both lines and stack onto proper skids.

Assist Take Off with rebagging product when needed.

Ensure that all muffins are cleaned up prior to another product starting in the packaging area.

Responsible for breaking down stacks of trays to a manageable height.

Assist with the removal of large waste product bins.

Assist helper and take off with pulling trays in and out of area and breaking trays down if to high

Assist with sweeping the floor, cleaning machines and empting waste buckets.

Clean UBE packaging machines when required at the end of production.

Work as a team and cooperate with your fellow team members at all times.

Assist bagger operator with any tasks required

Assist technicians #1, 2, and #3 with any tasks that do not impede completion of other duties

Communicate any product loss, time loss, QA issues, or machine problems to the Shift Supervisor



Specific Job Requirements For All Technicians For Rotation




Safety Training for Technicians



Training on proper lifting, bending and stretching techniques, provided by Production Coordinator and training team member.

Job rotation after every 2 hours or after breaks and lunches

Ergonomics risks defined during training.

Risk assessment gone over for proper lifting and handling of tray stacks, Chep pallets, and movement.

Physically able to lift and handle up to 20 kg weights regularly.

Strong Organizational Skills.

Participation in muffin forking inspection as required by Production Coordinator.


We offer extremely competitive compensation and benefit programs that include medical, dental, retirement savings plan, and more.

For additional information about our company, go to www.chg.com or gizellapastry.com .




",Linkedin,Production Technician,,2022-03-08 11:00:34,Management and Manufacturing,
1,2946264021,Production Line Operator,Full-time,,YaYA Foods Corp.,,"Toronto, ON","



Ya YA Foods Corp. is looking for a Production Line Operators in Toronto, ON!






ABOUT YA YA FOODS:


Ya YA Foods Corp. is a dynamic beverage and liquid food manufacturer. With over 30 years experience, we have evolved into a versatile manufacturer and co-packer of a variety of low acid beverages, high acid beverages and liquid food items.




We are looking for a 
Production Line Equipment Operators
 to monitor the flow of finished products from individual packages to boxed packaging, through to the palletizing process. Inspect packaging randomly and at prescribed intervals and conduct hourly checks for codes, sleeves, labels and or straw positioning, and seals.





Employment Conditions:


· Full Time, Permanent – 42 hours a week – 12 hours shifts (Continental Shift)

· Shift Rotation: Day Shift (7 am to 7 pm) for 7 days, and then Night Shift (7 pm to 7 am) for 7 nights on a monthly basis. Shift rotates every 2 weeks.





What You’ll Do as the Production Line Worker:


· Monitor packing lines, including: straw applicator, shrink wrappers, case sealer &amp; date  coding equipment.

· Check conveyors prior to production to ensure equipment is functioning properly.

· Follow proper cleaning procedures for all equipment.

· Maintain all equipment and work area in a clean and sanitary condition.

· Alert mechanic if equipment malfunctions and work with them to correct problem.

· Perform work in safe and efficient manner.

· Compliance with the Company's Integrated Management Systems which includes, but is not limited to Production, Quality, Food Safety &amp; GMP.

· Compliance with the Company's Health, Safety, and Environmental requirements.

· Other duties as assigned.





Job Requirements &amp; Qualifications:


· High attention to detail is critical.

· Ability to stand on your feet for long periods of time.

· Ability to work in a team environment with minimal supervision.

· Ability to work in a fast – paced environment and have demonstrated problem solving skills.

· Ability to learn multiple pieces of operating equipment and possess an ability to troubleshoot equipment.

· You must be willing to work any shift pattern assigned to you.

· Grade 12 education or equivalent experience.

· Good communication skills, both written and verbal.

· Adherence to strict GMP (Good Manufacturing Practices).

· Previous related machine operator experience is an asset.





Apply today and be a part of our team, delivering exceptional manufacturing services and food products to top–notch clients all across North America.






Ya YA Foods celebrates diversity in our workforce. We encourage different perspectives and a working environment that is supportive of all our people – where every employee has the opportunity to realize his or her potential to the fullest. We gladly provide accommodations to any candidate with a disability taking part in the selection process upon request.






Successful candidates will be required to provide photo ID, banking details, and valid SIN #, and valid work permit (if applicable) for the hiring process.





Job Types: Full-time, Permanent

Pay: From $17.00 per hour + $1000 signing bonus!!


",Linkedin,Production Technician,,2022-03-08 15:23:02,,
2,2954857495,Process Technician – Deburr,Full-time,Entry level,Collins Aerospace,Aviation and Aerospace Component Manufacturing,"Oakville, ON","

        Reporting to the Surface Finishing Supervisor, the Process Technician - Deburr will be primarily responsible for supporting the schedule and Quality requirements by performing the tasks of deburring, filing, polishing and cleaning of Before Heat treat landing gear components to drawing.


 Shift and Shift Hours – Weekday Afternoons (Monday - Thursday 4pm - 2am)



 PRIMARY RESPONSIBILITIES: 



Perform deburring, filing, polishing and cleaning of landing gear components as specified

Support quality initiative by performing operator self verification (OSV)

Operate overhead cranes to move large parts

Participate actively in LEAN and Continuous Improvement initiatives

Perform other duties as assigned

Support rework &amp; surface finishing parts as required.




 BASIC QUALIFICATIONS: 



High school diploma and relevant experience.

Experience using overhead cranes would be considered an asset

Demonstrated ability to work to exact drawing specifications (Dimensional &amp; Finish)

Previous experience Deburring Titanium is considered an asset.

Demonstrated ability to read and follow instructions from production order cards and manufacturing process sheets

Demonstrated ability to read micrometers / verniers; prior deburr experience is essential

Demonstrated ability to use Matrix and read &amp; interpret latest MPS/APS

Strong team player with strong verbal and written communication skills

Successful candidates must meet and be cleared under all requirements relating to ITAR and CGD



Collins Aerospace, a Raytheon Technologies company, is a leader in technologically advanced and intelligent solutions for the global aerospace and defense industry. Collins Aerospace has the capabilities, comprehensive portfolio and expertise to solve customers’ toughest challenges and to meet the demands of a rapidly evolving global market.

The high quality products we design, test and produce in our Mechanical Systems help millions of passengers reach their destinations safely – every day! From landing systems and actuation to propellers, flight controls and hoist and winch – the products we manufacture work together behind the scenes to enhance the overall flight experience. We delight our customers with superior products and best-in-class service. Our global team is committed to continuous improvement – we work hard to make our solutions lighter-weight, stronger and more technically advanced, so that plane travel can be safer, more affordable and more sustainable in the years to come. We are looking for the best and brightest to fly and land with us!


Collins Aerospace Diversity &amp; Inclusion Statement:



Diversity drives innovation; inclusion drives success
. We believe a multitude of approaches and ideas enable us to deliver the best results for our workforce, workplace, and customers. We are committed to fostering a culture where all employees can share their passions and ideas so we can tackle the toughest challenges in our industry and pave new paths to limitless possibility.


WE ARE REDEFINING AEROSPACE.


",Linkedin,Production Technician,,2022-03-08 04:46:31,Management and Manufacturing,
3,2957951564,Production Operator/Assembly Line Operator Will Train up to $20.26/hr,Temporary,Entry level,Regis and Smith,Human Resources Services,"Mississauga, ON","

        We are seeking assembly line/process operators at our Mississauga assembly plant.

We are one of the worlds premier tier 1 Auto manufacturers.

You work directly for the company. We are just a screening agency.



Requirements




 You must be able to do repetitive work and stand on your feet for an entire shift.

 No experience required as we will train.




Why Work With Us




 Starting hourly wage of $19.26 per hour-$20.26 for afternoon shift

 40 hours weekly with lots of available overtime

 Wage increases over the years can go to $30 per hour

 This is a career position with a fortune 500 company

 Full Extended Benefits after probation period

 Group RRSP with matching contributions


If you are looking for the opportunity of a lifetime to change your life. This is it. Apply now for an immediate interview.



About Regis And Smith



While we primarily specialize in permanent placements of great people with great companies we also provide our business clients temporary staff to fill in for vacation and sick days as well to supplement their permanent workforce to meet high demand production times.

We serve both our business and job seeker clients with honesty and respect to fulfil each parties expectations and needs.
      
",Linkedin,Production Technician,,2022-03-07 23:56:41,Management and Manufacturing,
4,2959232605,Surmont Production Delivery Optimization Engineer,Full-time,Not Applicable,ConocoPhillips,Oil and Gas,"Calgary, AB","



Company Overview



Headquartered in Houston, Texas, ConocoPhillips has operations and activities in 14 countries, $87 billion of total assets, and approximately 9,900 employees as of Sept. 30, 2021. Production excluding Libya averaged 1,514 MBOED for the nine months ended Sept. 30, 2021, and proved reserves were 4.5 BBOE as of Dec. 31, 2020. For more information, go to www.conocophillips.com.

In Canada, we can trace our history back over 110 years. Headquartered in Calgary, Alberta, our current investment programs are focused on the operated Surmont oil sands development in the Athabasca region of northeast Alberta and the liquids rich Montney unconventional play in northeast British Columbia. Our production averaged 70 MBOED in 2020 and proved reserves were 0.4 BBOE.

Our story demonstrates our commitment to the community, our innovative approach to technology and our adaptability during the changes faced by our industry. We believe that diverse opinions, ideas and perspectives are what fuels innovation, and we reinforce this belief throughout our company. Our workforce represents the international communities in which we live and work, bringing together talented people from a variety of backgrounds and experiences. Consistent with our focus on excellence, ConocoPhillips continues to discover and develop best practices in diversity, equity and inclusion – for the good of our enterprise, our employees, our vendors and our communities.



Description



ConocoPhillips Canada (CPC) is currently recruiting a Production Optimization Engineer to report to the Calgary based Production Delivery Team Lead in our Oil Sands Operations. The Production Delivery Production Optimization Engineer will be responsible for a wide spectrum of integrated tasks within the team ranging from short and long term asset forecasting, integrated planning optimization, and operation KPI surveillance throughout the asset. The selected candidate needs to develop a thorough understanding of the overall operation of CPC’s Surmont SAGD asset including the wells and central processing facilities.

This is an excellent opportunity for an engineer who is interested in multi-disciplinary scope, has strong communication skills, and would like to expand their areas of expertise in operations



Primary Responsibilities




Develop the 120 day asset operational plan in collaboration with reservoir, production, and integrated planning teams. 

Development of the Weekly Production Forecast. 

Seek out optimization opportunities within the integrated plan to optimize production impacting scope. 

Surveillance of day to day asset operational health KPI’s to support optimization of all operational inputs. 

Support asset curtailment and ramp up plans as required by the integrated plan. 

Identify opportunities to optimize and shelter production impacting scope. 

Support identification of asset constraints and debottlenecking opportunities and options. 

Support Outage and Turnaround projects with ramp down and ramp up planning options and optimization opportunities. 

Champion the use of Data Analytics tools to optimize plant performance. 

Comply with the policies, goals, efforts, and programs of CPC’s Health, Safety and Environmental (HSE) Management System. 




Secondary Responsibilities




Provides coverage for the Field Production Optimization Engineer (field based), Sales and Blending Engineer, PD Production Engineer, and Integrated Facilities Engineer. 

Active participant of Asset Event Management when unforeseen facility events occur. 

Supports asset integrated planning. 

Supports asset losses coordination. 




Required Qualifications




Degree in Engineering or equivalent. 

Minimum 3 years in oil/gas engineering role. 

Strong commitment to CPC’s SPIRIT values. 

Strong team player. 

Legally authorized to work in Canada on a full-time basis without restrictions 




Preferred Qualifications




Understanding of SAGD heavy oil production. 

Excellent communication and organizational skills. 

Strong analytical and problem-solving skills. 

Self-starter, willing to work independently and across organizational boundaries. 

Strong commitment to safety and support of CPC core values. 

Production Engineering and/or Process Engineering experience. 




ConocoPhillips Canada is committed to providing a safe working environment for our employees. The successful candidate will be required to provide proof of being fully vaccinated against COVID-19 with all recommended doses of a Health Canada approved vaccine as a condition of employment and prior to finalizing a start date. Reasonable accommodations may be provided to the successful candidate if they are not vaccinated, and they qualify for an exemption based on an accepted medical or religious ground.





In order to be considered for this position you must complete the entire application process, which includes answering all prescreening questions and providing your eSignature on or before the requisition closing date of March 21, 2022.





Current employees: Please ensure you have discussed your intent to apply with your current supervisor prior to applying for any internal position.





For information on our Sustainable Development performance in Canada, visit 



www.cpcsustainability.ca





ConocoPhillips is an Equal Opportunity Employer.




Job Function


Engineering


Job Level


Individual Contributor/Staff Level


Primary Location


NORTH AMERICA-CANADA-ALBERTA-CALGARY


Organization


OPERATIONS AND EXECUTION


Line of Business


Exploration &amp; Production


Job Posting


Mar 7, 2022, 5:39:22 PM
      
",Linkedin,Production Technician,,2022-03-08 10:39:35,Engineering and Information Technology,
5,2946269470,Process Technician,Full-time,Associate,Cargill,"Food and Beverage Services, Chemical Manufacturing, and Food and Beverage Manufacturing","Camrose, AB","

        Want to build a stronger, more sustainable future and cultivate your career? Join Cargill's global team of 155,000 employees who are committed to safe, responsible and sustainable ways to nourish the world. This position is in Cargill’s agricultural supply chain business, where we seamlessly connect farming customers with food, feed and industry.

The Cargill Agricultural Supply Chain (CASC) connects producers and users of grains and oilseeds around the globe through sourcing, storing, trading, processing and distributing, as well as offering a range of financial, risk management and customized farmer services. Working at Cargill is an opportunity to thrive–a place to develop your career to the fullest while engaging in meaningful work that makes a positive impact around the globe. We depend on creative, responsible, hardworking individuals like you to operate our business successfully!



Principal Accountabilities




Executing processes and operating all equipment of a designated area; departments may include preparation,refinery, extraction,steam generation, biodiesel, and grain drying

Monitoring equipment, operating control systems, processing samples, and utilizing computer systems to input and record data as necessary

Inspecting buildings, grounds, and equipment utilized by facility to troubleshoot, perform light maintenance,and complete repair work

Interacting regularly with peers and management to pursue continuous improvement with operations and promote a teamwork focused environment

Understanding and adhering to all safety rules and regulation

Maintaining a safe and clean work environment

Other duties as assigned




Requirements




Must be legally entitled to work for Cargill in Canada

Must be 18 years or older

Ability to understand and communicate in English (verbal/written)

Ability to perform physical job duties which may include bending, lifting up to 50lbs, kneeling,climbing, crawling, and twisting safely, with or without a reasonable accommodation

Ability to work in varied indoor and outdoor conditions which may include heat, cold, dust, loud noise, etc., with the use of personal protective equipment (PPE) including a respirator

Ability to work in elevated areas (4 feet and above)

Ability to work in confined spaces

Ability to work overtime including weekends and holidays with advance notice

Basic use of a computer




Preferred Qualifications




High school diploma/GED or a minimum of two years equivalent work experience

Experience in a production and/or similar military environment

Experience with continuous flow process environments, such as crush, refinery, or biodiesel operations

Experience with computerized maintenance management systems (CMMS) and/or automated computer systems, such as Human Machine Interface (HMI)



Shift:
 Rotating Shift


Considered candidates will receive a phone call from a (204) area code.



Equal Opportunity Employer, including Disability/Vet.


Cargill is an equal opportunity employer and committed to providing accommodation to our job applicants with disabilities.
      
",Linkedin,Production Technician,,2022-03-08 16:19:15,"Quality Assurance, Production, and Engineering",
6,2957993696,Technicien de production - VS2,Full-time,Not Applicable,GSK,Pharmaceutical Manufacturing,"Québec, QC","


Site Name:
 Canada - Quebec - Quebec


Posted Date:
 Mar 7 2022



Technicien de production


, VS2




Objectif du poste



Le technicien de production participe à la réalisation des différentes étapes du procédé de fabrication par l’opération d’équipements spécialisés.



Responsabilités générales




Procéder au mélange des souches dans le but de produire un vaccin

Effectuer différents transferts de vaccins selon les besoins de production

Manipuler des charges lourdes 20 KG

Documenter en parallèle chacune des étapes effectuées dans les différents registres et dossiers de production nécessaire à la traçabilité des actions.

Effectuer le nettoyage et la désinfection des murs, portes, fenêtres, planchers et équipements si requis en conformité avec les normes établies

Effectuer le suivi environnemental en préparant les équipements, identifier les échantillons et les expédier pour analyse afin de vérifier la qualité de l’environnement.

Décontaminer et déballer le matériel qui entre dans les salles où l’environnement est contrôlé tout en vérifiant qu’il est propre et/ou stérile et le range.




Avantages du poste 




Salaire: 30.6902$ selon l’échelle syndicale + prime de soir + prime de fin de semaine

Horaire: Quart de 12 heures de travail en 3-2-2-3, variable selon les besoins de la production (Formation : du lundi au vendredi de jour)

Statut: Temporaire, contrat de 6 mois

Cafétéria sur place

Gym gratuit pour les employés

Stationnement gratuit

Accessible en transport en commun




Exigences




DEC en sciences dans une discipline pertinente (biotech, chimie, génie-chimique, tech de laboratoire)

BAC en sciences (chimie, microbiologie, biochimie, etc.)

Connaissance de base en informatique (ex : entrée de données, texte, etc.)

Connaissances des BPF

Connaissance de base en anglais (ex : échange d’information simple ou usuelle, lire et comprendre sommairement, etc.)




Aptitudes




Relations interpersonnelles et communication

Capacité à travailler sous pression

Habileté à travailler en équipe

Rigueur


GSK is an equal opportunity employer committed to diversity and inclusion. We welcome applications from all qualified individuals to apply to our career opportunities. GSK is committed to accommodating persons with disabilities. If you need accommodation at any stage of the application process or want more information on our accommodation policies, please contact us at canada-recruitment@gsk.com. Please do not send resumes to this e-mail and instead apply through the online application process of this posting.

As a health and science-based organization, GSK is committed to following the recommendations as set out by Health Canada and taking all necessary steps to help curb the spread of COVID-19 which includes getting the COVID-19 vaccine. We feel strongly that this is the best way to help protect those we value most: our employees, families, communities and the patients and consumers we serve. To that end, we are taking an important step to ensure the safety of our employees during this global public health crisis.

Only employees who are fully vaccinated against COVID-19 may attend our Mississauga and Laval corporate offices. In addition, all customer-facing employees who, as part of their job, attend healthcare settings such as hospitals, pharmacies, doctors’ offices and dentists’ offices will need to be fully vaccinated against COVID-19. Notwithstanding the foregoing, employees may seek an accommodation for human rights-related reasons, including medical or disability-related conditions, or religious beliefs.

Important notice to Employment businesses/ Agencies

GSK does not accept referrals from employment businesses and/or employment agencies in respect of the vacancies posted on this site. All employment businesses/agencies are required to contact GSK's commercial and general procurement/human resources department to obtain prior written authorization before referring any candidates to GSK. The obtaining of prior written authorization is a condition precedent to any agreement (verbal or written) between the employment business/ agency and GSK. In the absence of such written authorization being obtained any actions undertaken by the employment business/agency shall be deemed to have been performed without the consent or contractual agreement of GSK. GSK shall therefore not be liable for any fees arising from such actions or any fees arising from any referrals by employment businesses/agencies in respect of the vacancies posted on this site.



",Linkedin,Production Technician,,2022-03-08 01:01:09,"Quality Assurance, Production, and Manufacturing",
7,2946257551,Technicien de laboratoire,Full-time,,Constant,,"Montreal, QC","


Sous la responsabilité du directeur de laboratoire, le technicien de laboratoire est responsable du contrôle de la qualité de l'inventaire et de donner du soutien dans les domaines des activités de recherche et développement 

 


La personne s’assure :



 


-         Du bon fonctionnement quotidien du laboratoire 

-         D’avoir les équipements et les réactifs nécessaires au bon fonctionnement du lab

-         Du contrôle de qualité des matières premières et des produits finis soit fait selon les normes ISO.


De la propreté et de la bonne condition des équipements

Que notre log book soit conforme. (Log book sur ordinateur)

Que les affaires réglementaires : KASCHER, Santé Canada, PMRA, REACH, ISO, fiche technique et SDS, étiquettes, soient conforme et sans erreurs.

Préparation et développement de kits de test existants et nouveaux, et de solutions de contrôle de la qualité.

Assister aux audits de sécurité et de maintenance ;

Connaissance du GMP un atout

Au besoin de participer aux projets de la recherche et le développement de nouveaux projets ou de nouveaux produits.






",Linkedin,Production Technician,,2022-03-08 14:42:27,,
8,2959550600,Maintenance Technician,Full-time,,Integris Student Living,,"Barrie, ON","



Position Summary and Job Magnitude





The Service Technician must ensure that the entire building is in safe and good working order at all times. This includes a combination of general labour, preventative maintenance tasks and daily repair requisitions. 





Essential Functions and Basic Duties





•    Attending to any work orders provided to you by the Service Manager or Leasing staff in a timely manner, and informing them once the job has been completed

•    Assessing interior and exterior of properties and buildings to see if there are any issues needing to be addressed

•    Addressing any minor plumbing issues

•    Addressing any minor HVAC issues

•    Addressing any appliance repairs

•    Repairing any door, frame or trim damages

•    Ability to paint and patch properly throughout the buildings

•    Removing snow from all sidewalks and parking lots as required including holidays and weekends, with the use of snow blowers and Bob Cat machinery

•    Landscaping the property during the summer months with the use of lawn mower and other landscaping tools as required 

•    Removal of any trash noticed throughout the community

•    Assisting with any quarterly or monthly inspections

•    Attending any staff meetings as required 

•    Other duties as assigned




This role can be strenuous and requires the individual to be in good physical condition. Physical demands include:

•    Climbing ladders

•    Moving appliances and furniture.

•    Repetitive lifting of up to 50lbs

•    Cardio vascular endurance for tasks such as snow removal and climbing stairs

•    Working in confined spaces, including lying on their side or working on their knees for up to 30 minutes

•    Ability to grip and manipulate basic hand tools and parts

•    Hand dexterity and fine motor skills for working with small parts.

•    Repetitive reaching or working above their head

•    Majority of the working day spent standing conducting repairs and maintenance




Health &amp; Safety 

•    Works in compliance with the provisions of the OHSA, regulations and internal policies and procedures and reports any contraventions to their supervisor.

•    Uses or wears the equipment, protective devices or clothing that Integris Student Living requires.

•    Reports to the appropriate supervisor(s) any hazards, missing or defective equipment or protective device which could endanger any person. 





Performance Measurements





Performance will be primarily measured on the following factors:

•    Initiative

•    Inter-Personal Skills

•    Customer Service

•    Reliability

•    Communication    

•    Skill &amp; Knowledge

•    Adaptability &amp; Flexibility

•    Organizing &amp; Planning

•    Overall Performance

•    Health &amp; Safety Responsibilities 





Qualifications





Education:    High School Diploma or equivalent 




Skills/Abilities:    

            Must possess excellent oral and written communication skills 

            Must possess basic computer skills

            Must possess the ability to understand and adhere to policies and procedures

            Must possess basic math skills

            Must be punctual and dependable as hours may vary and include weekends and holidays




Experience Required:    

At least three years of related experience which includes HVAC, plumbing and electrical. 

Certificate of Trade is considered an asset 





Equal Opportunity Employer





It is the policy of Integris to promote equal employment opportunity for all applicants and employees. Integris does not unlawfully discriminate on the basis of race, colour, religion, sex, national origin, ancestry, age, physical disability, mental disability, medical condition, marital status or sexual orientation. Integris prohibits the harassment of any individual on any of the grounds listed above. This applies to all areas of employment including recruitment, hiring, training, and promotion.




If you require accommodation in order to successfully submit an application, please advise us to make your accommodation request.


",Linkedin,Production Technician,,2022-03-08 16:16:09,,
9,2945774784,Laboratory Technician,Full-time,Associate,Virogin Biotech,Biotechnology Research,"Richmond, BC","


The Lab Technician is a key member of the Protein Engineering and Production Team, working closely with the Team Lead Scientist and other Lab Technicians to prepare, carry out, document, analyze and report on investigational research experiments.





Duties and Responsibilities:





General laboratory responsibilities:


Plans, performs and analyzes experiments under supervision using proper cell biology, biochemical and molecular techniques

Produces proteins using mammalian and bacterial cells, and purifies proteins using column chromatography

Maintains mammalian cell lines, and transfect/infect cells aseptic techniques in T-flasks and different types of roller bottles with precision and accuracy

Monitors, calibrates and cleans lab equipment

Maintains a clean workstation and laboratory

Maintains and keeps a detailed record of all reagents made. Accurate and detailed documentation of sample records is critical.

Analyzes and compiles experimental data to prepare accurate reports

Creates and implements Standard Operating Procedures (SOPs) and associated documents

Adheres to all laboratory safety protocols

Techniques performed include, but are not limited to, protein/antibody-related work, ELISA, Flow cytometry, and Western blotting

Carries out other duties as required





Documentation:


Maintains up-to-date, detailed records of all experiments performed

Adheres to all quality control rules established at the company






Qualifications:



BSc or MSc in Life Sciences, Molecular Biology, Biochemistry, or related discipline.

Minimum one year of experience performing protein chemistry, molecular biology and cell culture-based research.

Knowledge and experience in general cell techniques, including aseptic handling of mammalian cell culture, transfection/infection in mammalian cells and flow cytometry.

Experience with protein work including protein expression, column chromatography and Bio-layer interferometry (BLI); prior experience in these tasks is not required but preferred.

Experience with molecular biology techniques including cloning, SDS-PAGE and Western blotting and ELISA.

Demonstrates ability to solve research problems with a high level of independence

Strong written and oral communication skills with the ability to effectively exchange accurate information

Strong organizational skills, ability to prioritize multiple demands and work efficiently under pressure

Able to work in a demanding, fast paced, team-oriented environment, while maintaining a high degree of professionalism.









Join the Virogin team to learn, grow, make a difference, and have fun in the process! For more information about our company, visit www.virogin.com.






COVID-19 vaccination is an employment requirement; accommodations will be considered upon request.



",Linkedin,Production Technician,,2022-03-08 00:39:20,"Research, Analyst, and Information Technology",
