,id,job_title,job_type,job_exp,company,industries,location,description,source,search_kw,expected_salary,post_date,job_function,remote
0,2955772721,Solution Architect - Data Tech,Full-time,Associate,Canadian Tire Corporation,Retail,"Ontario, Canada","


Help us boldly shape retail in Canada


Canadian Tire Corporation’s (CTC) rich heritage of serving Canadians from coast-to-coast dates back to 1922. Our vision is to become the #1 retail brand in Canada and we are focused on innovating and making important investments in our business, especially when it comes to our people. To reach our goal, we need the best talent to help us evolve and drive change across the business – and boldly help shape Canada’s retail industry. As we strive to be at the forefront of a complex and vastly changing retail industry, it is an exciting time to join the Canadian Tire family of companies.

The Data Technology team is looking for a hands-on 
Solutions Architect
 to join our transformational team with a focus on enabling business intelligences, data analytics, and data sciences capabilities.

In this role, the successful candidate will work with partner teams to understand their data, analytics, and data sciences needs, determine the capabilities required to enable and then materialize into roadmaps, functional designs, and systems for Data Products. The ideal candidate understands how the needs of our business partners translate into capabilities enabled by cloud technologies and will then be able to prototype and build cloud-based solutions that also integrate with on-premise systems.



What You’ll Do




 Accountable for enabling successful business outcomes across the Data Technology solution stack with a special focus on designing and helping partner groups build production capabilities and reduce technical debt/risks 

 Provides technical solution leadership, designing for sustainable and repeatable patterns across Data, Data Analytics, Data Sciences, and Data Movement technologies 

 Takes a hands-on approach spanning across design, build, and productionizing solutions 

 Acts as a trusted advisor and cloud adoption advocate by providing specialized advice on cloud migration of existing on-premise solutions 

 Creates and delivers solution communication packages to all levels of stakeholders up to and including the senior leadership team 




What You Bring




 Self-motivated, agile and innovative team member, who can manage in an environment of change and ambiguity 

 Solid understanding and practical experience with fundamental data systems architecture including, but not limited to: various database types, data engineering, data movement, data visualizations, data governance technologies, CICD, and code/model management 

 5+ years of design and hands-on experience in Data, Analytics, Integration technologies 

 2+ years of experience working in a Cloud environment (Azure, GCP or AWS) 

 Ideally has obtained Cloud Architecture Certification for any of the above (Azure preferred) 

 2+ years working in an Agile environment 

 Lived through at least 1 migration of on-premise systems to the Cloud or Hybrid implementation 

 Broad knowledge across foundational technology domains including security, infrastructure, and networking 

 Experience with Infrastructure as code tools such as Ansible, Terraform or CloudFormation 

 Solid understanding of containerization, Kubernetes, DataOps and MLOps is desired 




Education




 Bachelor's degree in Computer Science, Information Technology, Engineering or related field is preferred 

 Certification in one or more of the following technology subject areas is preferred: Cloud, Database, Data, Business Intelligence, Data Science/ML/AI 




About Canadian Tire Corporation



Canadian Tire and its family of companies are boldly shaping retail in Canada and we continue to deliver a positive experience for our customers. As one of the most trusted brands in Canada, our employees take pride in the work we do across the country. It’s more than the iconic triangle that keeps our employees around. From benefits and perks, to learning and development opportunities, to our commitment to Jumpstart – these are some of the many reasons why Canadian Tire Corporation is one of Canada’s Best Managed Companies.

To learn more about this team and the Canadian Tire family of companies follow us on LinkedIn.

AODA/D&amp;I statement is populated in Automatic requisitions, must be added to Manual requisitions.

Add reference/background check information statement if applicable.

Canadian Tire is an equal opportunity employer. We are committed to a diverse and inclusive workplace for all. We recognize that our future success depends on the perspectives and contributions of all our employees -- their diverse backgrounds, abilities and experiences make our business stronger. If you are contacted for a job opportunity, please advise us of any accommodations needed to ensure fair and equitable access throughout the recruitment and selection process. All accommodation information provided will be treated as confidential and used only for the purpose of providing an accessible candidate experience.

Ontario-Toronto

Permanent

Full-time


Job Posting


Mar 9, 2022, 3:02:21 AM



",Linkedin,Enterprise Architect,,2022-03-08 21:59:36,Engineering and Information Technology,
1,2921984414,"Senior Solutions Architect, Enterprise Canada",Full-time,Mid-Senior level,Amazon Web Services (AWS),"IT Services and IT Consulting, Software Development, and Internet Publishing","Toronto, ON","



Job Summary




DESCRIPTION


At AWS, we believe in thinking big so you should be motivated to be dynamic and creative, and willing to take on any challenge that makes a big impacts to the business and help build the future with us. AWS is looking for an experienced Solutions Architect to help advise our Enterprise customers on how to best adopt and leverage the value of AWS technology. This is an ideal role for someone with experience in various industry, knowledge of enterprise applications, infrastructure and a solid understanding of the transformative value cloud technologies can bring.

As a Solutions Architect (SA), you should partner with customers, AWS Sales, and several other AWS teams to craft highly scalable, flexible, and resilient cloud architectures that address customer business problems and accelerate the adoption of AWS services. In collaboration with sales, you should help drive growth across a broad set of customers. As a trusted customer advocate, you should help organizations understand best practices around advanced cloud-based solutions. You should seek out opportunity to help shape and execute a strategy to build mindshare and broaden the use of the AWS platform across the customer's organization. You should also have a demonstrated ability to think strategically about business, products, and technical challenges.

As an Amazon Web Services (AWS) Solutions Architect, you are joining a team that invests in your success by providing a comprehensive learning program. The AWS Solutions Architecture team provides an opportunity to work in an open environment that includes self-paced learning, instructor-led training, hands-on projects, and job shadowing opportunities to develop your knowledge of the AWS ecosystem of services and solutions. The ideal candidate has a curious mind, a thirst for knowledge, and a desire to understand how technology works. By working backwards from defined customer outcomes, you achieve results that delight AWS customers. You enjoy keeping your existing technical skills honed and develop new ones so you can make meaningful contributions to long-term customer success.

Roles and Responsibilities


 Build deep relationships with customers to become a trusted advisor for their most critical workloads that support their digital transformation and journey to the cloud.

 Support achievement of revenue objectives through the adoption and migration of applications, software, and services onto the AWS platform, in partnership with the sales team.

 Educate customers on the value proposition of AWS, and participate in deep architectural discussions to ensure solutions are designed for successful deployment in the cloud.

 Contribute to AWS internal and customer-facing publications such as white-papers and blogs as a means of scaling your knowledge.

 Act as a liaison between customers, service engineering teams, and support to address customer needs.




Travel Requirements




 All travel is temporarily on hold. Under normal circumstances, open to travel within the city or province and up to 25% out of province as required for customer meetings.

 All onboarding training will be virtual.





Basic Qualifications




 Bachelor's degree in computer science, engineering, mathematics, or related field of study OR 8+ years of professional or military work experience

 8+ years within specific technology domain areas (e.g. software development, cloud computing, systems engineering, infrastructure, security, networking, data &amp; analytics)

 3+ years of design, implementation, or consulting experience in applications and infrastructures

 Experience communicating across technical and non-technical audiences, including executive level stakeholders or clients

 7 years in a technical solutions architect role, designing, implementing distributed applications, databases, and networks

 Strong verbal and written communication skills, in French and English




Preferred Qualifications




 Working knowledge of software development tools and methodologies (e.g. ITIL, Zachman, TOGAF, etc.)

 Experience architecting/operating solutions built on AWS

 Presentation skills with a high degree of comfort speaking with executives, IT managers, and developers

 Hands-on scripting experience (e.g. Python, Perl, JavaScript, JQuery, etc.)

 Technical degree in Computer Science, Engineering, Mathematics or equivalent work experience.




About Us



Inclusive Team Culture

Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 16 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.

Work/Life Balance

Our team puts a high value on work-life balance. It isn’t about how many hours you spend at home or at work; it’s about the flow you establish that brings energy to both parts of your life. We believe striking the right balance between your personal and professional life is critical to life-long happiness and fulfillment. We offer flexibility in working hours and encourage you to find your own balance between your work and personal lives.

Mentorship &amp; Career Growth

Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional and enable them to take on more complex tasks in the future.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status. If you would like to request an accommodation, please notify your Recruiter.



Company
 - Amazon Web Services Canada, In

Job ID: A1922311
      
",Linkedin,Enterprise Architect,,2022-03-08 13:42:51,"Consulting, Information Technology, and Engineering",
2,2946211867,Senior Solution Architect - Guest and Educator Engagement,Full-time,Associate,lululemon,"Marketing Services, Manufacturing, and Retail","Vancouver, BC","



Who We Are




 Description &amp; Requirements 


lululemon is a yoga-inspired technical apparel company up to big things. The practice and philosophy of yoga informs our overall purpose to elevate the world through the power of practice. We are proud to be a growing global company with locations all around the world, from Vancouver to Shanghai, and places in between. We owe our success to our innovative product, our emphasis on our stores, our commitment to our people, and the incredible connections we get to make in every community we are in.



About This Team



The technology collective team is accountable for the strategy, engineering, and delivery of technology to enable educator and guest transactions and experiences in stores and our guest education center, provide B2B capabilities, and provide cross channel enterprise services for Inventory and payments.



A Day In The Life



The Solution Architect partners with delivery teams to architect, design, and build flexible, scalable, and resilient applications and services that can more easily adapt to future business needs.   


Leads the business/functional architecture and strategy for solutions in a manner consistent with lululemon technology's enterprise architecture, applying common frameworks and re-usable components

Helps ensure the operational platforms and associated interfacing data and systems have been properly architected end-to-end to meet the functional and non-functional needs of the business

Brings conceptual design down to a level of detail that can be physically implemented

Ensures as-requested functionality gets translated into as-designed solutions within the context of timeline, resources, org structure and quality  

Works closely with other architects and development teams to support and guide solution implementations and acts as an advisor for technical resources on projects 

Develops and maintains current and future-state architecture models and ensures all documentation is kept up to date

Stays abreast of industry best practices, technologies, architectures, trends, emerging technologies and develop proof-of-concept projects to validate same

Drive common vision, practices and capabilities across teams

Manages technical debt and risks 




Qualifications




Bachelor's Degree in IT Engineering, Computer Science with 10+ years experience

5+ year of hands on software development experience 

5+ years of hands-on architecture or related experience 

10+ years developing real world scaled solutions with knowledge of full application development lifecycle (SDLC) and methodologies; waterfall, agile and hybrid

Understanding and ability to work within architectural frameworks 

Successful track record delivering quality results on complex cross-functional projects 

Strong analytical and problem solving capabilities 

Retail and payment domain experience (highly desired) 

Experience with integration of 3rd party tools and cloud middleware platforms 

Ability to design SaaS solutions that scale and perform with rock solid reliability, ability to identify and build in key application monitoring hooks to allow for optimal solution management 

Ability to work with operations to plan upgrades, troubleshoot issues, and tune systems for optimal performance and uptime 

Provides leadership to junior and senior software engineers; knows how to leverage and enhance their skills 

Ability to use and communicate system design patterns and anti-patterns 

Ability to manage solution architecture design to align to business value 

Ability to strongly justify the proposed architecture and design in a comparative mode 

Ability to develop and manage architecture models such as activity, class, and data models 

Excellent presentation, verbal, written, and listening skills 

Strong presentation and interpersonal skills 

Strong interpersonal and leadership skills including collaboration, facilitation and negotiation




Must Haves




Strong understanding of basic programming concepts and data structure

Ability to work in a fast-paced environment

Willingness to learn new technologies

Analytical and logical thinker

Passion for quality and relentless improvement




",Linkedin,Enterprise Architect,,2022-03-08 04:29:37,Engineering and Information Technology,
3,2920896237,"Solutions Architect, Migration Services",Full-time,Not Applicable,Amazon Web Services (AWS),"IT Services and IT Consulting, Software Development, and Internet Publishing","Vancouver, BC","



Job Summary




DESCRIPTION


The AWS Migration Acceleration Services team is recruiting a Solutions Architect to help guide customers in the early stages of large scale migrations to the cloud by developing business cases that address customer objectives using AWS tools such as Migration Evaluator, Cloud Endure and Application Discovery Service. Migration Services tools and programs deliver accurate data-driven recommendations to right-size and right-cost compute &amp; storage, perform application dependency mapping, migration wave planning, and more.

In this role, you will work closely with customers and internal teams to help craft migration business cases and ensure customers and internal teams are well supported on their migration assessments. This also includes supporting AWS field teams and AWS Partners as they develop their own assessments using Migration Services tooling. Our service is used by customers, partners, and internal Amazon Web Services teams on a global basis.

Work/Life Balance

Our team puts a focus on balancing life with work, and does this via work autonomy. Our team is mainly focused on supporting customers and this can mean aligning your daily schedule with your meetings, or your personal needs (appointments, etc). Our team is based in Vancouver, Canada with a global presence across multiple countries and time zones so we're flexible with our team working from home and we record meetings and minutes/agendas to allow for inclusivity of all time zones and availability.

Mentorship &amp; Career Growth

We’re committed to the growth and development of every member of the Migration Evaluator team. You will have the opportunity to contribute to the culture and direction of the Client Delivery team, help improve operational aspects of assessment delivery and will be exposed to high-level cloud planning and financial conversations with a variety of internal and external customers, all with different needs and at different stages in their migration journey.

The Migration Evaluator team is a growth environment - we’re hiring and scaling to meet the needs of our customers. You’ll have the opportunity to grow your scope of influence on our service team naturally as we scale.

Inclusive Team Culture

Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and we host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 14 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.

Come join a smart, innovative team that’s obsessed with serving its customers and is having fun doing so!




Basic Qualifications




 Experience in software implementation and delivery

 Practical knowledge of computer software, hardware and networks

 Experience interacting with and presenting to customers or internal teams

 Ability to clearly articulate technical concepts to a business audience

 2+ years of experience in Solutions Architect or technical advisory role with similar type experience




Preferred Qualifications




 Familiarity with AWS architecture (S3, EC2, etc.) or AWS Certified SA Professional

 Familiarity with data center and/or cloud infrastructure management

 Familiarity with licensing models and strategies for Windows and SQL, Oracle, Linux


Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status. If you would like to request an accommodation, please notify your Recruiter.



Company
 - Amazon Web Services Canada, In

Job ID: A1930411
      
",Linkedin,Enterprise Architect,,2022-03-08 12:01:59,"Consulting, Information Technology, and Engineering",
4,2946292251,Business Solutions Architect (Remote in Canada),,,CLEARGOALS,,Canada,,Linkedin,Enterprise Architect,,2022-03-08 19:01:45,,remote
5,2946292647,Lead Technical Architect,Contract,Mid-Senior level,Affinity,IT Services and IT Consulting,"Vancouver, BC","


Job Description:
 
On behalf of our client, Affinity is seeking a Lead Technical Architect who will act as a technical expert and project lead with experience architecting, designing, developing and deploying applications in a cloud first environment. The Lead Technical Architect works with business stakeholders, members of the wider Architecture group and Project Managers to support our IT ecosystem as they build, run and evolve applications organizationally.




Responsibilities 



Creating and owning innovative technical roadmaps

Acting as a technical subject matter expert to business leaders, advising on technical solutions

Communicating decisions to technical teams and leading them in the solutions

Provide technical leadership in the owned areas of performance, reliability, security and compliance.

Maintain relationships and act as an advocate through regular communication with business managers, Enterprise and Solution Architects and/or development leads, understanding our business, technical objectives, and product requirements

Consult on architecture for application implementations

Lead a small team of architects and provide mentoring through technical and career development

Proactively monitor, raise concerns and suggest project development or architecture best practices

Proactively spot rough edges across implementations and work with partner and customer teams to remove them

Contribute to the IT roadmap and communicate to the wider organization

Work with assigned teams to bridge any technical knowledge gaps 

Developing proof-of-concepts and ensuring proposals are technically sound

Assist including requirements gathering, scoping, and proof of concepts





Qualifications



5 years of experience working with Agile teams on complex application projects including technical design, planning and implementation

Experience developing technical roadmaps

Experience working with commercial off-the-shelf applications to shape solutions with a strong understanding of integrations

Strong communication skills with the ability to adjust messaging for senior executives or technical teams

You have managed direct reports





Top Skills Necessary


 · 
Process improvement/standardization
 – 5+ years of experience improving business performance by documenting key processes, measuring effectiveness, recommend process standardization to identify and execute improvements while maximizing value of current IT investments and strategically outsourcing to achieve scale and cost efficiency.

 · 
Enterprise Cloud Implementations
 – Have acted as an Enterprise architect on at least 2 cloud application implementations throughout the entire development lifecycle from concept development to maintenance.

 · 
Have managed direct reports
 – Provided leadership to others through technical direction, mentorship, onboarding/offboarding and created the necessary organizational relationships to get buy in from others in order to move projects forward.




Affinity Earn:


 Know someone who’s great for this, or any of our open roles? Earn up to $4,000/year for each successful referral through Affinity Earn. Learn about our referral program at   https://affinity-group.ca/earn/   or browse our jobs &amp; follow us at   https://www.linkedin.com/company/affinity-staffing/jobs/ 


About Affinity:


 Affinity is a full service Information Technology agency that takes a unique approach to recruiting. We believe recruiting is about creating long term relationships that foster a mutually beneficial partnership - an affinity. Bringing a new style of recruiting founded on four core principles – Transparency – Flexibility – Efficiency – Agility. For more information on Affinity Staffing, please visit.   www.affinity-group.ca 

Job Number 6094


",Linkedin,Enterprise Architect,,2022-03-08 18:46:24,Information Technology,
6,2920887985,"AWS Senior Solutions Architect, Financial Services, AWS Canada",Full-time,Mid-Senior level,Amazon Web Services (AWS),"IT Services and IT Consulting, Software Development, and Internet Publishing","Toronto, ON","



Job Summary




DESCRIPTION




Description



Imagine being a part of a team where your ideas have the potential to change companies, reshape industries, and improve the lives of many. Picture working with cutting-edge technology, the most dynamic businesses, and a talented &amp; inclusive team. Envision being able to leverage the resources of a Fortune-10 company within the atmosphere of a start-up. Welcome to Amazon Web Services, where you can have fun while making history. Come and help build the future with us as a Solutions Architect.

As a Solutions Architect (SA), you will partner with customers, AWS Sales, and several other AWS teams to craft highly scalable, flexible, and resilient cloud architectures that address customer business problems and accelerate the adoption of AWS services. In collaboration with sales, you will help drive revenue growth across a broad set of customers. As a trusted customer advocate, you will help organizations understand best practices around advanced cloud-based solutions. You will seek out opportunities to help shape and execute strategies to build mind share and broaden the use of the AWS platform across customer organization. You should also have a demonstrated ability to think strategically about business, products, and technical challenges.

As an Amazon Web Services (AWS) Solutions Architect, you are joining a team that invests in your success by providing a comprehensive learning program. The AWS Solutions Architecture team provides an opportunity to work in an open environment that includes self-paced learning, instructor-led training, hands-on projects, and job shadowing opportunities to develop your knowledge of the AWS ecosystem of services and solutions. The ideal candidate has a curious mind, a thirst for knowledge, and a desire to understand how technology works. By working backwards from defined customer outcomes, you achieve results that delight AWS customers. You enjoy keeping your existing technical skills honed and develop new ones so you can make meaningful contributions to long-term customer success.

Roles and Responsibilities


 Build deep relationships with customers to become a trusted advisor for their most critical workloads that support their digital transformation and journey to the cloud.

 Support achievement of revenue objectives through the adoption and migration of applications, software, and services onto the AWS platform, in partnership with the sales team.

 Educate customers on the value proposition of AWS, and participate in deep architectural discussions to ensure solutions are designed for successful deployment in the cloud.

 Contribute to AWS internal and customer-facing publications such as white-papers and blogs as a means of scaling your knowledge.

 Act as a liaison between customers, service engineering teams, and support to address customer needs.




Travel Requirements




 Open to travel within the city or province and up to 10-15% out of province as required for customer meetings.

 AWS training during on-boarding process, (typically first 3 months) can require travel to the USA for up to 5 consecutive days.




About Us



About the team

Inclusive Team Culture

Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 16 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.

Work/Life Balance

Our team puts a high value on work-life balance. It isn’t about how many hours you spend at home or at work; it’s about the flow you establish that brings energy to both parts of your life. We believe striking the right balance between your personal and professional life is critical to life-long happiness and fulfillment. We offer flexibility in working hours and encourage you to find your own balance between your work and personal lives.

Mentorship &amp; Career Growth

Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional and enable them to take on more complex tasks in the future.




Basic Qualifications




 Bachelor's degree in computer science, engineering, mathematics, or related field of study OR 8+ years of professional or military work experience

 8+ years within specific technology domain areas (e.g. software development, cloud computing, systems engineering, infrastructure, security, networking, data &amp; analytics)

 3+ years of design, implementation, or consulting experience in applications and infrastructures

 Experience communicating across technical and non-technical audiences, including executive level stakeholders or clients





Basic Qualifications




 7 years in a technical solutions architect role, designing, implementing distributed applications, databases, and networks.

 Strong verbal and written communication skills.





Preferred Qualifications




PREFERRED QUALIFICATIONS



 Working knowledge of software development tools and methodologies (e.g. ITIL, Zachman, TOGAF, etc.)

 Experience architecting/operating solutions built on AWS

 Presentation skills with a high degree of comfort speaking with executives, IT managers, and developers


Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status. If you would like to request an accommodation, please notify your Recruiter.



Company
 - Amazon Web Services Canada, In

Job ID: A1924307
      
",Linkedin,Enterprise Architect,,2022-03-08 12:02:08,"Consulting, Information Technology, and Engineering",
7,2920895170,"Senior Solutions Architect, Financial Services - Public Sector",,,Amazon Web Services (AWS),,"Vancouver, BC",,Linkedin,Enterprise Architect,,2022-03-08 12:02:58,,
8,2955753971,Solution Architect,Full-time,Associate,Arobas Personnel,"IT Services and IT Consulting, Software Development, and Internet Publishing","Montreal, QC","

        Arobas personnel is looking for a Solution Architect for a permanent with one of our clients located in Montreal.

*Hybrid work environement (working from home and the office)*

As a part of the Information Technology team, you will help transform our current monolithic architecture into a domain-driven microservice-oriented architecture to ease system to system integration and data governance. You will translate complex business problems into technical solutions and complex technical solutions into business capabilities and functionalities. You will be working on projects supporting the digital transformation of the organization, ensuring quality and on-time delivery of assigned deliverables.

What does your day to day look like?


 Be responsible for architectural design, issues and resolution considerations among all projects; 

 Apply industry best practices to create scalable and secure solutions that have superior technical performance while offering the best security patterns; 

 Work with product owners/project managers to intimately understand product vision; 

 Identify options and make recommendations on the technology solutions we can implement to meet the business goals; 

 Work with a cross-functional technology team to design and implement those technology recommendations; 

 Demonstrate strategic business acumen and understanding of organization strategy, as well as the ability to design information systems to deliver that strategy; 

 Mentor and advise other team members. 


What we’re looking for?


 Bachelor’s degree in a technical area of study (computer science, mathematics, engineering, etc.) or other BS degree with a concentration in computer science or information systems; 

 Total IT experience of at least 10 years with 3-5 years in solution architecture; 

 2 years of relevant experience in the leasing/financial industry; 

 Deep understanding of business strategy and the ability to craft software architecture plans to support business outcomes; 

 Proven experience architecting and supporting implementation of infrastructure components for software implementation, both on-premises and in-cloud; 

 Knowledge/experience with architecting full-stack technology solutions, including backend, microservices, data layers, API gateways, etc.; 

 .NET (Core) experience as a key leader/advisor on the architecture, design and development of wide-reaching technology components; 

 Excellent organizational and analytical skills; 

 Excellent collaborator and positive leadership; 

 Highly proficient with Microsoft Office 365 applications; 

 Excellent oral and written communication skills (any knowledge of French would be a precious asset as we offer services in both official languages); 

 Any knowledge of Agile methodology would be an asset. 


What are the benefits for you?


 Compensation plan including bonus based on your individual performance as well as the Company’s results. 

 Competitive benefits package including: 

 Vacation, sick and personal days given on day one. 

 Collective insurance including long-term disability, life insurance, medical, dental and vision care as well as virtual healthcare. 

 RRSP. 

 Range of wellness initiatives including Employee and Family Assistance Program and virtual health and development platforms. 

 Professional growth opportunities through our internal postings and online learning platform. 




Id




6172




Emplacement




Montréal




Durée De L'emploi




Temps Plein




Nombre D'emplois Vacants




1




Dernière Mise à Jour



Date limite de dépôt:


22-02-04 15:00


",Linkedin,Enterprise Architect,,2022-03-08 20:42:41,Engineering and Information Technology,
9,2718752819,"Senior Solution Architect - Remote, Canada",Full-time,Mid-Senior level,"nCino, Inc.","Software Development, Banking, and Financial Services",Canada,"

        nCino offers exciting career opportunities for individuals who want to join the worldwide leader in cloud banking.

The Saleforce.com Solution Architect helps customers to analyze their current architecture, define their target and develop a roadmap to implement our leading Bank Operating System built on Salesforce. You will then help them to realize the benefits of our Bank Operating System by being the Technical Lead for the Enterprise Delivery Team.



Responsibilities




 Work with nCino implementation team consisting of Banking, Configuration, Integration and Product Development SME(s) to define the work breakdown and detailed tasks 

 Utilize an Agile process to assess a customer's current state, determine future state, understand the gaps and put in place a repeatable systematic implementation plan for 12+ month implementations at major enterprise banks, globally 

 Communicate to technical, business and executive customer stakeholders to set appropriate expectations related to customer commitment and requisite resource allocation for a successful deployment and confirm schedule 

 Analyze the current and future state data, technical, application and business architecture needed, verify and modify recommended implementation plan based on customer input and existing/inflight customer projects 

 Following final solution architecture delivery recommendation by the nCino team, assist in design and troubleshooting during implementation in order to ensure final architecture meets client business needs and maintains alignment with nCino core product development direction 

 Assist in future communication, training structure, etc. to establish repeatable process for onboarding additional Enterprise Bank Implementation Consultants. Train on methodology including streamlining, simplification and automation of tasks 

 Work closely with nCino Support to resolve customer data cases 

 Handle multiple projects effectively while continuing to deliver exceptional quality 

 Work independently and prioritize time and projects appropriately 

 Think out of the box to come up with creative solutions to customer issues 

 Translate customer requirements into implementation plans 

 Drive customer success with a team player attitude 




Qualifications




 Bachelor of Science or Master’s Degree in Engineering or Computer Science or equivalent experience 

 6+ years’ experience with Salesforce.com architecture experience or combination experience, education, &amp; superior performance 

 Salesforce.com Developer 401 and Administrator 201 certifications 

 Experience with the analysis, definition and implementation Solution, Information, Technical, Application Architecture based solutions 

 Knowledge/Experience of various data encryption methods 

 Passion to deliver the high quality solution to banking customers with an all-in commitment to what we do 



 Desired 



 Large FI experience, particularly with the Loan Origination/Servicing Systems, Enterprise Architecture framework 




Travel Requirements




 Position requires approximately 50% travel. Candidate must be willing to travel as needed in order to accomplish required team goals and continue to foster team cohesiveness 



If you thrive in a high-energy, entrepreneurial environment, we invite you to share your passion, ideas and excitement at nCino.


nCino provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, protected veteran status, disability, genetics or other protected groups. In addition to federal law requirements, nCino complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

nCino is committed to the full inclusion of all qualified individuals. As part of this commitment, nCino will ensure that persons with disabilities are provided reasonable accommodations. If reasonable accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact us at recruiting@ncino.com .

Our commitment to inclusion and equality includes a strong belief that the diversity of our team is instrumental to our success. We strive to create workplaces where employees are empowered to bring their authentic selves to work.
      
",Linkedin,Enterprise Architect,,2022-03-08 10:42:43,Engineering and Information Technology,remote
