,id,job_title,job_type,job_exp,company,industries,location,description,source,search_kw,expected_salary,post_date,job_function,remote
0,2947000520,Accountant,Full-time,,Highbury Asset Management,,"Victoria, BC","



The opportunity:


Highbury Asset Management has a fantastic opportunity for a CPA PEP student, or similar, seeking to gain experience across a wide variety of retail stores and holding companies. Working closely with the Controller, you will help improve processes throughout the accounting department while taking ownership of the full period by period accounting of a portfolio of companies. You will also have a major role in preparing and compiling year-end working papers and subsequent annual review engagements and tax filings.

 

Highbury Asset Management is committed to ensuring CPA PEP students gain the practical experience requirements set out by CPA Canada.

 


Responsibilities:



Full-cycle accounting of a portfolio of varied companies across the grocery, liquor, real estate holdings, and property management industries.

Prepare and compile year-end working paper sections for a variety of companies.

Participate in external year-end review engagements.

Identify control deficiencies, recommend improvements, and implement approved solutions.

Develop and document accounting processes to increase efficiency, timeliness and reliability of financial data provided to stakeholders.

Prepare personal, corporate, and trust tax filings (T1, T2, T3, T4, and T5).

Liaise with store managers and other stakeholders to update and maintain a rolling budget, making use of recent financial data to predict future outcomes.

Prepare notated budget vs actual analyses, working with store managers to report on unexpected results.

Perform ad hoc financial analyses as required by executive management.

Assist with cash flow management.

Improve consistency of reporting by assisting in the development and implementation of standardized general ledger account mapping throughout all companies.

Some project and team management.

Provide coverage for the Controller as required.

Other duties as assigned.


 


Competencies:



Ability to apply CPA Canada handbook standards to real accounting issues.

Very strong Excel knowledge and skills.

Excellent verbal and written communication skills.

Ability to work independently and within a team.

Ability to prioritize and manage competing deadlines.


 


Ideal Candidate:



Is looking for an opportunity to expand accounting knowledge while working in industry.

Wants to work within a supportive environment as part of an excellent team.

Wants an opportunity to develop staff management and mentoring skills.


 


About us


Highbury Asset Management provides executive management and shared finance and administrative services for a portfolio of real estate and retail investments with 300+ employees on Southern Vancouver Island and Salt Spring Island. The head office team just moved into brand-new, custom-built offices at the intersection of Fort St. and Oak Bay Ave. in Victoria, BC. Come join our family!


",Linkedin,Accountant,,2022-03-08 20:19:01,,
1,2955597349,Senior Public Accountant,Full-time,,V. Johanson-Witt Professional Corporation,,Greater Edmonton Metropolitan Area,"


Johanson-Witt Professional Corporation is a family-owned and operated business in Edmonton that has been providing financial accounting, tax preparation (corporate and personal), and bookkeeping services in Canada for over 40 years!




We have a proud tradition of personalizing our service to meet the specific needs of our small to large clients which have resulted in lasting business relationships - in some cases, the clients today are the same ones as 40 years ago!




Johanson-Witt Professional Corporation is a family-owned public accounting firm with over 45 years of operational excellence. We are transitioning into a digital, cloud-based operation. We are looking for capable accountants with excellent computer skills to help us implement automation to reduce redundant work and deliver accounting services to our clients. We are paperless and have small and medium-sized clients across Western Canada.




Your work would primarily focus on bookkeeping, payroll, compilation, assurance, tax, assisting clients with bookkeeping programs and entries, assisting with CRA inquiries, and as backup support for our reception/administration department as required. These additional administrative responsibilities would include answering phones, posting payments in QuickBooks, forwarding client payments to the CRA, greeting clients, and other clerical duties pertaining to the good functioning of our west-end office.




While we would prefer a candidate with two years of public practice experience, we welcome CPA students and others who feel up to the challenge. Our firm will provide whatever training is required to bridge any skills gap that might exist. Additionally, we’re looking for someone with strong verbal/written communication skills and attention to detail.




If you have questions before you apply, please call or email Michael Boyko.

We look forward to working with you soon!




Salary expected to be around 50k/year plus benefits.




Expected start date: 2022-04-01




Job Types: Full-time, Permanent




Salary: From $50,000.00 and up per year depending on experience


",Linkedin,Accountant,,2022-03-08 17:20:50,,
2,2946296357,Senior Accountant,Full-time,,McEwan Partners,,"Vancouver, BC","



Senior Accountant



Vancouver, BC



Updated March 1, 2022



 


McEwan Partners is a boutique commercial litigation firm in Downtown Vancouver founded by a group of industry-recognized litigators. We practice civil litigation with a focus on securities, shareholder and corporate litigation. We represent our clients before all levels of courts and tribunals. Our clients trust us to advise them on their most difficult and important matters. 

 

We are currently looking for a full-time
 

Senior Accountant 
with 4+ years of experience to join our firm. The position provides an opportunity to work with a vibrant, hard-working team of professionals in a laidback setting. The successful candidate will be a team-player, energetic, flexible, highly motivated, and enjoy the variety of work that comes with the small firm model.


 




Responsibilities




Full-cycle accounts payable

Daily bank deposits and monthly reconciliations

Assist with maintaining data integrity of accounting systems

Assist with monthly financial reporting and year-end audit work

Billing support (reconciling, adjustments and write-offs)

Trust accounting and compliance responsibilities according to LSBC Rules

Maintaining banking relations and related services

Government filings (GST, PST, etc)

Support other accounting functions and ad-hoc reporting as required


 



Qualifications and Skills




4+ years experience in related accounting roles required (professional services and/or law firm accounting experience considered an asset);

Proficiency with Microsoft Word, Excel, and Outlook

Quick learner and a proactive approach to problem solving

Clear and concise communication skills both written and oral

Proven ability to prioritize multiple assignments, produce quality accurate work, and meet set timelines

A strong orientation to delivering a high-level standard of service; maturity and professionalism

Superior organizational/document management skills with a strong attention to detail

Proven ability to thrive in a fast-paced deadline-driven environment

Having or working towards an accounting designation an asset

Knowledge of accounting procedures and terminology and understanding of best practices

Experience with PC Law and Worldox an asset



 




 





Compensation



·        McEwan Partners offers a competitive compensation and benefits package as well as a diverse and supportive work environment.



 





To Apply



·        Please send your resume and cover letter via email to dpoon@mcewanpartners.com with the job title in the email subject line

 

While we appreciate all applications received, only those shortlisted will be contacted.





",Linkedin,Accountant,,2022-03-08 19:11:21,,
3,2946264355,Intermediate Accountant,Full-time,,United Raw Pet Food Inc,,"Mississauga, ON","


United Raw Pet Foods Inc., a fast-growing, leading manufacturer of quality raw pet foods in Canada and a subsidiary of the Dane Creek Capital Corp., is recruiting for an energetic, driven Intermediate Accountant to assist with full-cycle accounting and financial functions of our Canadian based manufacturing operations. The role includes the preparation of our consolidated financial statements, financial reporting and maintaining controls and processes for all retail locations.




We are looking for a candidate that is a driven and personable team member with a “can-do” attitude. The ability to handle changing priorities with equanimity while maintaining open and effective communication are important attributes that you will need to be an effective member of our team.





We are currently recruiting for the following role:





Accountant (Intermediate)





Job Role Summary





This Accountant role will primarily be involved in preparing and maintain the bookkeeping and multiple general ledgers. This position will be responsible for preparing and posting journal entries, including year-end general entries, reconciling accounts, running payroll, and managing payables. In addition, some preparation of other statistical, financial, and accounting reports may be required. This position reports to the Corporate Controller, Manufacturing.





Essential Functions






Maintain and monitor company accounting records and conduct monthly/quarterly reviews;

Assist with processing accounts payable;

Process customer invoicing and maintain accounts receivable control and sub ledger;

Prepare financial statements (e.g., balance sheet, P&amp;L, statement of cash flows);

Maintain internal controls processes and systems;

Work with the retail management team on product pricing, costing and margins;

Develop and maintain financial policies and procedures across all retail locations;

Manage the timely completion of all company statutory filings (i.e. PST &amp; HST returns);

Achieve operational efficiencies throughout all locations;

Preparation of financial reports for management to support the company’s reporting requirements to various stakeholders;

Approve and process company expenses;

Perform account reconciliations;

Perform data entry;

Meet ad hoc requests as necessary.







 
Qualifications





Please note that while the following qualifications are desired, United Raw will consider reasonably equivalent combinations of education and experience when assessing candidates.





Minimum 3 years’ experience in an Accountant role is required

A Bachelor's Degree in the related field is required

Proficient with computer software, particularly

High level and ability to demonstrate professionalism and confidentiality

Strong attention to detail

Demonstrates a positive work ethic and team player attitude

Excellent organizational, time management and prioritization skills

Self-motivated

A love of pets





",Linkedin,Accountant,,2022-03-08 15:39:58,,
4,2945781916,Junior Accountant,Full-time,,Ceramex Enterprises Inc,,"Coquitlam, BC","



CERAMEX ENTERPRISES INC. 
has an exciting new opportunity for a 
Junior Accountant
 to join our accounting team in a fast-growing and expanding Group of Companies in the construction, wholesale, retail, and service industry. We value the people we hire and want all employees to bring skills that will also evolve so everyone participates in the success of our companies. You will be working out of our new head office near United Boulevard in Coquitlam.




We are looking for candidates that seek growth and is excited by challenges. You are self-motivated, proactive and pride yourself as a critical thinker in executing your accounting duties and servicing our internal and external clients. You are detail oriented, organized, take ownership and pride in your work and excel at working on your own or collaboratively. You are a focused individual with an exceptional attitude and strong work ethic. Reporting to the Controller, you are interested in pursuing a career in the accounting field and aspire to develop your accounting skills further.




Responsibility includes:


Regular review of Accounts Receivable to ensure accuracy in entering invoices, entering payments, assignment to correct project costs.

Contact and collect on overdue accounts as required.

Regular review of Accounts Payable to ensure accuracy in posting bills to the correct GL, making timely payments by cheque/credit card/online payment, collecting credit card/debit card receipts to support expense reports, assignment to correct project costs.

Monitor accounting@ emails for group of companies and reply as needed or forward to the appropriate person.

Record monthly journal entries.

Prepare monthly bank reconciliations.

Prepare inter-company invoices and reconcile inter-company account balances.

Ensure all month end processes are completed, recorded correctly, and reconciled.

Assist with the preparation of monthly management reports and analysis.

Assist with the preparation of year end audit working paper requirements.

Organize and maintain physical filing system.

Update and maintain accurate electronic filing records.

Complete full cycle accounting for 2-3 of the companies in the group, including preparing financial statements.

Assist with the books of the other companies in the group as needed.

Other general accounting and administrative tasks that may be assigned.


Experience and Qualifications:


QuickBooks Online

QuickBooks Desktop

Intermediate to Advanced Microsoft Excel, Word, and Outlook skills

Proficient written and verbal communication skills

Comfortable with multi-taking and meeting deadlines

Solid understanding of basic bookkeeping and accounting principles

Strong analytical and problem-solving skills, with a passion for precision

1-3 years of accounting experience

Diploma or Bachelor’s Degree in Accounting field preferred





Compensation:

Full Time 40 hours per week

Salary $37,000 to $43,000 per annum depending on experience, plus benefits




Thank you for your interest in Ceramex Enterprises Inc. Please forward your
 resume and cover letter
 to the above email. We look forward to reviewing your application. Only those considered for the position will be contacted for interviews.


",Linkedin,Accountant,,2022-03-08 01:37:49,,
5,2947005817,Operations Accountant,,,Parq Vancouver,,"Vancouver, BC",,Linkedin,Accountant,,2022-03-08 20:37:13,,
6,2959473203,Project Accountant,Full-time,,Weston Consulting,,"Vaughan, ON","



Over the last 40 years, Weston Consulting has become a leader in land use planning and urban design, serving the public and private sectors throughout the Greater Toronto and Hamilton Area in Ontario. Due to our on-going contribution to the built environment and our commitment to our clients, we are looking to grow our team through the addition of a Project Accountant. 





Core Values






• Integrity
 - Culture of Integrity, Professionalism and Trust


• Teamwork 
- Working Together in a Structure of Accountability, Results and Reward


• Develop
 - Recruit, Develop and Support the Best Talent


• Engagement 
- Giving Back to the Community, the Industry and the Planet


• Client Focus
 - Client Value and Management




At Weston, you will have the opportunity to work within a multi-skilled administrative team. You will directly contribute to driving sustainable growth and success of the firm by undertaking project budget management, billing and collections, and other project administrative duties. You will also assist and advise File Managers to understand the financial life cycle of their projects.





Your responsibilities, under the guidance of the Director of Finance and Business Support and other senior staff, will include: 





• Effectively communicate with File Managers, proposal team and clients regarding proposal sign-back documents, amendments for additional services, and ensure written authorization and retainer payment as required are received

• Review contract for project budgets, staffing and work structures breakdown and set up contract management/update budget information in Deltek

• Review New Client Set Up Info Sheet, update billing name and set up billing terms

• Collaborate with File Managers as needed to review project performance metrics and budget status. Prepare project-related reports for file managers and others as required

• Run draft invoices and backup for File Managers, process and distribute final invoices to clients once approved

• Investigate any unbilled issues to optimize the fees revenue for the billing period

• Assist with File Managers to obtain approval according to the firm’s policies as to write-offs on billable hours and uncollected receivable

• Contact clients prior to invoice becoming due to ensure payments are received within approved terms, follow up with clients for past due invoices

• Work with accounting team member to reconcile variances that occur in cash receipts application

• Take initiatives to provide business support and advice to assisting Planning Teams

• Respond to client inquiries regarding invoicing matters (accounting related) and escalate to File Managers and Director of Finance and Business Support as to issues related to planning, follow up with File Managers to ensure items are addressed within a reasonable timeframe





You will bring: 


• The ability to collaborate and communicate effectively with staff, clients, vendors and members of the public

• Strong interpersonal, time-management, teamwork and organization skills, within a fast-paced, results-driven environment

• High attention to detail, takes initiative and the ability to gather, process and analyze information and see the big picture while working independently and with the team

• The ability to work well with others under deadline situations and respond to changes in priorities

• Intermediate to advanced proficiency in Excel, is required

• Post-Secondary Education in Accounting or are qualified by experience

• Minimum 3 years of accounting experience, preferably in a consulting firm environment

• Knowledge of Deltek Vantagepoint is an asset




At Weston, we support each other as a team, through various company-wide events. We are committed to assisting individuals with personal and professional growth through achieving a work-life balance by offering summer hours, lieu days and flex-time. We provide a competitive salary and benefits package.




We are committed to providing equal opportunities, access to resources and fair treatment of all individuals. All voices, thoughts and ideas hold value and we seek to make sure that they are encouraged and heard. We strive to create a workplace that reflects and celebrates diversity and encourages members of equity-seeking groups to self-identify in their cover letters.




If you require accommodation in order to participate in the hiring process, please let us know of your needs in advance by contacting us directly.




Please submit your cover letter and resume, in confidence, via email to
 Ashley Mannello
 at 
hr@westonconsulting.com
. Please limit the size of attachments to 5mb in pdf format, and list your name and the role you are applying for in the subject line.




We thank all applicants for their interest. However, only those selected for an interview will be contacted.


",Linkedin,Accountant,,2022-03-08 15:36:25,,
7,2947025533,Intermediate Accountant,Full-time,Entry level,Drax Group Canada,Paper and Forest Product Manufacturing,"Richmond, BC","



What Does This Mean? 



As an Intermediate Accountant, you will prepare schedules, working papers, and analysis to support monthly full cycle accounting responsibilities, including operations and corporate journal entries, accounts payable and accruals, operating costs, hourly wages, SG&amp;A, and other core accounting transactions.


You will complete monthly reconciliation of general ledger accounts, including full reconciliation and analysis of account details and balances and assist the accounting team with:



Working papers and schedules for internal and external financial reporting

Semiannual and annual external audit materials

Month-end financial reporting and various financial analysis.


This position reports to the Operations Controller.



Who You Are? 



You have 3-5 years progressive full cycle accounting experience in total, preferably in the manufacturing industry. 


You have completed Bachelor of Business Admin, Commerce or related degree from a recognized institution and maybe you are in pursuit of a CPA designation!


You have a basic understanding of IFRS. And if you have worked with any of the programs that we use, then that is a bonus! We use NetSuite, LIMS, and API.


At Drax, we’re at our best when we’re proactive, committed, and reliable - and trust others to be the same, so we are open to discussing hybrid working so you can be where you need to be. 
 



If this peaks your interest, apply with your resume today and a member of our Talent Team will contact you.


To learn more about how Drax are enabling a zero carbon, lower cost energy future, click here.


",Linkedin,Accountant,,2022-03-08 22:33:28,Accounting/Auditing,
8,2919831866,"Assurance Senior Staff Accountant, Core Audit",Full-time,Mid-Senior level,EY,"IT Services and IT Consulting, Software Development, and Financial Services","Vancouver, BC","

        At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

From small businesses to some of the world’s best-known brands, our clients count on reliable financial statements, information and processes to inform their ongoing strategies. More than ever, business is about interpreting and reacting to complex data — and they look to us for advice and services they can trust every time. You’ll use your professional skills and experience to make it happen, handling complex audit procedures across a broad range of industries and responsibilities. You won’t find an assurance culture like this anywhere else, so whether you’re looking for a long-term, or are interested in progressing on to other areas, this is a great place to be.


The opportunity


As an Assurance Senior, you will be a professional member of Assurance practice. Together with our substantial investments in technology, knowledge, and learning resources for our audit professionals, you will be part of the team that delivers quality assurance services to our clients and their stakeholders.


Your Key Responsibilities


As an Assurance Senior you will deliver quality assurance services to our clients and their stakeholders.


Skills And Attributes For Success



Develop and maintain productive working relationships with client personnel and assess clients' satisfaction.

Proactively maintain contact with the client throughout the year. 

Direct fieldwork daily, inform supervisors of the engagement status, and manage staff performance. 

Adapt the audit approach to the changing client environment. 

Demonstrate a thorough understanding of complex accounting and auditing concepts and apply them to client situations. 

Develop people through effectively delegating tasks and providing guidance to staff. Provide performance feedback and training, and conduct performance reviews. 

Foster an efficient, innovative, and team-oriented work environment. Contribute ideas/opinions to the audit teams and listen/respond to other team members' views. 

Use technology to continually learn, share knowledge with team members, and enhance service delivery. 

Maintain an educational program to continually develop skills. Develop an understanding of EY's service lines and actively seek/encourage team members to contribute ideas and identify opportunities to apply the firm's services. 




To qualify for the role you must have



An undergraduate or graduate degree in accounting, and/or an undergraduate or graduate degree 

Canadian CPA designation or equivalent reciprocal designation, or currently completing the Canadian CPA designation

A minimum of 2 years of experience working as an auditor for a public accounting firm, or particular business/industry experience to meet special needs 

Excellent project management skills, advanced written and verbal communication skills 

A dedication to teamwork and leadership 

Integrity within a professional environment




Ideally, you’ll also have 



The ability to work independently in a fast-paced, dynamic team-oriented environment 




What We Look For


We’re interested in strong team players who support their colleagues in reaching their goals while also considering their own workload and development. If you have the confidence to speak up and influence a team that affects big businesses worldwide, this role is for you.


What We Offer


At EY, our Total Rewards package supports our commitment to creating a leading people culture - built on high-performance teaming - where everyone can achieve their potential and contribute to building a better working world for our people, our clients and our communities. It's one of the many reasons we repeatedly win awards for being a great place to work.

We offer a competitive compensation package where you’ll be rewarded based on your performance and recognized for the value you bring to our business. In addition, our Total Rewards package allows you decide which benefits are right for you and which ones help you create a solid foundation for your future. Our Total Rewards package includes a comprehensive medical, prescription drug and dental coverage, a defined contribution pension plan, a great vacation policy plus firm paid days that allow you to enjoy longer long weekends throughout the year, statutory holidays and paid personal days (based on province of residence), and a range of exciting programs and benefits designed to support your physical, financial and social well-being. Plus, we offer:


Support and coaching from some of the most engaging colleagues in the industry

Learning opportunities to develop new skills and progress your career

The freedom and flexibility to handle your role in a way that’s right for you




Diversity and Inclusion at EY


Diversity and inclusiveness are at the heart of who we are and how we work. We’re committed to fostering an environment where differences are valued, policies and practices are equitable, and our people feel a sense of belonging. From our actions to combat systemic racism and our advocacy for the LGBT+ community to our innovative Neurodiversity Centre of Excellence and Accessibility initiatives, we welcome and embrace the diverse experiences, abilities, backgrounds and perspectives that make our people unique and help guide us. Because when people feel free to be their authentic selves at work, they bring their best and are empowered to build a better working world.


EY Way of Work and your health and safety


EY Way of Work recognizes flexibility in the way we collaborate, innovate and deliver with the ability to work in-person and remotely. To support a healthy and safe in-person working environment, EY has implemented various layers of health and safety controls while working in the office or at client or other locations. A critical component of EY’s workplace safety program includes our COVID-19 vaccination policy which requires all personnel to be fully vaccinated against COVID-19 unless an accommodation based on a reason protected by human rights legislation is provided.


EY | Building a better working world 


EY exists to build a better working world, helping to create long-term value for clients, people and society and build trust in the capital markets.

Enabled by data and technology, diverse EY teams in over 150 countries provide trust through assurance and help clients grow, transform and operate.

Working across assurance, consulting, law, strategy, tax and transactions, EY teams ask better questions to find new answers for the complex issues facing our world today.
      
",Linkedin,Accountant,,2022-03-08 12:06:33,Accounting/Auditing and Finance,
9,2960159610,Staff Accountant,Full-time,Entry level,Oatey Company,Wholesale Building Materials,"Newmarket, ON","

        620 Steven Court, Newmarket, Ontario L3Y 6Z2 Canada

At Oatey we are committed to help our Associates grow their career. Apply today and grow with Oatey!



Position Summary



Reporting to the Plant Controller, the Senior Accountant is responsible for accounts receivable management and some general accounting functions.



Position Responsibilities




Record all cash receipts.

Follow-up on any short payments, and issue credit notes when necessary.

Analyse the A/R aging report, perform cash collection calls and follow-up on any past due invoices.

Analyse deductions, research any price discrepancies or follow-up on lost merchandise, etc.

Reconcile accounts receivable ledger to ensure all payments are accounted for and properly posted.

Provide a detailed analysis of the AR aging report and send explanations for overdue balances to the US team weekly.

Respond to all customer requests.

Work in conjunction with the Plant Controller to establish and review customer credit limits, customer credit reclass.

Calculate monthly commissions to agents and record the expense in the G/L.

Calculate applicable rebates and allowances per the customer contracts.

Any additional ad hoc requests.




Knowledge And Experience




5-7 years of experience in accounts receivable or general accounting.

Advanced Excel skills.

Strong understanding of credit policies and procedures (an asset).

Excellent communication and interpersonal skills, a professional attitude.

Tactful, persistent, and decisive attitude when communicating with customers.

Knowledge of SAP or Oracle (Microsoft Dynamics AX an asset).

Ability to work independently with minimal supervision.

Attention to detail.

Proven organizational and prioritization skills; capacity to deal with multiple tasks and tight deadlines.




Education And Certification




Completed College diploma or Bachelor’s degree (preferred)



",Linkedin,Accountant,,2022-03-08 22:48:29,Accounting/Auditing and Finance,
