,id,job_title,job_type,job_exp,company,industries,location,description,source,search_kw,expected_salary,post_date,job_function,remote
0,2691871676,"Associate Production Manager (Feature Animation & VFX)Vancouver, BC",Full-time,Associate,Industrial Light & Magic,"IT Services and IT Consulting, Marketing Services, and Software Development","Vancouver, BC","



Description




Position at Industrial Light &amp; Magic


Position Summary

The Associate Production Manager works closely with the Coordinators on the project in keeping the show operating in an organized and efficient manner. The APM will oversee the show sequence or discipline schedules and help guide them in order to have a comprehensive sequence or overall show schedule, depending on project size. Associate Production Managers also work with and delegate to the project Production Assistants.

What You'll Do



Establish a show schedule and work closely with the Coordinators in order to maintain a strong overall schedule. In addition, may involve coordinating for a specific group (discipline) of artists (or multiple groups) on any given project.

Work closely with the Producer and Production Manager to bid shot work.

Report to Project (“Show”) Producer and Production Manager potential issues that may affect the schedule or workflow.

Correspond with client regarding reviews, schedule, and needs.

Supports discipline supervisors and/or leads in crewing, casting and scheduling bodies of work, keeping in mind the overall show schedule, client reviews, bids, and other discipline needs.

Establish a process for communicating discipline targets, assignments, and priorities to discipline or sequence crews, as well as the overall show crew. This should be daily and/or weekly.

Schedule, track, and manage assigned work within Shotgun as well as working with Production Managers to display the information in a physical and digital form (magnet boards / conference rooms/online tools) in order to be visible to the team.

Ensure work is on schedule for each department and is meeting internal and external (client) deadlines. 

Track client needs, reviews and deliveries to make sure all disciplines hit their targets.

Keep a weekly synopsis of discipline and/or sequence accomplishments and next steps.

Serve as key communication liaison between all parties relevant to your work. Provide updates, priorities, reschedules, and status of all shots at any given moment. 

Anticipate and communicate issues to leadership team(s) to reach solutions in a timely manner. 

Act as primary point person for organizing dailies/shot reviews throughout the day on behalf of your discipline Supe/Lead. Take notes regarding feedback and decisions made and enter any required information into Shotgun/communicate to all so as to provide updates to all others impacted.

On relevant shows, oversee outsourced work so that vendors’ bids and schedule flow with the overall show schedule, and confirm that vendors’ bids and schedule are in line with the goals of the show.

Technical ability and understanding required to run Linux, Windows, and Mac-based programs for reviews with crew (dailies), clients, external vendors, and various meetings.

 Conference room, Viewstation and basic technical setup and troubleshooting (running generic scripts to resolve issues). Prioritization and escalation of technical support issues. 

Perform special projects as needed. 



Additional Responsibilities as Needed on Shows:



May accompany VFX Supervisor and Matchmover on location for blue screen and principle photography work. Oversees for camera reports, shot information sheets, and matchmove information. Must be able to recognize and report back to ILM production any changes to shots that affect the budget.

Serve as the main point person between the Production and VFX Editors. Discuss cut lengths, key frame numbers, editorial discrepancies and other specifics regarding film.

Reserve equipment and resources needed for location and stage work; monitor schedules to avoid conflicts.



What We're Looking For



Bachelor’s degree in Film, Art, Drama or related field or equivalent work experience required.

Significant previous experience in production to include strong working knowledge of post production techniques and terminology.

Proficiency in Macs/PCs including Microsoft Word and Excel. Knowledge of UNIX required.

Must possess very strong organizational and communication skills and be able to handle a variety of tasks in an efficient manner while meeting deadlines.

Ability to work on a computer/keyboard for long periods of time

Ability to work overtime on an ongoing basis

Ability to travel as needed

Must have the ability to juggle multiple projects, work with diverse personalities and work within strict deadlines.

Attention to detail, follow through and strong communication skills.



This position is with Lucasfilm Entertainment Company Ltd. LLC, which is part of a business segment we call Industrial Light &amp; Magic. Lucasfilm Entertainment Company Ltd. LLC is an equal opportunity employer. Applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veteran status or any other basis prohibited by federal, state or local law. Lucasfilm fosters a business culture where ideas and decisions from all people help us grow, innovate, create the best stories and be relevant in a rapidly changing world. **FOR U.S. BASED NEW HIRES ONLY:** We are taking a responsible approach to creating environments that allow us to do what we do best - entertain and inform millions around the world. As part of our commitment to health and safety, COVID-19 vaccines are required for current U.S. salaried and non-union hourly employees, as well as all newly hired U.S. employees.

Lucas

Lucas

Lucas o90Zdfw5
      
",Linkedin,Production Manager,,2022-03-08 10:38:45,"Marketing, Public Relations, and Writing/Editing",
1,2919866021,Production Manager,Full-time,Associate,WestRock Company,Packaging and Containers Manufacturing,"Milton, ON","

        8150 Parkhill Drive

Milton, Ontario, L9T5V7

Canada


Do you want to work for a Global Company that supplies some of the World's Largest brand name customers? We are an innovative packaging solutions provider and are looking for a Production Manager to join our Milton team.




Opportunity Summary



Our Milton, Ontario Corrugated Plant is hiring a Production Manager. The Production Manager is responsible for the day-to-day activities of maintaining the plant facility operations, including safety policies, personnel, housekeeping, maintenance, production activities, customer requirements, planning and scheduling. The PM will serve as a member of the management leadership team and must contribute to achieving sales objectives. The Production Manager will also serve as a coach to team members and assist in the development and evaluation of direct reports.



How You Will Impact WestRock




 Provide leadership and guidance on the coordination of the 24/7 plant activities through planning with Superintendents to ensure the manufacturing objectives are accomplished in a timely and cost-effective manner

 Review customer requirements and specifications to identify improvement opportunities and implement solutions to increase customer satisfaction

 Coordinate and maintain ongoing, effective, safety plans to ensure program adoption and implementation

 Offer new ideas to support fulfillment of department goals and procedures for continuous improvement, retention of customer base, company profitability, and employee job satisfaction

 Develop and manage defined communication channels across various stakeholder groups to build effective relationships and produce superior products

 Manage P&amp;L, capital expenditures, manufacturing costs and operating efficiencies to improve plant profitability

 Monitor and control waste management to manage production costs and reduce environmental impacts




What You Need To Succeed




 High School diploma or G.E.D.

 7 to 10 years of experience in manufacturing industry

 7 plus years of related leadership experience in a production facility

 Demonstrated mechanical acumen

 Proven experience using scheduling software

 Ability to work in fast paced JIT (just-in-time) manufacturing environment

 Demonstrated expertise in process management to ensure production efficiency

 Relentless determination and courage to make things happen; strong execution skills; results-oriented

 Ability to respond quickly to changing demands, processes, and updated information

 Demonstrated understanding of quality processes and continuous improvement, such as Six Sigma certification

 Excellent communication skills and ability to interact across all levels of the organization, while accomplish organizational goals

 Demonstrated knowledge of capital management (P&amp;L and capital budgets) and analyzing financial data

 Established courses of action for self and/or others to accomplish specific planning goals




Why Work For WestRock




 Competitive Salary and bonus plan

 Comprehensive Benefits Plan from the first day of hire

 Company matched DC Pension Plan from the first day of hire

 Employee Stock Purchase Plan

 A Company focused on continuous learning with Tuition Reimbursement Plan

A career with a global packaging company where Sustainability, Safety, and Inclusion are business drivers and foundational elements of the daily work.

A management team committed to WestRock's values of Respect, Accountability, Integrity and Excellence


As part of our commitment to accessibility for all persons with disabilities, WestRock will, upon request from the applicant, provide accommodation during the recruitment process to ensure equal access to applicants with disabilities. Please contact WestRock, Human Resources at (905)864-4003 about your needs and we will consult with you to ensure suitable accommodation is provided.

Apply to www.westrock.com/careers . ATR15196.
      
",Linkedin,Production Manager,,2022-03-08 11:21:57,"Marketing, Public Relations, and Writing/Editing",
2,2959795124,Maintenance Production Manager | YUL Based,Full-time,,Innotech-Execaire Aviation Group,,"Dorval, QC","


If you’re looking for an opportunity to join and grow with a dynamic company, you will thrive at Innotech-Execaire Aviation Group!

Come and Lead our exceptional and dynamic, experienced Maintenance TEAM!        


What your day will look like as a Maintenance Production Manager with Execaire:


The maintenance production manager (MPM) will be responsible for all aircraft maintenance and NDT (Non Destructive Testing) activities.

The MPM will look after the overall management and administration of the Execaire maintenance and NDT departments.

Are you a bilingual licensed AME with 5-8 years of experience managing a diverse Maintenance Team?

Don’t miss this opportunity. Send your resume to Peter Hehn at Peter.hehn@innotech-execaire.com


",Linkedin,Production Manager,,2022-03-08 20:00:31,,
3,2946273095,VFX Central Production Manager,Contract,Mid-Senior level,Moving Picture Company,Movies and Sound Recording,"Montreal, QC","


Company Description



This job application remains open even when we don’t have roles available. If you would like to be considered, please apply and we will contact you as soon as we have an opening


With offices all over the globe, MPC is one of the world's leading visual effects studios, creating high-end VFX for the advertising and feature film industries. We are constantly looking for the best talent in the world, enthusiastic people that come to work every day with the desire to be a part of some of the best work in the industry.

Our teams in London, and throughout our global network of studios, produce creative, visually stunning and technically challenging VFX and digital projects of the highest quality, and we are looking for candidates with a desire to be involved in the success of these projects


Job Description


We have created a collaborative team environment where Artists and Production work alongside each other to deliver stunning, award-winning visual effects for our Clients.

The Central Production Manager is responsible for the people management of the Production crew within the facility, as well as the overall delivery of projects within that facility.


Plan &amp; structure the production team for new and existing shows

Directly manage PC’s and PA’s, including contract extensions, performance management, probation reviews, salaries, quarterly evaluations, etc.

Plan for, hire and onboard new production starters

Support the production team to ensure quotas are being met on time and within budget for all projects

Support overall team engagement, such as arranging quarterlies/socials


The CPM will drive the learning development and effective training of their team and innovate efficiencies with the global central production team.


Diagnose problems or inefficiencies within the structure and identify improvements for production tools

Review and update hard and soft skill training content for the production team

Participate in Compliance reporting to ensure consistency and good performance across all Direct Reports

Create procedures and documentation for Production

Using proficiency in production tools, support and train the production team, answer any questions, and ensure best practices are known and understood

Support the movement of team members into the Production Pathways program for career development


The CPM champions a positive and productive culture of high performance, supporting the brand as a global industry leader in visual effects.


Support and manage ad hoc projects as requested to improve global efficiency

Work with technology to create new shows when awarded, support on client visits, etc.

Provide production support for newly awarded projects, ensuring strong show set up, and working with Business Development on potential pitch work

In collaboration with the global production team, ensure MPC standards are being met

Be an advocate of diversity and inclusivity, and act as an ambassador to promote MPC film within the local film community



Qualifications



VFX CPM Essentials



Previous experience in VFX scheduling &amp; pipeline, minimum of 3 years

Previous experience in people and project management

Strong time management, initiative and decision-making skills

Strong interpersonal skills

Strong organization skills &amp; attention to detail

Team player who can build relationships and manage teams, including difficult conversations

Ability to work with and inspire a team

Good presentation skills, confidence in presenting to executives



Any Of The Following Technical Skills Is a Bonus



MS Office packages, specifically Office 365

Shotgun

Render management

Timesheet tools



Additional Information


Please click here to review our privacy notices for job applicants.

If you require assistance applying, please reach out to tcstalent@technicolor.com and we'll be happy to assist.


TECHNICOLOR IS AN EQUAL OPPORTUNITY EMPLOYER


Technicolor complies and prohibits against discrimination on the basis of race, religion, creed, color, national origin, ancestry, medical condition (including genetic characteristics), mental and/or physical disability or handicap, marital status, sex, age, veteran status, citizenship status, sexual orientation, gender identity, political party preference, political belief, socioeconomic status, familial status, registered domestic partner status, military service, pregnancy, childbirth and related medical conditions and any other characteristic or activity protected by federal, state/provincial or local law
      
",Linkedin,Production Manager,,2022-03-08 16:23:17,Art/Creative,
4,2958185649,"Delivery Manager, Product Reliability and Operations",Full-time,Not Applicable,Thomson Reuters,Entertainment Providers,"Toronto, ON","

        The Legal Technology Infrastructure and Operations group is seeking a Delivery Manager to join our team in Toronto, Canada. This is a key technical role that will lead, empower, and coordinate a skilled technical team of individuals toward delivering enterprise technology solutions. This operational team is responsible for HighQ a modern, adaptable legal work solution.

https://legal.thomsonreuters.com/en/products/highq


About The Role


In this opportunity as a 

Delivery Manager,

 you will:


Be a People Leader: manage a team of technologists with varied skills and experience levels. Coach and mentor current and future leaders within the team, be responsible for proactively identifying individual training needs, conducting performance reviews, and maintaining a healthy team culture

Be a Project Leader: train/coach team members in project delivery. Strategically plan, design, and implement software to deliver value to customers, managing multiple projects simultaneously

Be a Technical Leader: HighQ operates in a public cloud and private cloud and the team consists of SRE, DevOps, and Datacenter Operations to support the environments.

Be an efficient Stakeholder Manager: collaborate and engage with stakeholders such as business teams, product owners, and project management in defining the roadmap for products and processes. Act as point of contact in resolving stakeholder issues

Be a Decision Maker: make quick and effective date-driven decisions with good problem solving and analytical skills, and roll-out strategy that aligns with company goals 

Be an Effective Communicator: Effectively articulate complex problems, concepts, and solutions to varied audiences

Focus on Continuous Improvement and Technical Standards: drive improvements in productivity, software quality, and reliability. Foster a continuous learning culture and curiosity about emerging technologies




About You



Bachelor’s degree or equivalent required, Computer Science or related technical degree preferred

5 years of relevant experience in software development, architecture, and/or technology leadership

Proven ability to set direction and inspire team members to engage and deliver on a vision

Broad understanding of technology stacks used to build distributed application systems

Hands-on experience using the Agile project management methodology

Proven ability to learn new technologies quickly

Excellent written and verbal communication skills

Hands-on experience with programming and scripting languages

Comfortable in a fast-paced environment and motivated by complex technical and business challenges




What’s in it For You: 


You will join our inclusive culture of world-class talent, where we are committed to your

personal and professional growth through:


Hybrid Work Model: Currently, as part of our COVID-19 response, our employees are working remotely and following local COVID-19 bylaws and guidelines with the majority of our offices planning to remain remote throughout 2021. Upon return, we will embrace a hybrid work environment consisting of in-office and remote work.

Culture: Globally recognized and award-winning reputation for equality, diversity and inclusion, flexibility, work-life balance, and more.

Wellbeing: Comprehensive benefit plans; company-wide Mental Health Day Off; Headspace app subscription; retirement, savings, tuition reimbursement, and employee incentive programs; resources for mental, physical, and financial wellbeing.

Learning &amp; Development: LinkedIn Learning access; internal Talent Marketplace with opportunities to work on projects cross-company; Ten Thousand Coffees Thomson Reuters café networking.

Social Impact: Eight employee-driven Business Resource Groups; two paid volunteer days annually; Environmental, Social, and Governance (ESG) initiatives for local and global impact.



Do you want to be part of a team helping re-invent the way knowledge professionals work? How about a team that works every day to create a more transparent, just and inclusive future? At Thomson Reuters, we’ve been doing just that for almost 160 years. Our industry-leading products and services include highly specialized information-enabled software and tools for legal, tax, accounting and compliance professionals combined with the world’s most global news services – Reuters. We help these professionals do their jobs better, creating more time for them to focus on the things that matter most: advising, advocating, negotiating, governing and informing.

We are powered by the talents of 25,000 employees across more than 75 countries, where everyone has a chance to contribute and grow professionally in flexible work environments that celebrate diversity and inclusion. At a time when objectivity, accuracy, fairness and transparency are under attack, we consider it our duty to pursue them. Sound exciting? Join us and help shape the industries that move society forward.


Accessibility 


As a global business, we rely on diversity of culture and thought to deliver on our goals. To ensure we can do that, we seek talented, qualified employees in all our operations around the world regardless of race, color, sex/gender, including pregnancy, gender identity and expression, national origin, religion, sexual orientation, disability, age, marital status, citizen status, veteran status, or any other protected classification under applicable law. Thomson Reuters is proud to be an Equal Employment Opportunity/Affirmative Action Employer providing a drug-free workplace.

We also make reasonable accommodations for qualified individuals with disabilities and for sincerely held religious beliefs in accordance with applicable law.



Protect yourself from fraudulent job postings click here to know more.



More information about Thomson Reuters can be found on thomsonreuters.com.
      
",Linkedin,Production Manager,,2022-03-08 04:23:50,Information Technology,
5,2946272157,VFX Production Manager / Gestionnaire de Projet aux Effets Visuels,Contract,Mid-Senior level,Moving Picture Company,Movies and Sound Recording,"Montreal, QC","


Company Description



This job application remains open even when we don’t have roles available. If you would like to be considered, please apply and we will contact you as soon as we have an opening


The Moving Picture Company (MPC) is a global creative studio with a single goal: to create experiences that move people. With decades of storytelling experience, we are perpetually pushing the limits of what is technologically and artistically possible to tell visually stunning stories.

MPC continues to lead in an ever-evolving industry, building authentic and long-lasting connections with audiences across all channels.

For more information about MPC – Partners in storytelling – www.mpcfilm.com


Job Description


In partnership with Producers, VFX Supervisors and CG Supervisors, the Production Manager oversees the day-to-day of the project.

The PM is involved in the team management and training of coordinators and production. The PM must maintain a high level and global overview of the project and its progress. You’ll balance deliveries against Producer set quotas and stay in alignment with discipline shot teams, adjusting when needed to ensure schedules are aligned.

Other duties include render forecasting and managing the nightly/weekend rendering schedule; priority management and ensuring that all materials for client review are sent out.


Qualifications



Production Manager Essentials:



Proven experience of strategic scheduling within VFX

Highly organized and analytical

Good use of initiative, decision-making and issue management with the ability to drive issues through to resolution; prioritization and delegation; time management

Experience in creation, planning and implementation of small and large projects

Managing difficult conversations; managing remote teams; teamwork and training others

VFX Film Industry knowledge and Show experience



Additional Information


Please click here to review our privacy notices for job applicants.

If you require assistance applying, please reach out to tcstalent@technicolor.com and we'll be happy to assist.


TECHNICOLOR IS AN EQUAL OPPORTUNITY EMPLOYER


Technicolor complies and prohibits against discrimination on the basis of race, religion, creed, color, national origin, ancestry, medical condition (including genetic characteristics), mental and/or physical disability or handicap, marital status, sex, age, veteran status, citizenship status, sexual orientation, gender identity, political party preference, political belief, socioeconomic status, familial status, registered domestic partner status, military service, pregnancy, childbirth and related medical conditions and any other characteristic or activity protected by federal, state/provincial or local law.
      
",Linkedin,Production Manager,,2022-03-08 16:23:13,Art/Creative,
6,2959785295,Gestionnaire de production,Full-time,,Peinture Mauricie inc.,,"Trois-Rivières, QC","



Alerte emploi - Gestionnaire de production


Peinture Mauricie inc. est à la recherche d’un gestionnaire de production. 

La principale fonction du gestionnaire de production est d’assister l’entrepreneur dans la gestion de la production des travaux de peinture intérieurs, extérieurs et commerciaux de l'entreprise. Ce rôle est composé de plusieurs activités : la formation et l'accompagnement des peintres en bâtiment, la gestion de la production, le contrôle de la qualité et le service à la clientèle.




Les tâches du gestionnaire consistent à assister l'équipe de peintre en bâtiment en préparant adéquatement les chantiers et en s'assurant que les travaux se déroulent comme prévus. Ces tâches s'exécutent autant sur la route qu'au siège social de l'entreprise.





Exigences et qualifications requises



15h/semaine (janvier à mi-avril)

40h/semaine (mi-avril à septembre)

Organisé, prévoyant et travaillant

Bonne capacité de leadership et de gestion du personnel

Avoir de bonnes habiletés de communication






Salaire



Salaire de 17$/h

Bonis de performances allant jusqu’à 15 500$/an

Autres avantages





Faire parvenir votre CV à info@peinturemauricie.ca


",Linkedin,Production Manager,,2022-03-08 19:46:08,,
7,2946269684,Production Manager,Full-time,Mid-Senior level,Mikros Animation,Movies and Sound Recording,"Montreal, QC","


Company Description


Mikros Animation is a global CGI animation studio located in Paris, Montreal, Los Angeles, Bangalore and London, dedicated to feature films and episodic content. Since its inception, Mikros Animation has always put creativity and CG artistry at the heart of its animation and production activities, allowing our artists to work across a great variety of stories with a high level of stylized craft. So far, Mikros Animation has contributed to ten released feature animations and to numerous high-quality animated series, for the world’s best-known animation studios, either as creative studio, line producer or executive producer. Mikros Animation has also produced more than 250 hours of programming, broadcast by notable channels including Cartoon Network, Nickelodeon, TF1, France TV, Gulli, M6, Gloob, and Super RTL. Our animated episodic content airs and streams globally, in over 180 countries.

At Mikros Animation, we believe great animation is about making real connections with real people. By partnering with filmmakers to unite their creative visions, with our industry-leading craftsmanship and artistry, we create characters that connect with audiences on an authentic and emotional level to bring powerful stories to life.


Job Description


Reporting to the Head of Production, the Production Manager has an essential role in production. You will be responsible for the day-to-day management of the production activities. You will guarantee the respect of the schedules, the quality of the deliverables to reach the objectives defined by the production. You will work closely with the Head of Production, Producer, CG Supervisor and Departments Supervisors to manage changes in planning.


Assist the Head of Production in the development of production strategy.

Maintain overall production schedule and manage departmental quotas.

Make recommendations for improvements to production workflow, particularly with-respect-to scheduling, flow of information and resource management.

Send weekly report to the Head of Production with Production Updates.

Maintain production crew lists updated.

Approve artistes time sheets.

Daily interaction with the client on production related needs and deliveries.



Qualifications



More than 3 years of experience as production manager or production coordinator

Experience in the production of 3D animation

In-depth knowledge of the production and animation workflow

Proficiency in the Microsoft Office suite, especially with Excel

Good knowledge of Shotgun software or similar is required

Bilingual French / English is required



Additional Information


Please click here to review our privacy notices for job applicants.

If you require assistance applying, please reach out to tcstalent@technicolor.com and we'll be happy to assist.


TECHNICOLOR IS AN EQUAL OPPORTUNITY EMPLOYER


Technicolor complies and prohibits against discrimination on the basis of race, religion, creed, color, national origin, ancestry, medical condition (including genetic characteristics), mental and/or physical disability or handicap, marital status, sex, age, veteran status, citizenship status, sexual orientation, gender identity, political party preference, political belief, socioeconomic status, familial status, registered domestic partner status, military service, pregnancy, childbirth and related medical conditions and any other characteristic or activity protected by federal, state/provincial or local law.
      
",Linkedin,Production Manager,,2022-03-08 16:23:42,Art/Creative,remote
8,2947006506,Production Manager,Full-time,,Carpenter Co.,,"Woodbridge, ON","

        Carpenter Canada Co. has an immediate opening for a Production Manager at our Woodbridge, ON manufacturing plant. This position is responsible for safe, accurate and timely fulfillment of customer orders while adhering to the Company’s guiding principles and value of order.

Working for Carpenter Canada Co. means:

Have a permanent, full-time and stable position with the possibility of advancement;

Have group insurance paid by the employer;

Have a competitive salary;

Have a pension plan with employer contribution;

Easy access location;

Free parking.

Responsibilities:

Your responsibilities will include, but are not limited to the following:

Supervision:

Plan work and distribute tasks to employees

Apply company policies

Complete and approve payroll timesheets

Ensure the use of PPE and zero tolerance for at-risk behavior and unsafe work.

Collaborate with HR to address employee inquiries

Performance management

Report daily department results at daily meetings.

Identify appropriate corrective actions and implement corrective actions.

Find out from stakeholders about the priorities and needs in the plant.

Give appropriate feedback to employees.

Participate in the continuous improvement process and recognize opportunities.

Complete the monthly occupational health and safety training.

Perform health and safety inspections.

Administration

Produce or complete the necessary administrative forms: HR, quality management, etc.

Follow up with appropriate telephone and email follow-ups.

Report quality issues to the quality department.

Qualifications:

Experience / education / skills

Post-secondary education.

3 - 5 years of production experience in a lean manufacturing environment.

3 - 5 years of production supervisor experience is required.

Problem-solving and decision-making capabilities.

Demonstrated communication skills.

Experience working with SAP or similar systems is an asset.

Must possess high-level proficiency with MS Office Suite.

Carpenter Canada Co. is an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, religion, sex, national origin, or other legally protected characteristic.



",Linkedin,Production Manager,,2022-03-08 20:29:01,,
9,2955583647,VFX Production Manager / Gestionnaire de Projet aux Effets Visuels,Contract,Mid-Senior level,Moving Picture Company,Movies and Sound Recording,"Montreal, QC","


Company Description


The Moving Picture Company (MPC) is a global creative studio with a single goal: to create experiences that move people. With decades of storytelling experience, we are perpetually pushing the limits of what is technologically and artistically possible to tell visually stunning stories.

MPC continues to lead in an ever-evolving industry, building authentic and long-lasting connections with audiences across all channels.

For more information about MPC – Partners in storytelling – www.mpcfilm.com


Job Description


In partnership with Producers, VFX Supervisors and CG Supervisors, the Production Manager oversees the day-to-day of the project.

The PM is involved in the team management and training of coordinators and production. The PM must maintain a high level and global overview of the project and its progress. You’ll balance deliveries against Producer set quotas and stay in alignment with discipline shot teams, adjusting when needed to ensure schedules are aligned.

Other duties include render forecasting and managing the nightly/weekend rendering schedule; priority management and ensuring that all materials for client review are sent out.


Qualifications



Production Manager Essentials:



Experience in project management

Proven experience of strategic scheduling in a creative industry

Highly organized and analytical

Good use of initiative, decision-making and issue management with the ability to drive issues through to resolution; prioritization and delegation; time management

Experience in creation, planning and implementation of small and large projects

Managing difficult conversations; managing remote teams; teamwork and training others

FX Film Industry knowledge and Show experience is a plus



Additional Information


Please click here to review our privacy notices for job applicants.

If you require assistance applying, please reach out to tcstalent@technicolor.com and we'll be happy to assist.


TECHNICOLOR IS AN EQUAL OPPORTUNITY EMPLOYER


Technicolor complies and prohibits against discrimination on the basis of race, religion, creed, color, national origin, ancestry, medical condition (including genetic characteristics), mental and/or physical disability or handicap, marital status, sex, age, veteran status, citizenship status, sexual orientation, gender identity, political party preference, political belief, socioeconomic status, familial status, registered domestic partner status, military service, pregnancy, childbirth and related medical conditions and any other characteristic or activity protected by federal, state/provincial or local law.
      
",Linkedin,Production Manager,,2022-03-08 16:22:35,Art/Creative,
