,id,job_title,job_type,job_exp,company,industries,location,description,source,search_kw,expected_salary,post_date,job_function,remote
0,2947041013,Software Engineering Manager,Full-time,Not Applicable,Electronic Arts (EA),"IT Services and IT Consulting, Software Development, and Computer Games","Vancouver, BC","


Location: Vancouver, British Columbia CA 


Electronic Arts Inc. is a leading global interactive entertainment software company. EA delivers games, content and online services for Internet-connected consoles, personal computers, mobile phones and tablets.


 Team 


EAX is a high performing team within EA that manages the majority of the web ecosystem for EA, including destinations such as Origin, EA.com, and more. EAX is looking to build a team of highly talented engineers to deliver core services functionality that will help shape our future.



What You Will Do




 Be part of a distributed cross functional scrum team 

 Provide a unique blend of technical and personal skills to provide technical leadership , mentoring , and career guidance to a group of engineers 

 Coach your team and help them see, reach and extend their potential 

 Work with technical directors to coordinate work and meet KPIs 

 Collaborate with external teams 

 Identify the technical impact of production/design decisions and surface the trade offs 

 Help drive and champion the culture of performance, maintainability, quality and automation in your scrum team 

 Use your knowledge of software engineering concepts to design and implement tested , reusable, and modular code 

 Actively participate in project scoping, planning, design, and execution 

 Work closely with both technical and feature product owners throughout the design and development process 

 Deliver iterative value for our players, marketing and game franchise partners 

 Contribute to building robust, front-end components that power key capabilities 

 Apply knowledge of the business goals to derive innovative solutions for the project, team, and group 

 Be an active learner who is up for expanding your breadth of knowledge 

 Have passion for your craft. You feel ownership over everything you ship. 




Skills And Experience




 Bachelor’s Degree in Computer Science or related field, or 7+ year relevant work experience 

 Solid understanding of team management theory 

 Solid understanding of how to motivate a team of engineers 

 Experience leading a team of 6+ engineers 

 Experience managing, mentoring, goal setting, mediation and career planning 

 Experience with modern JavaScript libraries such as React, Redux, Apollo, AngularJS and Polymer 

 Experience building robust, reusable, well tested, documented, components/applications that provide key capabilities to an organization 

 Experience and passion for championing and mentoring others in software development best practices appropriate for the domain 

 Strong technical and practical understanding of HTML, CSS, and JavaScript 

 Experience with JavaScript front-end testing tools and methodology 

 Familiarity with Continuous Integration, Delivery and Deployment best practices 

 Experience working in a cross functional Scrum team 

 Experience using Git and related tools like GitLab, GitHub, Bitbucket etc 

 Experience with TechOps / infrastructure systems - Amazon Web Services, Chef and Jenkins 

 Experience with container technologies such as Docker and Kubernetes 

 Expertise in delivering technical presentations 

 Expertise in delivering system-level technical design and documentation 




Bonus Skills And Experience




 Experience with CI/CD 

 Experience with GraphQL 




Perks And Benefits




 Competitive salary and bonus (relocation assistance available) 

 Comprehensive health, dental and benefit packages 

 Employee discounts with many local and online retailers 

 Free and discounted video games 

 Tuition reimbursement for post-secondary education 

 Pension with company match 

 Employee referral bonus program 

Learn more about our culture, benefits, and people at http://careers.ea.com/why-work-here



",Linkedin,Software Engineering Manager,,2022-03-08 23:45:44,Engineering and Information Technology,
1,2946254151,"Manager, Software Development Engineering",Full-time,Not Applicable,Workday,Software Development,"Vancouver, BC","


Do What You Love. Love What You Do.


At Workday, we help the world’s largest organizations adapt to what’s next by bringing finance, HR, and planning into a single enterprise cloud. We work hard, and we’re serious about what we do. But we like to have fun, too. We put people first, celebrate diversity, drive innovation, and do good in the communities where we live and work.


About The Team


The “Workday Everywhere” team builds the Workday apps for the places where customers spend most of their time, like Slack and Microsoft Teams. These Workday apps expose the most common and important Workday functionality right where the customers naturally spend their work day. This enables our users to complete their tasks efficiently and effectively and get on with their day.

As a small team, we enjoy the quick decision-making and innovation of a startup while benefiting from the stability of a large corporation. We value work life balance and camaraderie, while building cutting edge software that will be used by millions. The Workday Everywhere team is a driven, dynamic and entrepreneurial team motivated to build products that are based on user research.


About The Role


Workday Everywhere is looking for an experienced manager who will lead a team of software developers and will be responsible for delivering the Workday experience in Slack and MS Teams. Built using the most modern technologies, providing an unparalleled level of agility, ease-of-use, and integration capability.


 Grow, lead and inspire a team of software developers to build and maintain the product

 Mentor team with career growth and personal development

 Plan, release, and schedule development, working closely with Product Management to determine scope and ensure that features meet requirements

 Provide estimates and initial assessment for proposed development tasks

 Track and report progress of the project against key milestones and keep feature stakeholders updated

 Coordinate cross functionally across various teams/organizations both internal and external driving research and product development efforts

 Ensure on-time and high quality delivery of the project

 Promote good software engineering practices




About You



Basic Qualifications



 3+ years managing development teams of 6+ engineers, including remote developers

 5+ years of software design and development experience

 10+ years of enterprise software experience




Other Qualifications



 Experience and passion with Agile development methodologies (Kanban, Scrum) and Test Driven Development

 Attention to detail and deep understanding of engineering best practices

 Experience with any of AWS, Slack or MS Teams development is a plus

 BS in Computer Science/related field or equivalent experience



As a federal contractor, Workday is requiring all new hires to verify that they are fully-vaccinated against COVID-19 within 72 hours of beginning employment with Workday, consistent with applicable law. Workday is an equal opportunity employer. Candidates who are not vaccinated due to a sincerely held religious belief, medical reasons, or other legally-protected reason should contact accommodations@workday.com to explore what, if any, reasonable accommodations or exemptions Workday is able to offer.


Colorado Equal Pay Statement:


Disclosure required by sb19-085 (8-5-20) of the minimum salary compensation for this role to be located in the state of Colorado. Minimum salary for the role is listed below. As a part of the compensation package, this role may include eligible bonuses, equity and commissions. For more information regarding Workday benefits, please click here.

Colorado minimum salary: $129,500.00

Pursuant to applicable Fair Chance law, Workday will consider for employment qualified applicants with arrest and conviction records.

Workday is an Equal Opportunity Employer including individuals with disabilities and protected veterans.


Are you being referred to one of our roles? If so, ask your connection at Workday about our Employee Referral process!




",Linkedin,Software Engineering Manager,,2022-03-08 13:25:00,Engineering and Information Technology,
2,2947017172,Software Engineering Manager- REMOTE,Full-time,Mid-Senior level,McAfee,"IT Services and IT Consulting, Software Development, and Internet Publishing",Canada,"



Role Overview



Are you a technical leader who is passionate about security, excellence in software engineering, and delivering best-in-class protection to millions of customers?

We are looking for a passionate Software Engineering Manager to lead our desktop security team. Reporting to the Senior Engineering Manager, you will be responsible for leading a cross-functional team responsible for keeping our customers safe from malware and other threats.

“This is a remote position in Canada. We will only consider candidates currently in Canada and are not offering relocation assistance at this time.”



About The Role




Working with our product managers and engineers to create and drive the roadmap for our threat protection capabilities, to keep customers safe and deliver best-in-class user experiences

Responsible for hiring and growing a highly technical, diverse engineering team ranging from C++ developers, architects, automation developers, and quality assurance

Lead, mentor, and coach team members to help develop top talent

Provide architectural and technical guidance and ensure that sound engineering practices are followed

Lead and follow Lean and Agile processes while driving a culture of continuous improvement

Contribute to and drive software engineering excellence across McAfee




About You




Must have 2+ years of engineering management experience, in addition to 6 years of software engineering and development.

A documented career path of experience managing cross-functional teams

You have a proven track record of successfully delivering high-quality software products

Demonstrated knowledge of the software development process, including development, automation, build and deployment

Experience with secure software development concepts and practices, including threat-modeling

Experience in measuring application performance

Knowledge of modern C++ a bonus as we are currently using current versions




Company Overview



McAfee is a leader in personal security for consumers. Focused on protecting people, not just devices, McAfee consumer solutions adapt to users’ needs in an always online world, empowering them to live securely through integrated, intuitive solutions that protects their families and communities with the right security at the right moment.



Company Benefits And Perks



We work hard to embrace diversity and inclusion and encourage everyone at McAfee to bring their authentic selves to work every day. We offer a variety of social programs, flexible work hours and family-friendly benefits to all of our employees.


Pension and Retirement Plans

Medical, Dental and Vision Coverage

Paid Time Off

Paid Parental Leave

Support for Community Involvement


We're serious about our commitment to diversity which is why McAfee prohibits discrimination based on race, color, religion, gender, national origin, age, disability, veteran status, marital status, pregnancy, gender expression or identity, sexual orientation or any other legally protected status.



",Linkedin,Software Engineering Manager,,2022-03-08 21:19:43,Engineering and Information Technology,remote
3,2959239106,"Software Development Manager, Amazon S3",Full-time,Mid-Senior level,Amazon,"IT Services and IT Consulting, Software Development, and Internet Publishing","Vancouver, BC","



Job Summary




DESCRIPTION


Amazon Simple Storage Service (S3) is storage for the Internet. Through the use of pioneering techniques in storage &amp; computing, customers can reliably store their on Amazon’s proven computing infrastructure to achieve virtually limitless storage capacity at minimal cost. Amazon S3 provides a simple web services interface that enables customers to store and retrieve any amount of from anywhere in the world. It provides all customers access to the same highly scalable, reliable, secure, fast, inexpensive infrastructure that Amazon uses to run its own global network of websites. The service aims to maximize benefits of scale and to pass those benefits on to the customers.

As a Software Development Manager with-in the S3 Distribution Plane, you will help your team to design, develop and deliver global highly available services that provide robust, safe, scalable and secure ways for customers to route traffic to the S3 fleet. You will encounter challenges in the domains of performance optimization, availability and reliability, software defined networking, authentication and authorization and DNS. You will operate in a fast paced environment with a high level of ownership. Expect to ship software today that impacts millions of customers tomorrow.

The ideal candidate is excited about the potential of cloud computing and is passionate about delivering quality services in a hyper-growth environment where priorities can shift fast. You have a strategic focus, yet retain hands-on management as you build your team. You have had success leading operational services and are ready to apply that experience at even greater scale. You will own the goals and roadmap of your engineering team and will have a major stake in the strategic direction of your software.

Work-life Balance Our team works together to provide work/life balance for all team members. We recognize that the circumstances of our team members vary, and we balance work across the team so we’re all able to maintain standards on behalf of our customers, while at the same time allowing for rich and happy personal lives.

On-Call Responsibility S3 services are highly available, but there are times when we occasionally stray away from our normal operations. To minimize the impact of such excursions, we have on-call rotations. However, we set these up so there are focused time periods when you are on-call and when you are not, so you can focus on your day job when not on-call.

Mentorship &amp; Career Growth We have a formal mentor search application that lets you find a mentor that works best for you based on location, job family, job level, etc. We can also help you find a mentor or two, because two is better than one. In addition to formal mentors, we work and train together so we are always learning from one another, and we celebrate and support the career progression of our team members.

Inclusive Team Culture We have a diverse team and drive towards an inclusive culture and work environment. Our team is intentional about attracting, developing, and retaining amazing talent from diverse backgrounds. Our team members are active in Amazon’s 10+ affinity groups, sometimes known as employee resource groups, which bring employees together across businesses and locations around the world. These range from groups such as the Black Employee Network, Amazon Women and Engineering, and LGBTQ+.




Basic Qualifications




 Bachelor's degree in Computer Science or equivalent

 Strong technical judgement and demonstrated ability to lead software and coding in at least one modern programming language such as , , C/C++, Ruby, , or JavaScript

 5+ years of software experience

 3+ years of management experience leading a software team




Preferred Qualifications




 Demonstrated ownership of software engineering road map and experience with managing the day-to-day activities of a team using Agile/Scrum processes

 Excellent verbal and written communication skills

 Ability to handle multiple competing priorities in a fast-paced environment

 Experience with storage media technologies and cloud storage business

 Experience driving continuous quality improvement initiative

 Practiced ability to apply API principles

 Experience with delivery of software libraries for public consumption


Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status. If you would like to request an accommodation, please notify your Recruiter.



Company
 - Amazon Dev Centre Canada ULC

Job ID: A1970939
      
",Linkedin,Software Engineering Manager,,2022-03-08 10:44:20,"Information Technology, Consulting, and Engineering",
4,2946247823,Software Engineering Manager,Full-time,Not Applicable,Workday,Software Development,"Vancouver, BC","


Do What You Love. Love What You Do.


At Workday, we help the world’s largest organizations adapt to what’s next by bringing finance, HR, and planning into a single enterprise cloud. We work hard, and we’re serious about what we do. But we like to have fun, too. We put people first, celebrate diversity, drive innovation, and do good in the communities where we live and work.


About The Team


Welcome to the Reporting and Analytics Engine team. This team is responsible for improving and scaling the reporting and analytics engine to query and operate on large volumes of transactions for critically important business needs, interactive analytics and background extractions. The team uses Apache Spark for scalability, performance and sophisticated computations for data in Hadoop.


About The Role


We are looking for a passionate, energetic and compassionate leader for one of our projects called Mercury. In this project, we focus on scaling new and existing products by using the strengths of Apache Spark in Prism and new technologies in OMS. We are rapidly growing the logical model that resolves, parses and rewrites the query for efficient scale and performance. In this role you will lead a team of highly motivated and dedicated engineers working in a fast paced environment.


About You



You love leading engineering teams that work on complex technical projects.

You care about customer happiness, will take customer issues and feedback seriously

You have developed skills in triaging, prioritizing and delivering customer wins

You strive to bring the best version of yourself to the team and build an environment for team success and customer wins

You can chime in to a conversation about compilers and distributed processing

You have experience with query compilers, parsers and rewrite rules





Your Responsibilities:




Work with architects on technical direction

Successfully deliver project goals for the release, some of these will include research

Build and share best practices

Coach, mentor and provide immediate feedback to engineers to help their growth

Collaborate with technology and product organizations

Collaborate with SDET and PM roles to ensure achieving project results

Solve sophisticated problems and influence teams across technology organization

Work closely with product coalitions for release planning

Have fun and engage with the team as you do the above, celebrate small wins!





Basic Qualifications:




2+ years of experience as an engineering manager

5+ years of experience in software engineering




Other Qualifications:



Familiarity of compilers and query engine

Strong technical expertise with distributed systems technologies and database internals

Superb communication skills

Experience with Agile methodologies and project management experience

Ability to connect the business needs with technology

Ability to communicate effectively with leadership

Passionate about growing engineers and looking after their concerns

Hands on with projects and meeting project results

Ability to distill sophisticated technical details across different roles

Ability to iterate on solutions

Bachelors degree in Computer Science or Masters in Computer Science




Are you being referred to one of our roles? If so, ask your connection at Workday about our Employee Referral process!




",Linkedin,Software Engineering Manager,,2022-03-08 13:32:22,Engineering and Information Technology,
5,2920034305,"Sr. Manager, Software Engineering",Full-time,Not Applicable,Electronic Arts (EA),"IT Services and IT Consulting, Software Development, and Computer Games","Vancouver, BC","

        Electronic Arts Inc. is a global leader in interactive entertainment. We develop games, content and online services across platforms. We have a broad portfolio of brands that span the most popular genres.

We exist to Inspire the World to Play. We create extraordinary new experiences for our millions of players everywhere by bringing together accomplished people that combine creativity, innovation, and passion. We immerse our employees into an inclusive culture and provide opportunities for learning and leading that allow our employees to do the most impactful and rewarding work of their careers. As such, we're constantly improving and are now hiring for a unique opportunity at the intersection of sports, lifestyle, and culture.

In your role as Senior Manager reporting to the Director of Engineering you will build innovative and impactful personalized products that build loyalty and drive engagement. Candidates should have development experience with large-scale applications. We are looking for engineers who value collaboration and can step out of their swimlanes when needed to help bring this opportunity to life.



Responsibilities




 You'll lead development of scalable, high-volume, high-availability systems for products 

 Develop personalized experiences within mobile and web applications 

 Work with high volumes of data in both relational and NoSQL data stores 

 Design and build personalization integrations using multiple data sources 

 Perform code reviews and ensure code quality 

 Lead scope and design of new product features and defect resolution on existing products 

 You will write code as we expect our technical leadership to work alongside junior engineers, understanding root causes and leading by example 

 Data integration and automation from a variety of formats including files and APIs 

 Development of scalable data pipeline consumers that incorporate complex transformations and efficient code. 

 Mentor engineering talent and oversee the quality of their work 




Qualifications




 5+ years building and leading engineering teams 

 You care about the user experience and know how to build consumer-focused products 

 Proven experience in a software engineering/development and design 

 Advanced object-oriented programming skills and proficiency in languages like Java (8+), Scala or similar 

 Strong ability to write performant and correct multi-threaded code 

 Experience with high-volume personalized, player facing software systems 

 Experience with data scaling techniques 

 You are excited about learning new technologies 

 Experience with cloud services AWS, Redshift, and S3 for compute, storage, analytics and deployment 

 Experience working in test-driven, agile development



",Linkedin,Software Engineering Manager,,2022-03-08 10:19:49,Engineering and Information Technology,
6,2955556627,Software Development Manager,Full-time,,Confidential,,"Greater Toronto Area, Canada","


The ideal candidate will oversee and manage the product development team while facilitating the successful delivery of our software projects from concept to launch. The Software Development Manager is responsible for building and delivering the most innovative, intuitive and user-friendly Heavy-Duty Maintenance software.





Qualifications:


• A Bachelor’s degree/Diploma in related subject and a minimum of 5 years of experience leading teams in tech companies.

• Proven track record of effective leadership which includes strong strategic thinking and people management skills

• Experience managing teams of 15-20 people

• Excellent verbal and written communication skills to establish immediate credibility at all levels, inside and outside the organization.

•Analysis skills to interpret sales statistics and marketing data

•Financial skills to follow a budget and evaluate the future profitability of products

•Ability to adapt to unexpected events such as disruptions to production or delays

• Detail oriented, analytical with the ability to multi task.

• Programming languages

• Troubleshooting skills

• Complex programming applications

• Project management skill





Responsibilities



• 
Identify opportunities, build product vision and understand market needs, roadmap and strategy

• Assess customer needs, as well as perform market research and analyses and suggest new features to develop for existing products.

• Identify and obtain new software products that will be acceptable to customers.

• Partner with cross functional teams to ensure quality product output, timeliness, and market requirements

• Contribute to marketing communication strategies

• Leads and manages projects from inception to completion including post release monitoring in order to create customer value and business benefits. This includes creation of Customer Quotes and continuously working with Customer Support, Product Design, Application Development teams and customers to gather requirements.

• Identify risks by communicating and coaching with internal and external teams daily to finish the project successfully.

• Own product specifications, requirements, and release plans

• Schedule and Plan Release projects/enhancements (Quarterly Releases) 

• Review requests (from management, internal teams and customers), get designs for request, assign to subject matter experts, indicate when code is scheduled for release.

• Work with all teams to schedule resources to assist with actual release and post release tasks

• Organize UAT environments

• Leads, coaches, sets goals and targets for the various roles within the product team 

• Manage, prioritize, and modify project schedules to align revenue with sales and Management goals.





Key Competencies:


• Decision-Making

• Communication

• Problem Solving

• Critical Thinking

• Collaborative Leadership Skills


",Linkedin,Software Engineering Manager,,2022-03-08 16:05:42,,
7,2921972622,"Software Development Manager, Data eXperience (DX)",Full-time,Mid-Senior level,Amazon,"IT Services and IT Consulting, Software Development, and Internet Publishing","Vancouver, BC","



Job Summary




DESCRIPTION


Alexa AI, the speech processing and personal assistant technology behind Amazon Echo, is seeking a Software Development Manager for our Data Experience organization. At Alexa's Secure AI Foundation (SAIF) Data, we build the data services that enable the fast, secure, and massive scale ML that delivers delightful Alexa interactions to users.

The Data Experience team enables Alexa machine learning scientists, software engineers and BI analysts to securely, easily, quickly and cost-efficiently access, transforms, and build models with data in the vast Alexa data lake. As a member of the Data Experience team, you play a critical role in delivering the life blood of AI — data — to the Alexa AI community to help tackle the most cutting edge conversational AI problems at the largest scale few places in the world can match.

The Data eXperience (DX) team, is responsible for our SAIF Data Development Kit, increasing the rate of experimentation by delivering services that enable our customers to optimize their data storage, preparation, and deep dive analysis at low latency access from training infrastructure with intelligent APIs and clients for running big data Spark and SQL jobs working with data from modeling environments. This enables communities of Modelers spanning product areas to collaborate efficiently through sharing and building upon each other’s artifacts, to expand collective intelligence. The team owns our Data Preparation SDK, enabling Modelers to train on petabyte scale data sets in days instead of weeks, at a quarter of the prior cost, making frequent training and experimentation of enormous data sets feasible and cost effective, while also opening the door to experimentation with data sets orders of magnitude larger than previously possible.

In the SAIF Data organization, you will work in a highly collaborative and supportive environment across all stages of an agile software development lifecycle, including architecture design, development, documentation, testing, and operations. You will build ML services using AWS at huge scale found nowhere else. Your efforts will support the successful and well-loved Alexa powered products. Our combination of challenging technical problems, critical services, and a quickly growing organization will provide you with unique opportunities for career growth.



What You'll Be Doing




 Deliver critical, large scale, high quality, and operable ML data enabling services that satisfy and delight the Alexa ML community and that have a substantive impact on the Alexa business.

 Manage a software development team with a business problem or strategy that may not yet be defined, leading with limited guidance, influencing other teams in related business and/or technical areas.

 Lead your team to invent and evolve solutions to complex and ambiguous technical problems, ensuring that they meet business and customer needs. Determine where to simplify, optimize, or extend solutions for the best outcomes. Drive resolution to architectural designs and deficiencies.

 Manage and mitigate long-term risks and make effective trade offs between long and short term needs, finding paths forward in difficult situations.

 Effectively hire, manage your employees’ performance, coach, and promote. Evangelize Amazon’s culture and leadership principles.

 Set strategic direction for your services and team, communicating effectively in large groups, one on one, and in writing.

 Establish and streamline development, test, and operational excellence best practices.




Your Background And Who You Are




 You have experience reliably delivering high-quality, distributed, testable, and scalable software. You are driven by delivering value to your customer.

 You love to work with teams that are always raising the bar. You believe that a team is strongest when it is diverse and includes multiple perspectives.

 You enjoy the challenges of highly technical problems that you define and solve in real time.

 You believe that there are multiple ways to solve a problem, each with different trade-offs. You don't typically think in terms of the ""right"" or ""wrong"" way to do something, but rather the most effective path given the current constraints.

 You are excited by the technical challenges of large scale service development from architectural design, to implementation, to operations.

 You put yourself into your customer’s shoes and immerse yourself in the customer experience to understand how to serve them better.

 You've made mistakes in the past, have learned a lot from them, and apply these learnings regularly.

 You want to have an impact on a hugely successful and growing product that improves people’s lives.





Basic Qualifications




 7+ years of experience working directly within engineering teams

 Experience partnering with product OR program management teams

 3+ years of people management experience, managing engineers

 3+ years of experience architecting and designing (architecture, design patterns, reliability and scaling) of new and current systems




Preferred Qualifications




 Track record of building and delivering critical, large scale, 24x7 production services

 Experience developing cloud and distributed software services and an understanding of design for security, availability, and performance.

 Technically fearless, with a willingness and desire to tackle intrinsically hard problems, venturing beyond comfortable approaches when necessary. Ability to acquire expertise as needed, pioneer new spaces, and inspire others as to what’s possible.

 Background in ML, Big Data, and/or data security.

 Experience with Amazon Web Services.

 Deep understanding of agile project management methodologies.

 Software engineering background writing, testing, maintaining, and operating production code.

 MBA or advanced degree in a technical field or equivalent experience.


Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status. If you would like to request an accommodation, please notify your Recruiter.



Company
 - Amazon.com Services LLC

Job ID: A1934718
      
",Linkedin,Software Engineering Manager,,2022-03-08 11:56:05,"Information Technology, Consulting, and Engineering",
8,2946250790,"Software Engineering Manager, Product Operations",Full-time,Mid-Senior level,Flexiti,Financial Services,Canada,"


Flexiti is one of Canada’s fastest growing fintech lenders. We aim to make our customers’ lives more affordable and help our retail partners grow their sales by offering flexible financing options. Through our award-winning omni-channel platform, customers can be approved instantly to shop with their FlexitiCard®, which they can use online or in-store to make multiple purchases, within their credit limit, without needing to reapply.




At Flexiti, we work hard, we love what we do, and we have some fun along the way! If you are looking for an energizing and innovative work environment with great people and big ideas, we’d love to have you join us!




To learn more about Flexiti, please visit www.flexiti.com





This position is remote capable within Canada or Argentina.



 



Software Engineering Manager, Product Operations


Flexiti Financial is looking for a Software Engineering Manager to join its IT team. Supporting the Director of Software Engineering, the Software Engineering Manager will manage all the activities of the Product Operations group; sets attainable goals to team members for the project to be finished on time; identifies and leads opportunities to improve team productivity; and is technical thought leader on the team.





What you will be doing:



Develop, manage, and support a high performing development team

Guide, coach, and mentor software development engineers

Manage overall software development lifecycle

Provide project management expertise to create, prioritize, communicate project plans, and commitments

Report on status of development, quality, operations and system performance to management

Supervise architecture plus lead efforts to develop the best technical design and approach

Foster a culture of continuous engineering improvement through mentoring, feedback, and metrics

Hire, coach, and mentor individuals, build a strong cross-functional team

Establish and refine software development standards and processes along with best practices for delivery of scalable and high-quality software

Discover the true requirements underlying feature requests, recommend alternative technical and business approaches, and lead engineering efforts to meet aggressive timelines with optimal solutions






Why people love working here:



You have the opportunity to be a part of an award winning, fast growing company 

Our innovative culture promotes on-going learning opportunities with training and mentorship 

A new and vibrant office environment and remote working capability 

Competitive compensation package commensurate to experience plus benefits 






What you should have:



3+ years of experience leading software development teams in a managerial capacity with hands-on involvement in architecture, design, and performance

3+ years of people management experience

5+ years of relevant engineering experience

Software development background in object-oriented programming, distributed systems, .Net (preferred) or Java, JavaScript, Angular, NodeJS Express, SQL Server, Mongo, Cloud Platforms (AWS/Azure/GCP)

Experience with Unit Testing, Development patterns and CI/CD

Ability to support each lifecycle phase with hands-on contribution and ownership

Ability to handle multiple competing priorities in a fast-paced environment

A Bachelor’s degree in Computer Science or in Software Engineering

Excellent verbal and written communication skills to communicate clearly with technical and non-technical stakeholders at all levels

Experience with MuleSoft is an asset






Flexiti embraces diversity. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. All qualified applicants will receive consideration without regard to race, ancestry, place of origin, colour, ethnic origin, citizenship, creed, sex, sexual orientation, disability, age, marital status, or family status. If you require disability-related accommodation during the application or interview process, simply let us know and we’ll work with you to ensure you have a positive experience.



",Linkedin,Software Engineering Manager,,2022-03-08 13:38:47,Information Technology,remote
9,2954973387,"Machine Learning, Software Engineering Manager | Apprentissage automatique, Responsable de l'ingénierie logicielle",Full-time,Not Applicable,Meta,Internet Publishing,"Toronto, ON","

        Meta is in search of the world’s most creative and experienced engineering leaders. We embrace entrepreneurs as well as those who come from more established organizations. Machine Learning Engineering Managers are clearly characterized by progressive technical experience and demonstrated progression in management responsibility.-------Meta est à la recherche des leaders en ingénierie les plus créatifs et les plus expérimentés du monde. Nous accueillons aussi bien les entrepreneurs que ceu qui viennent d'organisations plus établies. Les responsables de l'ingénierie de l'apprentissage automatique se caractérisent clairement par une expérience technique progressive et une progression manifeste des responsabilités de gestion.

Machine Learning, Software Engineering Manager | Apprentissage automatique, Responsable de l'ingénierie logicielle Responsibilities:



Be both highly technical and an effective people manager | Être à la fois un haut degré de technicité et une gestion efficace des ressources humaines

Be a subject matter expert in an ML domain | Être un expert en la matière dans un domaine d'apprentissage automatique.

Lead teams that deliver on multiple projects of increasing dependencies in an ambiguous or high-impact area | Diriger des équipes chargées de mener à bien plusieurs projets aux dépendances croissantes dans un domaine ambigu ou à fort impadct

Work with your team and cross functional partners to define and influence strategy | Travailler avec votre équipe et des partenaires transversaux pour définir et influencer la stratégie

Drive roadmap creation and execution | Conduire la création et l'exécution de la feuille de route

Collaborate with various functions, drive engineering initiatives and have an impact at an organizational level | Collaborer avec diverses fonctions, mener des initiatives d'ingénierie et avoir un impact au niveau organisationnel

Participate in technical design | Participer à la conception technique

Measure the impact of your team and set clear expectations and goals | Mesurer l'impact de votre équipe et fixer des attentes et des objectifs clairs

Work effectively with cross functional partners and stakeholders to set and achieve optimal outcomes | Travailler efficacement avec des partenaires et des parties prenantes intersectorielles pour définir et atteindre des resultats optimaux



Minimum Qualifications:



8+ years of software engineering work experience, including hands-on technical management building large scale systems, algorithms, and toolsets within the Machine Learning domain | Plus de huit ans d'expérience en ingénierie logicielle, y compris la gestion technique pratique de la construction de systèmes, d'algorithmes et d'ensembles d'outils à grande échelle dans le domaine de l'apprentissage automatique.

8+ years experience coding in one of the following languages: C++, Java, Python and/or PHP | Plus de 8 ans d'expérience en codage dans l'un des langages suivants: C++, Java, Python et/ou PHP

2+ years experience of developing, coaching and managing engineering leaders | Plus de deux ans d'expérience dans le développement, l'encadrement et la gestion des leaders en ingénierie.

Demonstrated experience recruiting and managing technical teams, including performance management | Une expérience avérée dans le recrutement et la gestion d'équipes techniques, y compris la gestion des performances

BA/BS in Computer Science (In lieu of degree, 4+ years work experience) | Licence en informatique (a défaut de diplôme, plus de 4 ans d'expérience professionnelle)



Preferred Qualifications:
      
",Linkedin,Software Engineering Manager,,2022-03-08 10:58:03,Engineering and Information Technology,
