,id,job_title,job_type,job_exp,company,industries,location,description,source,search_kw,expected_salary,post_date,job_function,remote
0,2955772138,Laboratory Technician,Full-time,,Allarta Life Science Inc.,,"Hamilton, ON","


This is an exciting opportunity to join a dynamic and growing company. As a Lab Technician, you will work in a fast-paced environment with our dedicated team of research scientists to explore and develop technologies to enable cell-based therapies, through the development and integration of several core technologies including but not limited to cell encapsulation, facilitating cell attachment, assessing immune protection and cell escape, and cryoprotection.




Required Degree and Experience:


Bachelor’s degree in Chemistry, Biochemistry, Chemical Biology, Chemical Engineering, or another related discipline

0-3+ years of experience in an academic, industrial, or biotechnology setting





Responsibilities:


Prepare multiple capsule formations with and without cells

Assess capsule and cell properties using different forms of microscopy 

May include developing microscopy-based tools to analyze cells in capsules 

Prepare solutions and materials as required, according to company protocols

Assist in experiments under the guidance of internal team members

Maintain cell lines in BSL 2 facility 

Assist with animal procedures as required 

Perform analyses of experiments and compile data and results as needed, as instructed by key team members

Prepare PowerPoint slide presentations as instructed by key team members 

Participate in weekly meetings as required

Perform weekly maintenance of laboratory equipment such as refilling liquid nitrogen dewar

Maintain clear and rigorous experimental records, including electronic laboratory notebooks

Create experimental reports and present results to key team members 

Maintain a clean and safe work environment

Ensure biohazardous materials and chemicals/reagents are handled and disposed of in compliance with company procedures

Development and use of collaborative digital workspaces 

Other duties as assigned





The candidate must:


Have strong verbal and written communication skills

Be self-motivated and willing to accept temporary responsibilities outside of the initial job description

Have excellent attention to detail and meticulous benchwork

Be experienced in working and collaborating with teams in remote work conditions






Please send a letter of interest and resume to hello@allarta.com by March 21, 2022





Covid-19 Vaccination Policy


Full vaccination against COVID-19 is a condition of employment.
 The Allarta Life Science lab is located at McMaster University and all employees must adhere to University Policy. Learn more at: 
https://covid19.mcmaster.ca/vaccination-mandate/





Diversity and Inclusion

Allarta Life Science is committed to employment equity, encouraging all qualified individuals to apply. We thank all candidates for their interest; however, only those selected to continue in the process will be contacted.




Compensation and Benefits

Our employees are our greatest asset, so we empower and support them in their professional and personal lives. Allarta Life Science offers competitive compensation, benefit programs and resources to support professional achievement and personal well-being.





",Linkedin,Laboratory Technician,,2022-03-09 01:11:13,,
1,2959552160,Laboratory Technician,Full-time,Entry level,SGS Group,Biotechnology Research,"Burnaby, BC","



Company Description



Make an impact with SGS! With more than 94,000 employees and 2,600 offices and laboratories across the world, SGS is a silent force working hard behind the scenes to deliver quality and integrity to businesses across nine industries. As the world's leader in providing inspection, verification, testing and certification services, Forbes ranked the SGS Group as one of the world's top multinationals and one of the world's most innovative companies. The Dow Jones Sustainability Index has also recognized the SGS Group for its sustainability processes. In Canada, SGS employs over 2,000 team members across 70 locations.



Job Description



This position will conduct laboratory testing on agricultural (grain, greenhouse, soil, feed, forage), grain, pulse, and food samples.


 Conduct required testing on agriculture and food samples such as moisture, protein, oil, salt, toxins, falling number, dockage, variety identification, nutrition labelling, proximate analysis or other tests as seen suitable by the Lab Manager or Departmental Supervisor using applicable wet chemistry methods and various instruments (spectrophotometer, wet gluten analyser, electrophoresis, HPLC, GC, LCMSMS, ICP-OES, NIR, PCR, ELISA, etc) available in the laboratory.

 Conduct balance calibrations, pipette verifications, monitoring temperatures of water baths, fridges, freezers, etc.

 Maintain and record instrument calibrations (i.e. chromatography instruments, NIR, spectrophotometers, etc.).

 Monitor the daily conditions of the instruments (GC, GCMS, HPLC and LCMSMS, NIR, etc).

 Perform and record preventive maintenance on GC, GC-MS, HPLC and LC - MS (Triple Quad).

 Conduct proper sample storage and disposal practices and documentation.

 Liaise and resolve customer's queries/results with the supervisor / manager and contribute to the resolution of customer complaints.

 Validate new methods for business growth or for customer requests, and work on improving the efficiency of existing methods and SOPs as per the instructions provided by the supervisor / manager.

 Data entry into LIMS, Excel, and other data entry modules (i.e. Client data entry modules such as Grain Grading Module)

 Conduct sample pre-processing (sub sampling, homogenization, splitting, cleaning) as necessary




Qualifications




 A post secondary education (degree and/or diploma) in Chemistry, Food Science etc. is required.

 A minimum of 1 - 3 years of experience in an Agricultural Food laboratory setting is required

 Knowledge of ISO 9001:2008 and ISO 17025:1999 requirements.

 Sound knowledge of good laboratory practices.

 Familiar with official accredited methods such as AOAC, AOCS and USP methodology.

 Must be proficient in using various type of computer software (Word, Excel, PowerPoint, Outlook etc.).

 Proven ability to manage and coordinate multiple projects in a fast-paced, highly professional environment.

 Flexibility to work extended hours from time to time.


#SGSIND1

Additional Information

SGS Canada is an equal opportunity employer and we are committed to achieving greater accessibility by providing accommodation for people with disabilities during our hiring process. Accommodations are available on request for qualified candidates during each stage of the recruitment process.

Please note that candidates applying for Canadian job openings should be authorized to work in Canada.
      
",Linkedin,Laboratory Technician,,2022-03-08 16:09:21,"Research, Analyst, and Information Technology",
2,2955746865,Senior Rock Mechanics Laboratory Technician,Full-time,Not Applicable,Wood,"IT Services and IT Consulting, Human Resources Services, and Business Consulting and Services","Burlington, ON","


Overview / Responsibilities


Wood is currently seeking a fulltime permanent 
Senior Rock Mechanics Laboratory Technician 
to join our team in 
Burlington, ON
.

As a senior rock mechanics laboratory technician, duties will include:



Key Responsibilities





 Technical review of laboratory results and reports 

 Conducting high-end, detailed rock mechanics testing including Post Peak Analysis 

 Technical oversight of laboratory test performance 

 Mentoring and development of the rock mechanics team 

 Business Development and Client Management 




Skills / Qualifications




 Previous laboratory hands-on experience with geo-materials 10+ years 

 High proficiency in learning to use advanced technology 

 Advanced knowledge of Microsoft Word and Excel 

 Meticulous attention to detail – this work is used to design mines and mine infrastructure and the importance of proper execution of each task cannot be overstated. 

 Conscientious, organized, self-motivated 

 Willing to work extra hours, possibly on short notice, to meet strict project deadlines 

 Geology/Earth Sciences College Diploma or Geological Engineering/Rock Mechanics degree and relevant work experience required 




Company Overview


Wood is a global leader in engineering and consultancy across energy and the built environment, helping to unlock solutions to some of the world’s most critical challenges. We provide consulting, projects and operations solutions in more than 60 countries, employing around 40,000 people. www.woodplc.com


 Diversity Statement (EEO) 


We are an equal opportunity employer that recognises the value of a diverse workforce. All suitably qualified applicants will receive consideration for employment on the basis of objective criteria and without regard to the following (which is a non-exhaustive list): race, colour, age, religion, gender, national origin, disability, sexual orientation, gender identity, protected veteran status, or other characteristics in accordance with the relevant governing laws.
      
",Linkedin,Laboratory Technician,,2022-03-08 20:03:03,Management and Manufacturing,
3,2959463426,Medical Laboratory Technologist/ Technician ,Full-time,,Galenvs Sciences,,"Montreal, QC","



English follows



Résumé du poste


En tant que technologiste de laboratoire médical (TLM) chez Galenvs, vous serez responsable des tests de laboratoire à des fins de diagnostic et de recherche clinique. Vous vous joindrez à un milieu de travail dynamique qui encourage le travail d’équipe, la qualité et la possibilité d’élargir vos connaissances. Il s’agit d’un contrat d’un an avec une forte possibilité de permanence.

Responsabilités :


Organiser et désinfecter le laboratoire en prévision des essais

Effectuer des analyses de sang, d’urine et d’autres échantillons biologiques (échantillons de dépistage de la COVID-19)

Consigner les échantillons de patients et les préparer pour les tests

Installer, faire fonctionner et entretenir l’équipement de laboratoire (c.-à-d. analyseurs automatisés, microscopes et autres outils de diagnostic de laboratoire)

Effectuer une évaluation de contrôle de la qualité des techniques d’essai

Préparer et exécution des tests de laboratoire et lecture et diffusion des résultats conformément aux SOP (Procédures d’utilisation normalisées)

Autres tâches au besoin


Qualifications :


Inscrit auprès de l’Ordre professionnel des technologistes médicaux du Québec (OPTMQ)- préféré

Diplômes d’études collégiales (DEC) en technologie de laboratoire médical ou technicien de laboratoire biomédical

Expérience professionnelle en tant que technicien de laboratoire médical avec une formation médicale / santé

Certification par la Société canadienne de science de laboratoire médical (SCSLM) (atout, mais non obligatoire)

Expérience de travail dans un laboratoire de diagnostic. Une expérience dans la mise en place, l’exécution et la lecture de tests de laboratoire ainsi que de l’expérience avec le fonctionnement de l’équipement de laboratoire.

Doit être prêt à travailler les week-ends, les jours fériés et les soirs de semaine et à effectuer des rotations selon un horaire de garde.



Note : L'utilisation du genre masculin est destinée à alléger le texte et à en faciliter la lecture.


-----------------------------


Position Summary


As a Medical Laboratory Technologist (MLT) at Galenvs, you will be responsible for laboratory testing for diagnostic and clinical research purposes. You will join a fast-paced work environment that encourages teamwork, quality, and the opportunity to expand your knowledge.

Responsibilities:


Organizing and sanitizing the lab in preparation for testing

Conduct analyses of blood, urine and other biological samples (Running COVID samples)

Log patient samples and prepare them for testing

Set up, operate and maintain laboratory equipment (i.e. Automated analyzers, microscopes, and other laboratory diagnostic tools)

Conduct quality control assessment of testing techniques

Preparing for and running lab tests and reading and releasing results according to SOPs (Standard Operating Procedures)

Other tasks as needed


Qualifications:


Registered with the Ordre professionnel des technologistes médicaux du Québec (OPTMQ) - Preferred

Dec in Medical Laboratory Technology or Biomedical Laboratory Technician

Experience as Medical Laboratory technician with medical/ healthcare background

Certification by the Canadian Society for Medical Laboratory Science (CSMLS) (asset but not required)

Experience working in a diagnostic laboratory. Experience setting up, running, reading lab tests, and operating laboratory equipment.

Must be willing to work weekends, holidays, and evening shifts and rotate through an on-call schedule.






",Linkedin,Laboratory Technician,,2022-03-08 15:01:45,,
4,2955581506,Dental Laboratory Technician,Full-time,,Vital Lab Inc.,,"Ottawa, ON","


Vital Lab is looking for one or two new people, depending on their experiences. The winning candidate will be enthusiastic, hard-working, and have a cooperative personality.

The person is more important than their qualifications and, on the job, training is possible.

Ideally, we are looking for someone with Dental Technology education, skills, or experience in any dental laboratory discipline. 

Good English communication is required.

Please forward resumes to info@vitallab.ca.


",Linkedin,Laboratory Technician,,2022-03-08 16:44:20,,
5,2958693226,Laboratory Technician - Mining,Full-time,Entry level,AGAT Laboratories,Environmental Services,"Calgary, AB","

        AGAT Laboratories is a full-service laboratory with locations across Canada. We are the most diversified laboratory in Canada. Our scientists are highly-skilled and specialized in the fields of biochemistry, chemistry, microbiology, geology, engineering and other specialty services. With a broad range of staff experience and state-of-the-art instrumentation, we provide cross-analytical solutions for the 
Environmental, Energy, Mining, Transportation, Industrial, Agri-food 
and 
Life Sciences 
sectors.


Laboratory Technician - Mining


AGAT Laboratories is currently hiring for a 
Laboratory Technician 
to join our 
Mining 
lab working out of our
 Calgary 
location. In this position the successful candidate will be the second level position in the laboratory. This position is given direction from the Laboratory Supervisor and assists with administrative and basic laboratory services.


Duties:



Perform basic laboratory procedures including preparation of samples, reagents and calibration solutions.

Calibrate, operate, maintain and troubleshoot intermediate instruments.

Compile, verify and validate accurate data records as well as report results.

Meet quality assurance and turn around specifications.

Follow all quality control and standard operating procedures.

Provide general lab support including washing glassware, cleaning work stations and waste disposal.

Other duties as assigned.




Qualifications:



Post-secondary education with a Technical Diploma or Degree required.

Minimum 2 years previous laboratory experience.

Experience with OES, ICP/ICPMS, IC/ TOC programs is required.

Intermediate computer skills.

Ability to work in a positive manner in a fast paced environment.

Fluency in English, both verbal and written.

Ability to handle multiple tasks within a fast-paced work environment.

Hand-Eye coordination and attention to detail.

Mature work ethic.

Ability to work independently and in a team environment.

Problem solving, communication, organization, and time management.

Ability to lift 25+ pounds on a consistent basis and perform work in a hot environment.




Work Environment:


This position requires a person to stand, sit and lift throughout the shift in a laboratory environment. Manual dexterity is required to perform repetitive tasks. PPE is required where applicable.

AGAT Laboratories would like to thank all applicants; however only candidates selected for interviews will be contacted.

AGAT Laboratories is an equal opportunity employer. We are committed to an inclusive, barrier-free recruitment and selection process and work environment. If you are contacted for a job opportunity, please advise the hiring manager of any accommodations that are required. Any information received relating to accommodations will be treated as confidential.

Thank you for your interest in AGAT Laboratories.

Powered by JazzHR

OnoL96TNTM
      
",Linkedin,Laboratory Technician,,2022-03-08 07:46:37,"Research, Analyst, and Information Technology",
6,2960152825,LensCrafters - Lab Technician,Part-time,Entry level,LensCrafters,"Financial Services, Retail, and Hospitals and Health Care","Toronto, ON","


Requisition ID: 
 603804


Store #
: 000910 LensCrafters


Position:
Casual Part-Time


Total Rewards: Benefits/Incentive Information 


At LensCrafters, we're passionate about bringing people better sight. And it takes thousands of people from all backgrounds to do this.

By joining our team, you'll learn about the optical industry while developing the customer service and sales techniques needed to grow in your career.

LensCrafters is the largest optical retailer in North America with 1,000+ stores and as part of an eyewear industry leader, Luxottica, our higher standard of quality has made LensCrafters a leader in vision care for over 35 years.


GENERAL FUNCTION


The Lab Technician creates exceptional value in the lives of our customers by delivering The LensCrafters Experience. Exceeds customers’ expectations through manufacturing eyewear in accordance with LensCrafters Quality Manufacturing Program. Ensures speed and reliability of service.



Major Duties &amp; Responsibilities




Produces quality eyewear through utilizing the Quality Manufacturing Program: selecting lenses, marking, taping, blocking, generating, fining and polishing, coating polycarbonate lenses, first (surface) inspecting, finish layout and blocking, edging, tinting, UV and anti-reflective coating, grooving, drop-ball testing, safety monogramming, mounting and final inspecting.

Responsible for basic operation, cleaning and ongoing maintenance of laboratory tools and equipment using established QMP maintenance procedures and calendars. Diagnoses and solves equipment issues.

Strives to improve technical knowledge through the completion of the Quality Manufacturing Program and continually applies that knowledge in the production of all eyewear.

Performs multiple tasks simultaneously with accuracy and thoroughness despite time pressures and customer volume.

Utilizes product knowledge to determine the best manufacturing process for both routine and special orders to ensure the production of top quality eyewear in accordance within expected delivery time.

Attentive to detail with all measurements, calculations, equipment settings and defective product.

Takes initiative to notice and follow up on discrepancies; suggests improvements, recommends solutions and does what is necessary to ensure customer satisfaction.

Reviews Accufit and diagnoses vision care needs.

Operates Point of Sale inputting all lab statistics with accuracy and attention to detail.

Strives to achieve ""Exceptional Results” on LensCrafters’ annual CEI/Functional Skills that align with brand priorities.

Drives top line performance and bottom line optimization / profitability.

Takes pride in the appearance of the store and shows initiative in keeping the lab and stock room clean, organized and safe.

Complies with all safety/regulatory requirements ensuring supplies/chemicals are stored and used per chemical safety program. Keeps management informed of potential safety opportunities (i.e. broken tiles, equipment, etc.).

Demonstrates safe work practices including the wearing of personal protective equipment while in the lab.




Basic Qualifications




High School Graduate or equivalent

Strong customer service skills (internal and external)

Strong communicator and listener

Strong basic math skills

Organizational skills

Problem solving skills

Strong inter-personal skills (friendly, caring, patient)

Knowledge of store merchandise




Preferred Qualifications




Optical training

Previous experience in optical

Experience with machinery


Upon request and consistent with applicable laws, Luxottica will provide reasonable accommodations to individuals with disabilities who need assistance in the application and hiring process. To request a reasonable accommodation, please call the Luxottica Ethics Compliance Hotline at 1-888-887-3348 (be sure to provide your name and contact information so that we may follow up in a timely manner).

We are an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, gender, national origin, social origin, social condition, being perceived as a victim of domestic violence, sexual aggression or stalking, religion, age, disability, sexual orientation, gender identity or expression, citizenship, ancestry, veteran or military status, marital status, pregnancy (including unlawful discrimination on the basis of a legally protected pregnancy or maternity leave), genetic information or any other characteristics protected by law. Native Americans receive preference in accordance with Tribal Law.
      
",Linkedin,Laboratory Technician,,2022-03-08 22:44:28,"Research, Analyst, and Information Technology",
7,2958900175,Laboratory Assistant Ii (a) (temporary Part Time) (Northern Health),Part-time,Entry level,BCjobs.ca,"Motor Vehicle Manufacturing, Staffing and Recruiting, and Truck Transportation","Fort St John, BC","

        If you are looking for friendly, supportive staff, work life balance and affordable living this may be just the opportunity that will take your career to a new level.

Receives patients; collects, labels and sorts specimens, processes requisitions, performs related clerical duties, cleans equipment, collects soiled linen and performs other related laboratory duties.


Shift Rotation/Hours of work:
 Days, Evenings - 07:00 to 15:00, 08:00 to 16:00, 10:00 to 18:00, 11:00 to 19:00, 15:00 to 13:00


Fort St. John Hospital
 is a 46-bed hospital with 115 residential care beds in the adjoining Peace Villa Care Home. They have two state of the art operating rooms, ambulatory clinics including cancer care and hemodialysis, emergency and ICU, a birthing centre with single maternity rooms for labour, delivery and post-partum.


Fort St. John
 is located above the Peace River Valley, and has a diverse population of 21,000 (2021) and serves an area of approximately 69,000. The friendly, small town feel comes with big city amenities and a vibrant arts community. Check out Fort St. John for more information on what this energetic community has to offer.


What Northern Health has to offer you!



 Comprehensive benefit packages including MSP, extended health/dental and a municipal pension plan for part-time and full-time employees. Casuals have the option of paying for benefits.

 Four weeks vacation with one year of continuous service

 Relocation Incentive is available for eligible positions

 Employee referral program

 Employer-paid training and leadership development opportunities

 Spectacular outdoor activities and the shortest commutes in BC

 ""Loan Forgiveness Programs"" offered through the Federal and BC Government




Qualifications




 Grade 12, successful completion of a recognized Lab Assistant training program plus one (1) year's recent, related experience or an equivalent combination of education, training and experience.




Skills And Abilities




 Ability to communicate effectively both verbally and in writing.

 Ability to deal with others effectively.

 Physical ability to carry out the duties of the position.

 Ability to organize work.

 Ability to operate related equipment.




Who We Are



Northern Health covers an area of nearly 600,000 square kilometers and offers health services in over two dozen communities and 55 First Nation's communities. We deliver hospital and community-based health care for a population of 300,000.

Employing more than 7,000 staff throughout the region, Northern Health provides exceptional health services for Northerners, through the efforts of dedicated staff and physicians, in partnership with communities and organizations in Northern BC.

There is a wide variety of career opportunities available in our two dozen hospitals, 25 long-term care facilities, public health units and many other offices providing specialized services.

Value
      
",Linkedin,Laboratory Technician,,2022-03-08 08:26:54,Other,
8,2958797592,Laboratory Assistant Ii(a) (full Time) (Northern Health),Full-time,Entry level,BCjobs.ca,"Motor Vehicle Manufacturing, Staffing and Recruiting, and Truck Transportation","Masset, BC","

        If you are looking for friendly, supportive staff, work life balance and affordable living this may be just the opportunity that will take your career to a new level.

Under supervision of the Chief Technologist, Laboratory, collects samples from patients, prepares laboratory samples for analysis and performs simple tests, such as urine tests.


Shift Rotation/Hours of work:
 Monday to Friday / Days - 07:00 to 15:00


 Northern Haida Gwaii Hospital 
 in located in Masset and is a four acute care bed hospital with one palliative care bed, four long term care beds and a four unit assisted living complex. They offer emergency, lab, diagnostic imaging, pharmacy, home and community care services, primary care mental health and substance use, services, chronic disease management, physiotherapy and speech and language therapy. Visiting specialists includes Pediatrics, Orthopaedics, ENT, Nephrology, Endocrinology, Respirology, Rheumatology, Urology and Ophthalmology.


Masset
 is a small fishing village located on Graham Island with a population of approximately 793 local residents and servicing a surrounding population of 2300. Masset has a unique culture, beautiful landscapes and amazing beaches. Check out Masset , the place where the ocean meets the shore and the sunsets are breathtaking.


What Northern Health has to offer you!



 Comprehensive benefit packages including MSP, extended health/dental and a municipal pension plan for part-time and full-time employees. Casuals have the option of paying for benefits.

 Four weeks vacation with one year of continuous service

 Relocation Incentive is available for eligible positions

 Employee referral program

 Employer-paid training and leadership development opportunities

 Spectacular outdoor activities and the shortest commutes in BC

 ""Loan Forgiveness Programs"" offered through the Federal and BC Government




Qualifications




 Grade 12, successful completion of a recognized Lab Assistant training program plus one (1) year's recent, related experience or an equivalent combination of education, training and experience.




Skills And Abilities




 Ability to communicate effectively both verbally and in writing.

 Ability to deal with others effectively.

 Physical ability to carry out the duties of the position.

 Ability to organize work.

 Ability to operate related equipment.

 Ability to type at 25 w. p. m.




Who We Are



Northern Health covers an area of nearly 600,000 square kilometers and offers health services in over two dozen communities and 55 First Nation's communities. We deliver hospital and community-based health care for a population of 300,000.

Employing more than 7,000 staff throughout the region, Northern Health provides exceptional health services for Northerners, through the efforts of dedicated staff and physicians, in partnership with communities and organizations in Northern BC.

There is a wide variety of career opportunities available in our two dozen hospitals, 25 long-term care facilities, public health units and many other offices providing specialized services.

Value
      
",Linkedin,Laboratory Technician,,2022-03-08 08:27:01,Other,
9,2955857189,"Lab Patient Technician - Part - Time Regular (Flexible) - Mississauga, ON",Full-time,Entry level,LifeLabs Medical Laboratory Services,"IT Services and IT Consulting, Financial Services, and Hospitals and Health Care","Mississauga, ON","

        Improve lives. Love your job. Grow your career.

Do you want to help improve patients’ healthcare outcomes? Now you can. LifeLabs Medical Laboratory Services is a proud Canadian company with over 50 years’ experience. We provide laboratory testing services that help healthcare providers diagnose, treat, monitor, and prevent disease in patients. LifeLabs is currently looking for a 
Lab Patient Technician
 to join our team in 
Mississauga, Ontario
.

As a 
Lab Patient Technician,
 you will be responsible for the specimen collection process, from greeting patients through to preparation of specimens for transportation. This is an important role in patient care and our business and will let you see the difference that you make in patients’ lives. This is a 
Lab Patient Technician - Part - Time Regular (Flexible) - Mississauga, ON
 role suitable for an individual with a flexible schedule and includes the opportunity to pick up additional shifts at other LifeLabs locations.



In This Role You Will




 Greet and request required information from patients, explain the specimen collection process, and ensure patients have followed necessary test protocol prior to specimen collection. 

 Perform phlebotomies, connect/disconnect Holter monitors, and perform ECG tracings. 

 Perform special test collections, such as medical/legal drug screens, paternity tests, and clinical trials, and complete related documentation. 

 Maintain client relationships, including responding to inquiries and following up on requests. 

 Complete data entry of required patient demographics, requisition information, and other information related to processing test results. 

 Prepare specimens for transportation and testing. 


The right person for this role will be focused on great customer/patient service and be able to relate to patients and clients even in stressful situations. Some key qualities include empathy, flexibility, adaptability to change, and problem-solving skills. Other requirements include


 Graduate of an approved Laboratory Assistant program or equivalent. 

 Phlebotomy experience. 

 Excellent communication skills. 

 Good computer skills with a minimum typing speed of 40 wpm. 

 Ability to maintain the strictest standards of patient privacy and confidentiality. 


We are looking for passionate individuals who share in the importance of our values: Caring, Customer Driven, Agile and One Team and can live these values with us every day.


 Ready to make a difference? Apply today. 


At LifeLabs, we strive to create an inclusive and equitable workplace where our team members and the communities we serve feel accepted, valued, and respected.

In accordance with LifeLabs’ Accessibility Policy , the Accessibility for Ontarians with Disabilities Act, and the Ontario Human Rights Code, accommodations are available by request for candidates taking part in all aspects of the recruitment and selection process. For a confidential inquiry or to request an accommodation, please contact your recruiter or email careers@lifelabs.com .

LifeLabs is committed to providing a safe environment for our employees, customers, and the communities we serve. We have been a leader throughout the COVID-19 pandemic regarding health and safety measures and have always put our employees and customers at the center of every decision that we make. As an organization in the health care sector, we believe the COVID vaccination adds a layer of protection that complements the extensive and necessary health and safety protocols that we have taken to date. With this in mind, we currently require all LifeLabs employees, contractors, students and volunteers to be fully vaccinated.

LifeLabs operates under a distributed workforce model, where employee flexibility is a key priority. Further information will be provided during the interview process on what this means for employees.
      
",Linkedin,Laboratory Technician,,2022-03-09 02:16:26,"Research, Analyst, and Information Technology",
