,id,job_title,job_type,job_exp,company,industries,location,description,source,search_kw,expected_salary,post_date,job_function,remote
0,2947075799,"Director, Payments Operations ",Full-time,,Checkfront,,"British Columbia, Canada","



About us








Join the adventure and innovate with a talented team that’s pushing the capabilities of experience management! Empower thousands of tour and activity operators.




One of Canada’s top SaaS growth companies located on beautiful Vancouver Island. As the industry's leading independent booking software, we have customers who run businesses in fascinating destinations all over the world. We have over 5,000 businesses using our platform and have processed over $8.1B in bookings to date, operating in 136 countries and 36 languages.








About the Job



 





We’re looking for someone to bring significant payment expertise as Director, Payment Operations. You’ll be a vital member of the Payments Team responsible for operating our Checkfront Payments business. Your focus, and that of the overall team, will be to help our payments business scale with ease, cost effectiveness and confidence. Within Payments, we partner with our external vendors, along with our peers in Product, Development, Technical Support, Finance, and other cross-functional areas as part of a continuous feedback loop, so that we can have the best possible payments experience for Checkfront customers and their customers across the globe.





Please note the preferred location for this role is Victoria, BC, but we are open to hiring remotely.












Some tasks you’ll be taking on



 






Collaborate with Payments leadership to further develop the Payments Operations team into a high performing organization by defining, executing, and communicating operational processes, standards, and best practices that work flawlessly.

Collaborate with Payments leadership to define on-going Payments strategy ensuring a balanced risk scorecard is in place, while continuing to deliver a positive customer experience

Participate in weekly metrics meetings reporting on payment metrics (volume, transactions, revenue, etc), as well as other strategic and tactical meetings as required

Lead payment operations team recruitment efforts and ensure they deliver an ideal candidate experience, as well as ensure an effective training program is in place

Collaborate with Payments leadership on department budget, ensuring resources are maximized to deliver the highest standard of customer service while minimizing waste

Own one or more key partner relationships and manage all operational components of those relationships – including onboarding, escalation, and business-as-usual

Design and monitor reports and dashboards that capture deep insights into our business through leading and lagging indicators, visualizations, and early warning mechanisms

Partner with our Intelligence team to identify gaps, examine opportunities, and model improvements against speed, cost, and acceptance

Collaborate with product and development to build-out critical tools, automate routine work where possible, and address longer-term or recurring issues

Own customer boarding logistics to ensure a streamlined process

Own payment issues from beginning to end, working with product, development and external partners to troubleshoot and resolve issues in a systematic and timely fashion

Support implementation teams within payments and across the entire company as a subject matter expert on payment-related operational matters

Continuous monitoring and optimization of interchange rates to minimize our costs

Coordinate, assist and educate merchants with chargebacks












Ideally, you should have


 





3+ years payments industry experience

2+ years in payments compliance and risk

5+ years of payment operations experience at a high-growth tech company

Strong understanding of economic, legal, regulatory, and technical factors shaping payments services

An affinity for systems thinking and continuous improvement

Exceptional collaborative and troubleshooting/deductive skills including the ability to engage in operational incidents with emerging data to assess impact and drive collaborative resolution in a swift manner

Strong analytical skills that will allow good reporting and understanding of problems

Exceptional written and verbal presentation skills coupled with ability to drive consensus

Experience working with external technology partners and vendors 






If you don’t meet all of our requirements exactly or have some gaps in your resume, know that we would still love to hear from you! Use your cover letter to tell us about your unique experience - we understand that talent comes from many places and that skills are transferable.












You get









A company that values work-life balance

Vacation, personal days, health days, paid volunteer day 

Extended health benefits and EAP program 

Parental benefits 

Professional development allowance 

Mentorship program 

A newly renovated (as of May 2020) “tourism themed” office space in downtown Victoria (unless you’re remote)






Checkfront acknowledges and respects that we work, learn, and innovate on the unceded Coast Salish Territory of the Lekwungen &amp; WSÁNEĆ nations.






This position requires a successful candidate background check; any offer and candidate acceptance is contingent upon successful completion.












Life at Checkfront 








At Checkfront, people empower others by providing opportunities for growth and learning, fostering teamwork and encouraging ideas. We support the wellbeing of our employees and dedicate our overall efforts toward a positive employee experience. 




We value psychological safety and transparency across all levels of the organization, and as a result, there is a tremendous sense of camaraderie and support felt throughout the company. Everyone is caring about teammates and passionate about their work. 




We are committed to upholding the values of diversity, equity, and inclusion. In pursuit of this, we actively seek new members who will work respectfully and constructively with our team, propelling our company and the community forward.




There are also fun events throughout the year; skiing, cabin getaways, fireside chats, holiday parties, and more! Do you prefer a flexible work location? That’s great! Whether you are at home or in-office, we aim to provide an inclusive environment.


",Linkedin,Manufacturing Director,,2022-03-09 03:44:01,,
1,2955720814,Directeur des opérations (Câblage/sécurité),Full-time,Entry level,St-Amour,"Appliances, Electrical, and Electronics Manufacturing, Wholesale Building Materials, and Telecommunications","Laval, QC","



Notre client fournit des services de câblage structuré et de sécurité, il dessert la province de Québec.



Nous sommes présentement à la recherche d’un Directeur des opérations responsable d’encadrer une équipe de 15 à 20 techniciens qui effectuent l’installation et la maintenance chez les clients. 



Votre défi : 



Superviser et développer les membres de votre équipe en assurant que leurs connaissances techniques sont à jour et en offrant de la formation continue en ce qui concerne les normes de sécurité, l'équipement et les règlements. 



S’assurer de la qualité des installations par les techniciens. 



Diriger les projets relatifs aux nouvelles installations et assurer que les travaux sont exécutés conformément aux règles et aux politiques, tout en respectant les calendriers et les budgets. 



Fournir le support technique aux techniciens et trouver des solutions aux problèmes rencontrés. 



Faire le suivi des indicateurs de performance sur une base régulière.



Travailler avec son équipe ainsi qu'avec des équipes multifonctionnelles pour améliorer continuellement le processus de travail. 



Analyser en continu le fonctionnement de l'activité, identifier les causes de dysfonctionnement et proposer des mesures correctives.



 



Vous possédez une formation technique en télécommunications, en électricité ou toute autre formation pertinente, combinée à un minimum de 5 ans d’expérience, incluant une expérience en gestion.



Vous avez de bonnes connaissances générales dans un domaine technique pertinent de l'installation et/ou de l'application.



Vous détenez un permis de conduire valide.





",Linkedin,Manufacturing Director,,2022-03-08 17:55:10,"Information Technology, Manufacturing, and Engineering",
2,2955702320,DIRECTEUR DES OPERATIONS,Full-time,Director,Cowan Dynamics Inc,Automation Machinery Manufacturing,"Montreal, QC","

        Si vous êtes un gestionnaire de projet doté d'un solide leadership, d'une formation technique et d'une expérience en fabrication et que vous aimeriez avoir la chance d'évoluer dans un environnement de travail stimulant, Cowan Dynamics a une opportunité exceptionnelle pour vous! Cowan Dynamics est une société d'ingénierie et de fabrication bien établie d'actionneurs hydrauliques, pneumatiques et électrohydrauliques et de systèmes de contrôle de processus. Nous avons une clientèle internationale et diversifiée encadrée par nos groupes de vente qui sont situés à Montréal et Edmonton. Résumé Personne techniquement compétente, dotée de solides compétences en leadership et d'une expérience pratique qui sera chargée de gérer les équipes d'ingénierie et de fabrication de Cowan afin de produire des produits de qualité, de respecter les délais de livraison et d'assurer la satisfaction de la clientèle. Assurer l'optimisation continue des méthodes de travail, des processus, des outils et des communications interdépartementales. Responsabilités Responsable de tous les processus d'ingénierie, de fabrication et d'achat et des opérations quotidiennes pour répondre aux exigences de qualité et de livraison des clients. Gérer toutes les informations entre les départements d'ingénierie et de fabrication. Maintenir et/ou développer des outils de rapport d'information pour s'assurer que toutes les informations pertinentes sont accessibles à tout le personnel. Maintenir un environnement de travail sûr et sain pour tous les employés. Veiller à ce que les procédures de contrôle de la qualité soient correctement maintenues et mises en oeuvre. Assurer l'amélioration continue du personnel en recommandant et/ou mettant en oeuvre des sessions de formation sur mesure. Assurer l'amélioration continue des processus de travail et/ou des outils pour optimiser tous les aspects des opérations. Aider à recommander des investissements en capital et des projets d'amélioration des processus. Qualifications Expérience de plusieurs années dans un rôle pertinent dans un environnement d'ingénierie/fabrication. Baccalauréat en opérations et en génie logistique d'une université accréditée. Certification PMP obligatoire. Excellente maîtrise du français et de l'anglais parlé et écrit. Solides compétences en gestion des personnes, en communication et en gestion des conflits. Connaissance des processus de fabrication et de la conception de systèmes hydrauliques. Le candidat retenu travaillera au bureau de Cowan à Montréal. Le salaire sera déterminé selon l'expérience.
      
",Linkedin,Manufacturing Director,,2022-03-08 17:27:12,Management and Manufacturing,
3,2955848423,"Director, Data and Analytics",Full-time,Director,Hitachi Solutions Canada,"IT Services and IT Consulting, Software Development, and Business Consulting and Services","Toronto, ON","



Company Description



Hitachi Solutions is a global Microsoft solutions integrator passionate about developing and delivering industry-focused solutions that support our clients to deliver on their business transformation goals. Our industry focus, expertise, and intellectual property is what truly sets us apart. We have earned, and continue to maintain, a strategic relationship with Microsoft. Recognized for our achievements - teaming with our clients to deliver innovative digital solutions and services - is how we have achieved year after year recognition.

As their trusted advisor, we support our clients to deliver on their strategic business initiatives as they unify, automate, and modernize their data and operations to increase efficiency, reduce costs, and enhance their customer’s experience. Our over 3,000 team members across 14 countries, and our 18 years of 100% focus on Microsoft technologies and business applications, is how we deliver excellence through expert services and industry-focused cloud solutions.

A part of Hitachi, Ltd., our company has a long and rich history of innovation, financial strength, and international presence of one of the world’s largest companies. Since 1910, Hitachi, Ltd. has been a leader in manufacturing innovative products and solutions that support industry and social infrastructure around the globe supported by 303,000 employees in over 100 countries and across 864 companies.



Job Description




Data &amp; Analytics Director - Canada


As a Canadian Data &amp; Analytics practice leader, the Data &amp; Analytics Director oversees Azure data engineering and Power BI development from definition to delivery. Oversight will include pre-sales estimation, backlog requirements, and the development and release of solutions.

They are skilled communicators, highly collaborative, and take great pride in delivering solutions that meet and exceed our customer's goals. They are fully capable of conversing with engineers at a deep technical level in one moment and communicating with client executives in another.

Finally, they know how to build and foster a highly effective team, enabling team members to do their best and mentoring them in professional challenges or career aspirations



Qualifications




Technical Requirements



Proven expert-level depth in the following technologies:

Power BI;

Azure Databricks; and

T-SQL.

CI/CD pipeline experience using Azure DevOps or equivalent work experience is required

Ability to quickly propose Azure Data Platform solutions by recalling the latest best practices learned from MVP &amp; Product Group articles, MSFT documentation, whitepapers, and community publications




Practices, Principles, Techniques




Pixel-perfect attention to detail

Kimball methodology

Growing cross-functional, self-governing teams

Agile/Scrum

DevOps/DataOps/MLOps




Experience




10+ years of data &amp; analytics experience

4+ years leading multiple projects 

Fantastic presentation skills for technical and non-technical audiences




Extensive Experience




requirements gathering, backlog creation and prioritization;

developing star schemas and semantic layers; and

mentoring others in development practices.



Major Pluses



The ability to identify, define and implement opportunities for enhancing existing processes

Consulting and pre-sales experience

Go-to-Market planning 


Additional Information

We are an equal opportunity employer. All applicants will be considered for employment without attention to age, race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status


#REMOTE




",Linkedin,Manufacturing Director,,2022-03-09 02:06:27,"Research, Analyst, and Information Technology",
4,2960199024,Director Manufacturing | AMW | Al Futtaim Automotive | Sri Lanka,Full-time,Not Applicable,Al-Futtaim,Retail,"Utikoomak Lake 155 A, AB","


Job Requisition ID: 
120081

No two days are the same at Al-Futtaim, no matter what role you have. Our work is driven by the desire to make a difference and to have a meaningful impact with the goal of enriching everyday lives . Take our engaging and supportive work environment and couple it with a company culture that recognises and rewards quality performance, and what do you get? The chance to push the limits every single day.

As a humble family business that started on the banks of the Dubai Creek in the 1930s, Al-Futtaim has expanded to a presence in 31 countries, a portfolio of over 200 companies, and 42,000 employees. You’ll find us in industries ranging from automotive and retail, to finance and real estate, and connecting people with international names like Lexus, Ikea, and Adidas. Our team is proudly multicultural and multinational because that kind of diverse representation gives us the global mindset to grow and impact the people, markets, and trends around us.

Come join us to live well, work better, and be the best.


JOB PURPOSE:


Provide innovative and strategic direction and leadership to 
AMW Manufacturing 
to achieve internal and external objectives by ensuring that the appropriate structures, systems, competencies and values exist while maintaining profitable working relationships with all stakeholders in order to meet and exceed the set goals.


KEY RESPONSIBILITIES: 



 Profitability of AMW Manufacturing

 Market share growth – Local &amp; Export

 Employee Engagement

 Customer service and relationship with customers

 Maintain positive working relationship with Trade Union to optimize worker productivity

 Develop and retain talent in the team through coaching and focus on IDPs for creating effective succession in the department.

 Operational Efficiencies




JOB CONTEXT:


Relationship with Government / Regulatory authorities Factories Ordinance


 Regulation issued under relevant Wages Boards

 Regulations issued under Central Environmental Authority

 Collective Bargaining Agreement

 Al-Futtaim Code of Conduct

 AMW Group Specific policies &amp; Regulations




QUALIFICATIONS, EXPERIENCE, &amp; SKILLS: 


Minimum Qualifications and Knowledge:


 Engineering / Polymer Science graduate with MBA preferred



Minimum Experience:


 15 years experience with minimum 7 years of industry specific experience with proven leadership capability for over 4 years.



Job-Specific Skills:


 Knowledge of Polymer technology &amp; tyre related technology

 Knowledge of lean manufacturing systems

 Analytical, data driven outlook with strong segmentation skills

 Focus on driving commercial results with measurable KPIs

 Operational, fast to assess situation, recommend and act



Behavioural Competencies:


 Leadership, action &amp; consensus driven

 A team player

 Excellent Interpersonal Skills, able to build string relationships, mutual respect and trust

 Cultural awareness

 Continuous improvement

 Ability to delegate and individual accountability



We’re here to provide excellent service but a little help from you can ensure a five-star candidate experience from start to finish.

Before you click “apply”: Please read the job description carefully to ensure you can confidently demonstrate 
why
 this opportunity is right for you and take the time to put together a well-crafted and personalised CV to further boost your visibility. Our global Talent Acquisition team members are all assigned to specific businesses to ensure that we make the best matches between talent and opportunities. We not only consider the requisite compatibility of skills and behaviours, but also how candidates align with our Values of Respect, Integrity, Collaboration, and Excellence.

As part of our candidate experience promise, we also want to make ourselves available to you throughout the application process. We make every effort to review and respond to every application.
      
",Linkedin,Manufacturing Director,,2022-03-08 23:27:20,Management and Manufacturing,
5,2947012553,Directeur des operations temps partiel - Station,Full-time,Not Applicable,FedEx Ground,"Transportation, Logistics and Storage, Insurance, and Truck Transportation","Calgary, AB","


AutoReqID:
 335131BR


Type de Poste:
 Temps plein


Type de salaire:
 Non-Exempt



Description D'emploi



Ce poste de gestionnaires de première ligne vise à promouvoir la culture de « la sécurité avant tout » de FedEx Ground et à gérer les d’activités courantes propres à une station ou un centre de tri et dirigent une équipe attitrée. Une des responsabilités du poste consiste à veiller à ce que les colis soient triés de façon efficace et sécuritaire en assurant la gestion des préposés aux colis. Le gestionnaire des opérations peut également gérer des employés et des fonctions administratives, et s’assurer que les processus administratifs sont conformes aux politiques et procédures de FXG et aux règlements gouvernementaux.


Adresse:
 46 Aero Drive NE


Ville:
 Calgary


Province:
 Alberta


Ville code postal [Format: XXX XXX]:
 T2E 8Z9


Description dans le Moteur de Recherche:
 Transitaires

énéral

Opérations

Chaîne d'approvisionnement et Logistique

Services de transport

Entreposage et de distribution


Numéro de la Succursale d'attache:
 FXG-CAN/CAN/Q6202/Calgary Local


Déclaration de l'EEO


FedEx Ground est un employeur d'égalité des chances
      
",Linkedin,Manufacturing Director,,2022-03-08 21:24:26,Management and Manufacturing,
6,2959555243,Director of Operations,Contract,Director,Global Aviation Services,Staffing and Recruiting,"Richmond, BC","

        Reports to: Vice President Operations Canada

The Regional Director Operations is responsible for the oversight of the day to day management of the station operation, including operational decisions and the overall coordination of activities to safely deliver the customer experience while achieving operational and financial objectives.

Provides leadership for all direct staff, in supporting their responsibilities and metrics assuring The Company is Ground Handler of choice.



Job Description Summary



Assumes the leadership of the operations for the Region including a strong partnership with the airport safety team.


 Ensures Safety, Security and Service standards are observed, monitored and practiced consistently, including Emergency Response and Environmental Plans

 Ensures compliance with standards of ISAGO, SMS and other applicable authorities

 Ensures that risks related to Safety are addressed, root cause identified and corrective measures implemented

 Retains the ownership of safety for the Region. Where audit activities have revealed vulnerabilities, ensures identification and addressing of root cause and implementation of corrective measures to address root cause

 Allocates airport operations material, human &amp; financial resources and policies for the Company to ensure safety and security of operations

 Oversees Airport Operations - station's strategies, detailed safety and business plans, policies, organizational structure, goals, responsibilities and metrics

 Ensures the efficient use and management of the Company facilities, where applicable

 Ensures systems, processes and resources in place to deliver safe and secure operation of passenger services, baggage, ramp, cabins, winter operations handling and IRROPS

 Approves the Region's - material, human &amp; financial resources allocation and policies

 Acts as the designated Company representative, to include Federal Agencies, Airport Authorities, and Airline Organizations

 Ensures Managers share a common understanding and commitment to the Company's corporate, branch and local goals

 Manages oversight of resource deployment to support Customer Service and On Time Performance in a financially responsible manner

 Oversees all contractual SLAs

 Network with other departments and vendors to meet Airport Customer Service and Operational requirements

 Establishes and maintains professional relationships with unions; actively participates in Collective Bargaining negotiations




Requirements




 Bachelor's Degree in Business Administration and/or equivalent experience

 Ten plus years of progressive leadership experience

 Ability to work strategically, develop comprehensive learning and organizational development strategies to address current and future business needs

 Ability to think strategically, laterally and conceptually and to translate concepts into concrete applications

 Ability to provide effective mentoring, coaching and feedback to front line management

 Excellent presentation, facilitation and written communication skills.

 Strong analytical and problem solving abilities.

 Strong business acumen

 Excellent knowledge of Operations

 Experience with Employee management

 Experience with managing safety, health and safety committee

 Strong computer skills

 Experience in unionized environment

 Understanding of risk assessments




Education/Experience




 Associate's degree or higher. High school diploma or equivalent may be substituted with four years' relevant experience.

 At least 5 years of successful industry-related or airline experience in upper management required




Competency



To perform the job successfully, an individual should demonstrate the following competencies: Problem Solving, Operational and Financial acumen, Customer Service, Interpersonal, and Oral Communication.



Qualifications



To perform this job successfully, an individual must be able to perform each essential function satisfactorily. The requirements listed in this Job Description are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.



General Qualifications




 Eligible to work in Canada

 Valid State Driver's License with a verifiable safe vehicle operating record.




Language Ability



Ability to read and interpret documents such as safety rules, operating and maintenance instructions, and procedure manuals in English. Ability to communicate effectively in English.



Math Ability



Ability to understand and analyze financial operations, profit and loss statements, customer invoices, and other mathematical functions necessary to managing the airport operation.



Reasoning Ability



Ability to apply common sense understanding to carry out instructions furnished in written, oral, or diagram form.



Computer Skills



Demonstrated proficiency in Word, Excel, Online Timekeeping and Outlook, sufficient to write letters, organize schedules, and perform other tasks related to payroll and operations.



Certificates And Licenses



Valid State Driver's License with a verifiable safe vehicle operating record.



Supervisory Responsibilities



Direct or indirect supervision of all on-site personnel.



Physical Demands



The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.


 Stand and walk

 Use hands to finger, handle, or feel

 Be able to hear and respond to the spoken voice and to audible alarms generated by terminal environment

 Specific vision abilities required for this job include: Close vision (clear vision at 20 inches or less); distance vision (clear vision at 20 feet or more); color vision (ability to identify and distinguish colors); peripheral vision (ability to observe an area that can be seen up and down or to the left and right while eyes are fixed on a given point); depth perception (three-dimensional vision, ability to judge distances and spatial relationships); ability to adjust focus (ability to adjust the eye to bring an object into sharp focus)


#PF_NOW
      
",Linkedin,Manufacturing Director,,2022-03-08 16:16:00,Management and Manufacturing,
7,2955822602,C&M Operations Director,Full-time,Director,Parsons Corporation,"Construction, Civil Engineering, and Truck Transportation","Faro, YT","



Minimum Clearance Required To Start



Not Applicable/None



Job Description



Parsons is a world-class leader in providing in-depth engineering, construction, technical, and management services. Our employees deliver landmark commercial, industrial, environmental, energy, power, and renewable infrastructure projects — and provide innovative solutions to complex environmental, water quality, supply, treatment, watershed, and wastewater challenges. We hire colleagues with an entrepreneurial spirit who thrive on providing solutions in a high-energy environment. Parsons is helping to build a healthier and more sustainable world.


Opportunity


Parsons has been successful in winning environmental and mining projects in Northern Canada and will be aggressively pursuing additional northern projects.


Need


Parsons is looking for an 
Operations Director
 to join our team to support abandoned mine opportunities in the North. We are looking for staff who have experience overseeing northern active and abandoned mines remediation or operations and are familiar with maintaining water treatment plants at mines and conveying water through all seasons as well as managing maintenance and inventory operations. The successful candidate will provide expertise and technical assistance to a team managing ongoing operations at unique northern abandoned mines.



Job Description




Responsible for all Care and Maintenance requirements and activities as required to facilitate the delivery of the Faro Mine Remediation Project (FMRP)

Responsible to comply with EH&amp;S at the Mine Site as per the Mine Health &amp; Safety Act and Yukon Occupational Health and Safety Regulations

Ensures environmental awareness and compliance with federal and territorial regulations and guidelines

Oversees Care and Maintenance staff

Maintains Environment, Health and Safety (EHS) systems, inspections, and audits

Supports the Project Socio-Economic Strategy

Quality

Reviews and analyze SOPs

Leads a team of staff to provide Care and Maintenance Services including Environmental and Geotechnical Management, Health &amp; Safety, Security, Care &amp; Maintenance and subcontractor oversight

Lead contact between Parsons and the owner’s operational leadership team with respect to EHS





Leadership Capabilities




Decision Quality – Making good and timely decisions that keep the project moving forward.

Cultivates Innovation – Creates a new and better ways for the project to be successful.

Instils Trust – Gains the confidence and trust of others through honesty, integrity and authenticity.

Action Oriented – Taking on new opportunities with a sense of urgency, high energy and enthusiasm.

Plans and Aligns – Planning and prioritizing work to meet commitments aligned with project and corporate goals.

Ensures Accountability – Holding self and others accountable to meet commitments.

Develops Talent – Developing people to meet both their career goals and the organization’s goals.

Communicates Effectively – Developing and delivering multi-mode communications that convey a clear understanding of the unique needs of different audiences.





Minimum Qualifications




 At least 10 years’ cumulative demonstrated Project Management work experience related to the construction industry, demonstrating either 10 years in a senior role or progressively more senior roles across the duration of the duration of the resource’s experience;

 At least 3 years in the last 10 years prior to the closing date of the solicitation demonstrating the resource’s experience as a team lead / as a supervisor;

 At least three (3) projects or three (3) years’ combined experience, in the last 5 years prior to the closing date of the solicitation demonstrating the resource’s experience in effectively managing a large number of subcontractors and coordinating construction work;

 At least three (3) projects, or three (3) years’ combined experience in the last 5. 5+ years prior to the closing date of the solicitation demonstrating the resource’s experience in overseeing the development of project budgets, schedules and progress reports.





Preferred Qualifications




 Graduate Degree in Engineering from a recognized university;

 Engineering certification valid in any Canadian province or territory (P.Eng.);

 Completion of a diploma or degree in a certified project management program;

 Project Management Professional certification or equivalent;

 15 years or more of demonstrated Project Management work experience related to the construction industry;

 Demonstrated experience in monitoring and reviewing work package / project delivery components including administration, document control, project control, staff planning, supply chain management, construction and pre-commissioning;

 Demonstrated experience in ensuring overall project scope of services is performed in a safe, cost effective and timely manner that meets or exceed client expectations;

 Demonstrated experience in managing greenfield or brownfield projects;

 Demonstrated experience in managing project-specific change and risk management systems.



The position may require a COVID vaccination or an approved accommodation/exemption for a disability/medical condition or religious belief as required by federal, state, provincial or local mandates or customer requirements.
      
",Linkedin,Manufacturing Director,,2022-03-09 00:31:56,Management and Manufacturing,
8,2959554336,Director of Operations,Contract,Director,Global Aviation Services,Staffing and Recruiting,"Richmond, BC","

        Reports to: Vice President Operations Canada

The Regional Director Operations is responsible for the oversight of the day to day management of the station operation, including operational decisions and the overall coordination of activities to safely deliver the customer experience while achieving operational and financial objectives.

Provides leadership for all direct staff, in supporting their responsibilities and metrics assuring The Company is Ground Handler of choice.



Job Description Summary



Assumes the leadership of the operations for the Region including a strong partnership with the airport safety team.


 Ensures Safety, Security and Service standards are observed, monitored and practiced consistently, including Emergency Response and Environmental Plans

 Ensures compliance with standards of ISAGO, SMS and other applicable authorities

 Ensures that risks related to Safety are addressed, root cause identified and corrective measures implemented

 Retains the ownership of safety for the Region. Where audit activities have revealed vulnerabilities, ensures identification and addressing of root cause and implementation of corrective measures to address root cause

 Allocates airport operations material, human &amp; financial resources and policies for the Company to ensure safety and security of operations

 Oversees Airport Operations - station's strategies, detailed safety and business plans, policies, organizational structure, goals, responsibilities and metrics

 Ensures the efficient use and management of the Company facilities, where applicable

 Ensures systems, processes and resources in place to deliver safe and secure operation of passenger services, baggage, ramp, cabins, winter operations handling and IRROPS

 Approves the Region's - material, human &amp; financial resources allocation and policies

 Acts as the designated Company representative, to include Federal Agencies, Airport Authorities, and Airline Organizations

 Ensures Managers share a common understanding and commitment to the Company's corporate, branch and local goals

 Manages oversight of resource deployment to support Customer Service and On Time Performance in a financially responsible manner

 Oversees all contractual SLAs

 Network with other departments and vendors to meet Airport Customer Service and Operational requirements

 Establishes and maintains professional relationships with unions; actively participates in Collective Bargaining negotiations




Requirements




 Bachelor's Degree in Business Administration and/or equivalent experience

 Ten plus years of progressive leadership experience

 Ability to work strategically, develop comprehensive learning and organizational development strategies to address current and future business needs

 Ability to think strategically, laterally and conceptually and to translate concepts into concrete applications

 Ability to provide effective mentoring, coaching and feedback to front line management

 Excellent presentation, facilitation and written communication skills.

 Strong analytical and problem solving abilities.

 Strong business acumen

 Excellent knowledge of Operations

 Experience with Employee management

 Experience with managing safety, health and safety committee

 Strong computer skills

 Experience in unionized environment

 Understanding of risk assessments




Education/Experience




 Associate's degree or higher. High school diploma or equivalent may be substituted with four years' relevant experience.

 At least 5 years of successful industry-related or airline experience in upper management required




Competency



To perform the job successfully, an individual should demonstrate the following competencies: Problem Solving, Operational and Financial acumen, Customer Service, Interpersonal, and Oral Communication.



Qualifications



To perform this job successfully, an individual must be able to perform each essential function satisfactorily. The requirements listed in this Job Description are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.



General Qualifications




 Eligible to work in Canada

 Valid State Driver's License with a verifiable safe vehicle operating record.




Language Ability



Ability to read and interpret documents such as safety rules, operating and maintenance instructions, and procedure manuals in English. Ability to communicate effectively in English.



Math Ability



Ability to understand and analyze financial operations, profit and loss statements, customer invoices, and other mathematical functions necessary to managing the airport operation.



Reasoning Ability



Ability to apply common sense understanding to carry out instructions furnished in written, oral, or diagram form.



Computer Skills



Demonstrated proficiency in Word, Excel, Online Timekeeping and Outlook, sufficient to write letters, organize schedules, and perform other tasks related to payroll and operations.



Certificates And Licenses



Valid State Driver's License with a verifiable safe vehicle operating record.



Supervisory Responsibilities



Direct or indirect supervision of all on-site personnel.



Physical Demands



The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.


 Stand and walk

 Use hands to finger, handle, or feel

 Be able to hear and respond to the spoken voice and to audible alarms generated by terminal environment

 Specific vision abilities required for this job include: Close vision (clear vision at 20 inches or less); distance vision (clear vision at 20 feet or more); color vision (ability to identify and distinguish colors); peripheral vision (ability to observe an area that can be seen up and down or to the left and right while eyes are fixed on a given point); depth perception (three-dimensional vision, ability to judge distances and spatial relationships); ability to adjust focus (ability to adjust the eye to bring an object into sharp focus)


#PF_NOW
      
",Linkedin,Manufacturing Director,,2022-03-08 16:16:00,Management and Manufacturing,
9,2955700341,Directeur / Directrice des opérations,Full-time,Director,BOOST- Groupe Conseil,"Motor Vehicle Manufacturing, Staffing and Recruiting, and Human Resources Services","Laurier-Station, QC","

        Vous êtes polyvalent(e), rigoureux (se) et avez un excellent sens de l'organisation pour faire face aux différents enjeux tant organisationnels qu'humains? Nous sommes faits pour se rencontrer! Notre client, Produits Minéra dont le siège social est situé près de Laurier Station, est une entreprise qui oeuvre dans la distribution, la récupération et revalorisation de minéraux industriels. Il est à la recherche d'un(e) directeur (trice) des opérations capable de faire preuve d'un savoir-faire et d'un savoir-être afin de mener à bien ses fonctions de dirigeant. Travailler chez notre client c'est :


Un salaire de 80 000$ annuellement.

Un horaire de jour variable qui peut débuter à 7h30 et se terminer à partir de 16h00.

Horaire du lundi au vendredi.

Durant la période allant du 15 juillet au 15 août, les activités de l'entreprise sont considérablement réduites.

Fonds de pension (cotisation aussi de l'employeur de 3%).

Régime d'assurances collectives complet payé 75% par l'employeur.

3 semaines de vacances. Votre défi :

Coordonner la réalisation de son travail avec les membres de l'équipe.

Veille au respect des critères de qualité.

Participer à la raison d'être, la mission et la vision de l'entreprise.

S'assurer que les horaires de production sont respectés.

S'occuper de la gestion opérationnelle quotidienne de l'entreprise.

S'occuper de la gestion des transports de produits minéraux.

S'occuper de la gestion des activités de récupération et revalorisation de produits minéraux.

S'occuper de la gestion de la flotte des véhicules. Votre profil :

Connaissance technique dans le domaine minier.

Connaissance technique dans le domaine de la logistique/achats.

Combinaison formation/expérience équivalente.

Autres compétences techniques.

Connaissance technique en lien avec les produits minéraux et le secteur d'activité.

Connaissance mécanique industrielle, machinerie lourde et entretien de base.

Connaissances des lois et règlements encadrant le secteur du transport.

Connaissances au niveau de la maintenance d'équipements. *** L'utilisation du masculin a pour seul but d'alléger le texte



",Linkedin,Manufacturing Director,,2022-03-08 17:26:51,Management and Manufacturing,
