,id,job_title,job_type,job_exp,company,industries,location,description,source,search_kw,expected_salary,post_date,job_function,remote
0,2962440779,Sales Representative,Full-time,Associate,Sandvik,"Construction, Industrial Machinery Manufacturing, and Staffing and Recruiting","Mississauga, ON","

        Dormer Pramet is seeking a


Sales Representative


Location: Toronto GTA Area


Dormer Pramet Canada
, a leading manufacturer of HSS, HSCO and high performance carbide round tools and indexable tooling and part of the world leading Dormer Pramet group, is looking for a Sales Representative to grow the Dormer Pramet product lines in the Toronto GTA.



The Role



In this key role, the Sales Representative will be responsible for providing sales support to both established channel partners &amp; end user customers in the assigned territory and in meeting set objectives as it relates to customer satisfaction, business growth and sales efficiency in accordance with established protocols, practices and procedures.



Key Performance Areas




Establish and maintain a strong partnership with our customers and our channel partners

Promoting new and existing products to sell the complete product line through a target account strategy focused on those end user customers offering the greatest opportunities in line with company product objectives

Prospecting for new end user customers and channel partners that would improve overall market coverage/share and/or penetration of key end user accounts

Support the testing, evaluation, and trouble-shooting of all Dormer Pramet products

Ensure the provision of complete documentation in support of test results.

Possess the ability to deliver our Value Message to customers through a quantifiable documented cost savings procedure.

Proper documentation of test tool performance

Supply solutions that meet or exceed our customer expectations

Identifying and reporting competitor activities within the market as well as market conditions

Meeting and/or exceeding the targets set out in our performance objectives

Hosting periodic training and new product meetings with end user customers and channel partner personnel

Prospect both new and existing customers to identify opportunities for sales growth




Your Profile




A strong knowledge of machining, (primarily round and indexable tooling) programming and/or engineering of precision machined components, 5+ years of experience preferred

University degree in Mechanical Engineering or related field is a plus

Highly motivated with strong organizational skills

Disciplined self-starter with ability to multi-task

Excellent written and verbal communication skills in English and French

Experience with Microsoft Word, Excel, PowerPoint and other computer software

Strong analytical skills




How To Apply


Qualified individuals should apply online at 
www.sandvik.com/career
s to job opening
 R0038942 - Sales Representative
.

We thank all applicants for their response; however, only those being considered for an interview will be contacted. 
Dormer Pramet is an equal opportunity employer. 




Sandvik welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process.



",Linkedin,Sales Representative,,2022-03-09 22:48:15,"Sales, Marketing, and Customer Service",
1,2912808130,Inside Sales Representative,Full-time,Entry level,WESCO Distribution,"IT Services and IT Consulting, Telecommunications, and Security and Investigations","Greater Sudbury, ON","



Job Description



This person interacts with existing customers, primarily by phone and email, to increase sales of the company's products and/or services by obtaining and up-selling orders, creating customer satisfaction and adding value to the customer's buying experience. Collaborates with outside sales to ensure goals are being met. Likely owns a book of accounts.


 Obtains orders through email and telephone calls, verifies and enters items, transfers orders to fulfillment, explains stock-outs and expected delivery dates. 

 Increases orders by suggesting related items, explaining features, and checks customer’s buying history. 

 Owns, qualifies and develops opportunities passed from marketing, outside sales, and national accounts. 

 Identifies ways for continuous improvement of processes. 

 Prepares, generates, and follows up on verbal or written quotations to secure orders, or determine reason for loss of order. 

 Reviews open customer order reports and takes action on open items, including those items that may be at risk in meeting customer’s promised delivery date. 

 Maintains distribution system backorder report, associated customer expediting report and notices, and customer notification. 

 Reports industry trends, competitive pricing and customer feedback to management. 




Experience




 Requires knowledge and experience in Sales and Sales Administration; still acquiring higher level knowledge and skills, however fully competent and productive professional contributor (2-3 years). 

 Familiar with Microsoft Office, and ability to perform basic computer skills. 




Education




 Bachelors’ degree preferred. 




Skills




 Ability to perform multiple tasks simultaneously. 

 Ability to work in team environment. 

 Ability to communicate clearly, both verbally and in written form. 

 Attention to detail. 

 Ability to prospect and market concepts to existing and potentially new accounts. 

 Ability to take action and solve a range of problems that may be difficult, but are not typically complex. 

 Identifies and defines problems and possible solutions independently; chooses among existing solutions. 

 Ability to work independently with general supervision. 


WESCO International, Inc., including its subsidiaries and affiliates (""WESCO""), is an Equal Opportunity and Affirmative Action Employer. It is the policy of WESCO to not discriminate against any job applicant or employee based on age, race, religion, color, handicap, sex, physical condition, disability, sexual orientation, gender identity, national origin, or protected veteran status or any other protected status. This policy includes but is not limited to the following: recruitment and employment, promotion, demotion, transfer, compensation, selection for training including apprenticeship, layoff, or termination.



",Linkedin,Sales Representative,,2022-03-09 21:40:21,Sales and Business Development,
2,2962442745,Sales Representative,Full-time,Associate,Dormer Pramet,"Education Administration Programs, Staffing and Recruiting, and Human Resources Services","Mississauga, ON","

        Dormer Pramet is seeking a


Sales Representative


Location: Toronto GTA Area


Dormer Pramet Canada
, a leading manufacturer of HSS, HSCO and high performance carbide round tools and indexable tooling and part of the world leading Dormer Pramet group, is looking for a Sales Representative to grow the Dormer Pramet product lines in the Toronto GTA.



The Role



In this key role, the Sales Representative will be responsible for providing sales support to both established channel partners &amp; end user customers in the assigned territory and in meeting set objectives as it relates to customer satisfaction, business growth and sales efficiency in accordance with established protocols, practices and procedures.



Key Performance Areas




Establish and maintain a strong partnership with our customers and our channel partners

Promoting new and existing products to sell the complete product line through a target account strategy focused on those end user customers offering the greatest opportunities in line with company product objectives

Prospecting for new end user customers and channel partners that would improve overall market coverage/share and/or penetration of key end user accounts

Support the testing, evaluation, and trouble-shooting of all Dormer Pramet products

Ensure the provision of complete documentation in support of test results.

Possess the ability to deliver our Value Message to customers through a quantifiable documented cost savings procedure.

Proper documentation of test tool performance

Supply solutions that meet or exceed our customer expectations

Identifying and reporting competitor activities within the market as well as market conditions

Meeting and/or exceeding the targets set out in our performance objectives

Hosting periodic training and new product meetings with end user customers and channel partner personnel

Prospect both new and existing customers to identify opportunities for sales growth




Your Profile




A strong knowledge of machining, (primarily round and indexable tooling) programming and/or engineering of precision machined components, 5+ years of experience preferred

University degree in Mechanical Engineering or related field is a plus

Highly motivated with strong organizational skills

Disciplined self-starter with ability to multi-task

Excellent written and verbal communication skills in English and French

Experience with Microsoft Word, Excel, PowerPoint and other computer software

Strong analytical skills




How To Apply


Qualified individuals should apply online at 
www.sandvik.com/career
s to job opening
 R0038942 - Sales Representative
.

We thank all applicants for their response; however, only those being considered for an interview will be contacted. 
Dormer Pramet is an equal opportunity employer. 




Sandvik welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process.



",Linkedin,Sales Representative,,2022-03-09 22:48:16,"Sales, Marketing, and Customer Service",
3,2890688656,Sales Development Representative (Mandarin Speaking),Full-time,Entry level,ApplyBoard,Internet Publishing,"Kitchener, ON","


We’re building a movement - an education revolution. 
We’re building a world where anyone, anywhere can have access to the best education regardless of where they were born. At our core, we believe education is a right, not a privilege. To that end, we’re building a company and a suite of products to lead the charge in transforming access to education.

ApplyBoard is an online platform that empowers students around the world to access the best education by connecting international students, recruitment partners, and academic institutions. We simplify the study abroad search, application, and acceptance process. Not only do we help students with their study abroad journey, but we also help academic institutions to find the best students globally. Our goal is to help enable better, more diverse, schools that are enriched with cultures from all over the world.


The Opportunity:


We are looking for a success-oriented, organized and hardworking Sales Development Representative (B2B) in 
Canada for our China Market
 to join our growing Sales team and take our company and platform to the next level!


What you’ll be doing every day:



On a daily basis, Represent the ApplyBoard brand and promote our platform and services to agents (Recruitment Partner Prospects)

This is a high performance, individual contributor role with the primary task of increasing agency/recruitment partner sign ups to our platform.

Contacting potential agents (recruitment partners) through cold calls, emails, WhatsApp or LinkedIn.

Researching and sourcing lists of local International student agents and agencies

Identify &amp; Qualify Client needs &amp; Challenges

Build relationships with potential recruitment partners

Proactively seek new business opportunities in the local market

On a daily basis Set up meetings or calls to sign up the agents (recruitment partners) on the ApplyBoard Platform

Report to the Sales Manager / Director on activity and pipeline




What you bring to the table:



Fluent in English and Mandarin

Strong Communication Skills to ensure ApplyBoard’s Value proposition is communicated in a concise and powerful manner, leading to agency sign ups

Competitive, driven individual 

Personable, with good soft skills

Coachable

Ambitious and resilient 

Confident at speaking to agency owners and agents

Organized &amp; Process driven

Desire to work in a fast paced environment

Ability to think quickly

Eligible to work in Canada




Ideally, you also have experience with some of:



Hunting Business development experience in any industry is an asset

Salesforce CRM

Salesforce SalesCloud




What We Offer: 


The opportunity to have an impact on a product that is positively affecting change to thousands of students lives every day

Working alongside a brilliant and globally diverse team based in Waterloo and Toronto

Great compensation and benefits package to keep you healthy and happy!

Thank you for your interest in ApplyBoard, however, only those applicants that have been selected for an interview will be contacted.

At ApplyBoard, we understand the value of having a diverse team. That’s why we believe in providing equal opportunity regardless of race, national or ethnic origin, colour, religion, age, sex, sexual orientation, gender identity or expression, marital status, family status, genetic characteristics, disability, and conviction. Please let us know if you require accommodation during the recruitment process.


Life at ApplyBoard:


By joining our team, you have the opportunity to:

Join the fastest-growing technology company in Canada, with many opportunities for growth and advancement

Work alongside a globally diverse team of over 
1,600 team members based in 18 countries, who represent over 30 nationalities and speak more than 40 languages


Make a difference in the lives of thousands of students as they explore educational opportunities

Want to learn more about Life at ApplyBoard, and be sure to follow us on our Life at ApplyBoard Instagram.


About ApplyBoard: 


ApplyBoard empowers students around the world to access the best education by simplifying the study abroad search, application, and acceptance process to more than 
1,500 institutions
 across Canada, Australia, the United States, and the United Kingdom. ApplyBoard, headquartered in Kitchener, Ontario, Canada, has
 helped more than 200,000 students from more than 125 countries 
along their educational journeys since 2015.

ApplyBoard was named the fastest-growing technology company in Canada by Deloitte,
 ranking #1 on the Technology Fast 50™
 list in 2019 and #2 in 2020. ApplyBoard was also been named to LinkedIn’s list of Top Startups in 2020 and TechTO’s list of top Canadian Rocketship companies to accelerate your career in the Tech Industry.

In 2021, ApplyBoard announced a C$375M Series D funding on a 
C$4B valuation.
 This funding will allow us to further invest in our technology, grow our team around the world, and serve more students on our mission to educate the world. Thank you for your interest in ApplyBoard. Please note that only qualified applicants that have been selected for an interview will be contacted.
      
",Linkedin,Sales Representative,,2022-03-09 11:19:59,Sales and Business Development,
4,2950210238,Sales Development Representative,Full-time,,SceneBox,,"Vancouver, BC","


We are living in a world where machines are becoming smarter every day. They are taking over mundane yet crucial tasks (such as driving) and letting humans focus on living a more creative, fruitful life. Training these machines to perceive the physical environment and make mission-critical decisions is a complex task that heavily relies on using massive amounts of perception data. The large volume, high variety, and lack of structure in the perception data pose a crippling data operation problem for teams that build these smart machines. We want to solve this problem.




We are committed to simplifying machine learning (ML) workflow management for perception-heavy applications such as autonomous vehicles, drones, smart robotics, and surveillance. By focusing on finding the most valuable training data our flagship product, SceneBox, helps perception teams to build better training datasets faster, to focus on core ML tasks rather than data operations, and significantly reduces ML product time to market. 




The ideal candidate is an energetic self-starter with the ability to identify influencers and key decision makers within accounts. You will discover qualified opportunities by responding to inbound interests and targeted outbound prospects to build rapport and establish long-term relationships. 

 


Responsibilities



Drive top-of-the-funnel lead generation for account executives and sales managers

Update and manage all sales activities, opportunities, and account information in CRM

Consistently achieve monthly quota of qualified opportunities

Find new channels for prospecting and customer discovery






Qualifications



Bachelor's degree in Business or a related field

At least 1 - 2 years' of relevant work experience

Excellent written and verbal communication skills

Ability to multi-task, organize, and prioritize work

Excellent market research skills using LinkedIn Sales Navigator



",Linkedin,Sales Representative,,2022-03-09 22:12:04,,
5,2957607089,Field Sales Representative,Full-time,,SPAR Canada Company,,"Greater Toronto Area, Canada","



Field Sales Representative






SPAR Canada Company
 is looking to expand its 
Field Sales Team
 for Kraft Heinz working to sell a proprietary service to new and existing customers!





We are seeking a full-time temporary field sales associate to join our team and service a designated territory.






If you are are eager and excited to hit the ground and get the sale, and interested in joining our vibrant and supportive team...then keep reading!






Seeking to cover territories in:






Toronto



Pickering/Ajax/Oshawa



Brampton



Mississauga



Hamilton



Burlington/Oakville






We provide:



Flexible work schedule

Training

Very competitive pay by performance compensation



Responsibilities include:



Completion of scheduled calls to potential customers

Developing rapport with potential customers

Effectively selling a service to new customers



Requirements:



Reliable transportation

Android/IOS device

Printer &amp; computer access

Attention to detail

Self-motivation and an ability to work independently

Retail/Sales experience an asset






We thank all applicants in advance; only qualified candidates will be contacted. SPAR Canada is an equal opportunity employer. At SPAR, we celebrate diversity and are committed to creating an inclusive environment for all. 



SPAR Canada continues to operate as an essential service in Merchandising and is proud to offer a safe and supportive working environment to all its Field Teams.



SPAR Canada Company is committed to providing an inclusive and accessible environment for everyone. If you have a disability and require accommodation in the interview process, please let us know when you apply.



",Linkedin,Sales Representative,,2022-03-09 20:17:32,,
6,2962292576,Inside Sales Representative- Bearings,Full-time,Entry level,Wajax,"Construction, Motor Vehicle Manufacturing, and Industrial Machinery Manufacturing","Stoney Creek, ON","


The Opportunity


Engaging customers with a focus on customer quote creation and order fulfillment, creating customer satisfaction and adding value to the customer’s buying experience. Provide consistently high levels of customer service to customers and accounts as well as vendors, reaching business targets through excellent telephone sales and communication skills.


The Role



Responsible for daily Customer Quotes and Order’s. As well as expediting of those orders for the customer.

Generate new and repeat sales by providing product and pricing information in a timely manner.

Determine customer requirements and expectations in order to recommend specific products and


solutions.


Recommend alternative products based on cost, availability or specifications.

Increase sales and average order size by means of cross-selling, up-selling, add-on sales and


offering promotional sales items.


Respond to customers via phone, fax or email for quotes, purchases, etc. in a timely


manner after hours on call rotation.


The Candidate



Education: College diploma

Work Experience: 2-3 years related experience in a sales support role.

Knowledge: Knowledge of bearings, mechanical power transmission, process pumps and or hydraulic components would be an asset.

Proficiency: Microsoft Office, including Outlook, Excel, Word, completion of ongoing product training




The Company



Since 1858, Wajax has been a leading industrial products and solutions provider continually innovating to serve Canadian industry coast-to-coast. We work in an extensive range of industries and core sectors of the Canadian economy including energy and renewables, food and beverage, construction, industrial/commercial, transportation, forestry, mining, metal processing, and oil and gas - to name a few. Everything we do is powered by people passionate about making a difference and who are dedicated to driving Canadian industry forward. People who provide the experience and expertise that support the industries that build our cities, power our businesses, put a roof over our heads and food on our tables.

Wajax offers a total compensation package that includes competitive pay, comprehensive benefits, learning and development, as well as some unique additional “perks.”



Highlights Include




100% employer paid medical and dental benefits with no waiting period for eligibility.

Wajax led e-learning, and product training through industry leading manufacturers.

Exclusive discounts with a variety of manufacturers and service providers such as Ford, GM, Chrysler, Dell, TELUS, a group mortgage, home &amp; auto insurance program and more.


By working with Wajax, you become part of an inclusive and diverse team that is dedicated to innovation and teamwork. We are committed to employing a workforce that is representative of the diverse communities across Canada in which we do business. As an equal opportunity employer, please inform us if any accommodation is required if contacted for an interview.

As a condition of employment, final candidates will be subject to pre-screening.


\\ Together we get more done.


",Linkedin,Sales Representative,,2022-03-09 18:49:51,Sales and Business Development,
7,2947062972,Sales & Service Representative,Full-time,Entry level,Canadian Western Bank,"Leasing Non-residential Real Estate, Banking, and Financial Services","Edmonton, AB","

        At CWB , we strive to build value for the people who choose us every day: our people, our clients and our investors. We do this by holding true to the values that guide us. We put people first and build relationships with intention. We seek out and embrace new ideas, knowing that better is always possible. We believe that how we do things is as important as what we do. And we harness the power of inclusion. Our culture is who we are and how we show up - as individuals and as a team - to accomplish our strategy.


Sales &amp; Service Representative



CWB Financial Group (CWB) is on a mission to become the 
best full-service 
bank for business owners of Canada.


Our 
Personal Banking 
team includes a diverse group of finance professionals who strive every single day to achieve strong results for the bank and their clients. Our team of designated banking professionals know and understand the value of relationship building and brings that 
perfect combination of stellar stewardship, client support and financial expertise
 to the table. No day is ever the same in personal banking. Whether it’s providing 
proactive client solutions,
 stellar service support, consultation sessions or financial advice, we’re there every step of the way for our clients to ensure they reach their personal and business dreams. It’s this top service that we are known for.


The opportunity


The primary focus of the 
Banking Sales &amp; Service Representative
 is to provide exceptional customer service and be responsible to open products and services for new and existing clients without lending requirements by engaging clients in conversation and explore potential opportunities to provide a full-service solution.

The successful candidate will have the opportunity to work in multiple branch locations in Edmonton and surrounding areas. All interested individuals must able to travel between multiple branch locations in Edmonton and surrounding areas (e.g. Leduc, St. Albert, etc.) on short notice. Please indicate your availability in your cover letter.


Day-to-day activities



Customer Service. Sales. Financial knowledge sharing. Process &amp; operations. Reporting



Deliver outstanding customer experiences at every interaction and execute on plans to continuously build the client experience, in line with CWB’s brand promise. Provide full-service solutions for clients with the view to be every client’s primary financial partner. Transforming their banking experience into something memorable, rewarding and financially satisfying. 

Proactively identifying customer needs to uncover opportunities to be crucial to their financial success through referrals to Account Managers.

Testing your accuracy and attention to detail with large volumes of transactions, cash handling, inquiries, and interactions.

Exercising your financial smarts – helping clients understand banking products in a way that promotes enthusiasm and true comprehension.

Learning and expanding your knowledge in a way that contributes to your branch’s success.

Spreading positive vibes and collaborating with a team you’re proud to be a part of.




Capabilities That Will Take You Further




People first approach. You are all about people. Be it your clients or your colleagues – you like communicating and connecting with others to provide solutions and build real, lasting relationships.

Business focused. You’re able to see the bigger picture. Your client focus allows you to anticipate clients’ needs to go beyond expectations and drive opportunities to genuinely help others while growing business.

Agile. You are energized when faced with ambiguity and can adjust your approach - with people and problems - to respond efficiently and effectively in changing conditions.

Entrepreneurial. Being accountable and taking ownership of your actions and their results is something you pride yourself on.

Accurate. You’re very detail oriented. Accuracy is a practiced skill of yours and doesn’t diminish in a fast-paced, changing environment. 

Knowledge seeking &amp; growth minded. You’re a self-starter. You ask questions, are eager to learn and have a real interest in banking and how people spend and use their money. 

Technologically sound. You’re computer savvy – enough to move around MS Office Suite and other programs with ease.




Foundational Knowledge And Experience To Grow From



Some post-secondary classes and ideally 1 year of customer service experience coupled with a strong desire and commitment to learn and grow a career in the financial sector!


Why work with us?




Accolades &amp; Benefits





Winners of Canada’s Most Admired Corporate Culture 2020 





&amp; recognized as one of 50 Best Workplaces in Canada by Great Places to Work




Your voice matters.
 Help us shape our voice around important social &amp; cultural matters.


Physical health and mental fitness 
are 
priorities
. Generous time away to practice self-care and family-care with 100% company paid benefit &amp; support programs.


Community giving. 
Drive economic prosperity in your community. Get involved. Volunteer. Fundraise. All with CWB support.


Bring your whole self to work. 
Inclusion is a journey requiring practice &amp; experience that results in a powerful outcome.


Innovation. 
Learn. Grow. Enhance. We play to win. When we fail, we fail forward.


Connection. 
Join, participate, lead an employee represented group (ERG). Find a community within the CWB family.


Organization wide coaching services
. Strategic career design is something we work hard to deliver for all employees.


Recognition. 
Peer to peer recognition program. Both “in the moment” and monumental!


Financial rewards
. Yup! We pay you too. Base 

plus 

performance incentives.


Retirement investment strategy. 
You can’t work forever, so created an RRSP contribution &amp; matching program with financial advisors at the ready to help you make the most of your wealth.


Company ownership.
 The knowledge and opportunity to impact the bottom line and be rewarded for it - every day, with our employee share purchase plan.


 Take your career further with CWB. Apply today. 


As an equitable employer, CWB Financial Group is committed to providing a safe and inclusive environment where a diverse workforce thrives. You are welcomed and encouraged to bring your whole self to work. Dignity, respect and equality are non-negotiables. If you require accommodation during any part of the recruitment or selection process, please reach out.



Closing Date




 P osition closes at 12:01am on the close date identified below.


03/15/2022
      
",Linkedin,Sales Representative,,2022-03-09 02:14:54,Other,
8,2955842182,"Sales Development Representative, IgniteTech (Remote) - $60,000/year USD",,,Crossover for Work,,"Québec, QC",,Linkedin,Sales Representative,,2022-03-09 01:42:30,,remote
9,2960368040,Représentant (e) des ventes – transporteurs / Carrier Sales Representative,Full-time,Entry level,C.H. Robinson,"Transportation, Logistics and Storage and Truck Transportation","Montreal, QC","


Additional Job Description


En tant que 
représentant des ventes – transporteurs
, votre travail consistera principalement à trouver le bon transporteur au bon tarif et au bon moment pour que les marchandises du client soient livrées dans les délais prévus. Pour réussir, vous devrez établir et entretenir de solides relations avec les compagnies de transport et les aider à optimiser leur flotte. Votre paie augmentera au fur et à mesure que vos relations évolueront. Ce poste comprend notamment les ventes internes, la gestion de comptes et les activités opérationnelles afin de répondre aux besoins de nos clients en matière d’expédition.

Nous vous engagerons dans votre carrière dès le premier jour en vous offrant notre programme ACCELERATOR. Dynamique et complète, cette formation interactive destinée aux nouveaux employés vous permettra d’en savoir davantage sur notre entreprise et notre industrie, d’exceller avec nous et de mieux connaître nos systèmes et nos processus. La formation comprend diverses activités, de l’apprentissage autodirigé ainsi que de l’encadrement et du mentorat en milieu de travail. Cette expérience vous donnera tous les outils dont vous avez besoin pour contribuer à notre succès et afficher un excellent rendement au sein de notre équipe.


Responsabilités



Établir de nouvelles relations avec les transporteurs et renforcer les relations existantes (création d’occasions d’affaires, prospection téléphonique et recommandations de transporteurs).

Entretenir de solides relations avec les principales personnes-ressources des entreprises de camionnage (p. ex. propriétaires-exploitants, répartiteurs et chauffeurs).

Utiliser notre plateforme technologique mondiale Navisphere, ainsi que des données et d’autres ressources pour prendre des décisions éclairées, négocier les prix, encourager l’automatisation et améliorer l’efficacité.

Cerner les problèmes et travailler de façon interfonctionnelle pour déterminer et mettre en œuvre la meilleure solution.

Maintenir un contact constant avec les transporteurs (moyenne de 75 à 100 points de contact par jour) pour assurer une capacité supplémentaire de camions et gérer les ententes commerciales existantes.

Offrir un service exceptionnel à nos transporteurs et à nos clients.

Veiller à ce que les renseignements d’expédition soient communiqués avec exactitude et qu’ils fassent l’objet d’un suivi dans le système.




Qualifications Requises



Diplôme d’études secondaires ou formation générale

Bilingue (français et anglais)




Qualifications Privilégiées



Valorise un milieu de travail diversifié et inclusif

Capacité de persuader, de motiver et d’influencer les autres et bonnes aptitudes en négociation

Capacité de travailler efficacement en respectant des délais serrés, de produire des résultats, de mener plusieurs tâches de front et de composer avec un sentiment d’urgence

Capacité de travailler de façon autonome et en collaboration avec tous les services de l’entreprise

Excellentes aptitudes en communication orale et écrite en français et en anglais

Attitude positive et capacité de s’adapter dans un environnement en constante évolution où les priorités sont portées à changer

Souci du détail, solides compétences en établissement des priorités et capacité d’effectuer plusieurs tâches en même temps



Do you enjoy creating new relationships? Are you a self-starter who likes solving problems? Do you thrive in a fast-paced, entrepreneurial environment?

As a 
Carrier Sales Representative 
you will connect the world through technology and innovation. You will work with trucking company owners, dispatchers and drivers (known as carriers) to coordinate customer shipments: it’s all about finding the right truck for the right shipment at the right time for the right price.

This role combines inside sales, account management, supply chain planning and operational activities to meet the shipping needs of our customers. Relationships with your carriers will help grow their business and your career.

We create an engaging environment where you are supported to achieve your goals. Jumpstart your knowledge of our company and industry and ensure your proficiency with our systems and processes with ACCELERATOR, our comprehensive, interactive onboarding program. Then, continue to learn from your mentor who is there to offer guidance every step of the way. Your managers believe that when you achieve, we all succeed. With hard work and results, the sky’s the limit.


On Your Next Adventure, You’ll:



Develop new and grow existing carrier relationships (lead generation, calling prospective trucking companies and referrals)

Build strong relationships with trucking company key contacts (i.e., owner operators, dispatchers and drivers)

Leverage our global technology platform, Navisphere, along with data and other resources to make informed decisions, negotiate price, drive automation and improve efficiency

Identify issues and work cross-functionally to determine and implement the best solution

Maintain constant contact with carriers (average 75-100 touch points/day) to secure additional truck capacity and manage existing business agreements

Provide exceptional service to our carriers and customers

Ensure shipment details are accurately communicated and tracked in the system




You’re a Great Fit if You Have:



High school diploma or GED




Even Better if You:



Value a diverse and inclusive work environment

Can persuade, motivate, influence and negotiate with others

Thrive under deadlines, drive results, multi-task and work with a sense of urgency

Are capable of working independently as well as collaboratively as a team

Have excellent verbal and written communication skills

Remain positive and flexible in an ever-changing environment with shifting priorities

Enjoy running your own slice of business knowing you control how fast you can achieve your goals

Are detail oriented with strong prioritization and multi-tasking skills




Let’s Talk Money


…And how you can earn more of it. We provide our Carrier Representatives with a competitive base salary (adjusted based on experience). Over time, you will also have opportunities to achieve a monthly bonus and reach unlimited commission based on your stellar performance. We value an environment where you can grow by challenging yourself, and are supported with the potential for internal promotion – both horizontally and vertically – so you can discover new interests, develop your strengths, and meet your life goals. So what are you waiting for? 
Click that apply button. 



We Care About You


We recognize life’s not all about work. That’s why our hybrid work model gives you the flexibility to create a career that works with your personal and professional goals.

The ever-changing nature of this global pandemic means our work model is constantly evolving. No surprise, right? The one certainty here at C.H. Robinson is that your health and safety are our top priority. With offices around the globe, we continuously monitor guidelines and protocols to protect your wellbeing, and the wellbeing of your family and community.

Long-term, this position offers you the flexibility to work remotely 1-2 days per week, and your recruiting team will fill you in on details for your exact position and location in the meantime, depending on the current situation.


Benefits



Your Health, Wealth and Self


Your total wellbeing is the foundation of our business, and our benefits support your financial, family and personal goals. We provide the top-tier benefits that matter to you most, including:


Medical

Dental

Basic and Supplemental Life Insurance

Vacation and PTO time

Paid holidays

Short-Term and Long-Term Disability

Retirement Plan with 4% company matching

Employee Stock Purchase Plan

Charitable Giving Match Program

Plus a broad range of career development, networking, and team-building opportunities



Dig in to our full list of benefits on OUR CULTURE page.


Why Do You Belong at C.H. Robinson?


Standing out among the world’s largest logistics platforms, C.H. Robinson solves logistics problems for companies across the globe and across industries, from the simple to the most complex. For 100+ years, our global suite of services has innovated trade to seamlessly deliver the products and goods that drive the world’s economy. With 19 million shipments annually for 105,000 customers, our people and technology literally move the world.

As a FORTUNE 200 company, FORTUNE has also named C.H. Robinson one of the World’s Most Admired Companies 2022. Headquartered in Eden Prairie, Minnesota, we are proud to be recognized as one of LinkedIn’s Top Companies in Minneapolis-St. Paul 2021. And we’re not stopping there… Join us as we collaborate, innovate, and work as one global team to make life better and more sustainable for our customers, communities, and world.
      
",Linkedin,Sales Representative,,2022-03-09 05:17:08,Sales and Business Development,
