,id,job_title,job_type,job_exp,company,industries,location,description,source,search_kw,expected_salary,post_date,job_function,remote
0,2956620647,Human Resources Manager,Full-time,,Adamson Systems Engineering,,Greater Oshawa Metropolitan Area,"



Recruitment – 
Plan and manage our recruitment initiatives to grow our workforce





Strategic Planning – 
Integrate our employment culture and workforce operations to achieve our business goals





Communication – 
Ensure all team members are aware of current policy, build workforce morale through proper messaging




Adamson Systems Engineering is a technology manufacturer with a strong focus on integration of product technologies, located in beautiful Port Perry, Ontario. Our workforce comprises a diverse engineering group, a global sales network and a skilled manufacturing team. Our high-tech manufacturing facility is designed with lean assembly principals throughout, and our working environment reflects a culture of teamwork and positive ideals.





Day-to-Day Activity
:


Recruitment – Identify existing and upcoming employment needs and execute on filling those roles

Onboarding – Provide a welcoming and safe environment for new employees

Company policy – Lead the modification / creation of company policy with collaboration from senior management to ensure compliance with current regulations and workforce needs

Communication – Spearhead company-wide communication initiatives to ensure our employees are aware of all policy changes, company events and other essential messaging

Timely execution – provide feedback on employees and company policy to senior management

Be aware – latest strategies and tools that are used in Human Resources to improve the efficiency and dedication of our workforce





If this sounds like the fast paced, dynamic work environment you’ve been searching for, let’s get together and talk about you becoming a key member of our innovative team.





Qualifications
:


Minimum 5 years of experience in human resources

3+ years of relevant experience in a leadership role

Successful completion of a post-secondary diploma/degree in a relevant field

Strong written and verbal communication skills

Strong interpersonal skills, experience working effectively in a team environment






Preferred
:


Certified HR Professional (HRPA or equivalent)

Experience with Synerion or equivalent time management software

Experience with conflict resolution and disciplinary processes






Benefits:



Company events

Dental care

Extended health care

On-site parking

Vision care





Our facilities are retrofitted for health and safety, making our campus a comfortable environment to work in. Adamson Systems Engineering is also taking all precautions to mitigate risk against the COVID-19 virus. This includes a thorough COVID-19 daily screening questionnaire as well as disposable masks and hand sanitizer available at every entrance. *As of November 12, all persons seeking to enter Adamson Systems Engineering property must provide proof of double vaccination.




As an equal opportunity employer, we are dedicated to creating a workplace culture of inclusiveness that reflects the diverse country in which we live. Adamson Systems Engineering is committed to creating an accessible organization, providing barrier-free and accessible employment practices in compliance with the Accessibility for Ontarians with Disabilities Act (AODA). Should you require accommodation through any stage of the recruitment process, please let us know when you are contacted, and we will do our best to accommodate your needs. Disability-related accommodation during the application process is available upon request.




We thank all applicants in advance for their interest in this position, however, only those selected will be contacted. Samples of work will be required as part of the hiring process.


",Linkedin,Human Resources Manager,,2022-03-09 15:52:58,,
1,2962337318,Human Resources Manager,Full-time,Associate,Linamar Corporation,"Appliances, Electrical, and Electronics Manufacturing, Motor Vehicle Manufacturing, and Machinery Manufacturing","Guelph, ON","



Job Description



Human Resources Manager

The Human Resources Manager works as part of the facility management team and directly oversees all areas of Human resources for the facility and manages the HR team.We are looking for a high-energy HR professional who is looking to be a business partner and grow with the organization.



 Performance Expectations 




 Manage and direct the activities of the HR department for the facility.

 Represent management and participate actively on various joint committees to maintain positive ongoing relations between management and employees.

 Develops and implements measures to increase employee morale, motivation and satisfaction, while reducing turnover.

 Coaches and consults managers and employees through the performance management process.

 Develop and implement policies, programs and procedures in all areas of HR for the facility.

 Establish and maintain department records, policies, procedures and reports.

 Employee relations including coaching, mentoring, corrective counseling and investigations.

 Annually review compensation plan to ensure internal and external equity.

 Administer all benefit plans for all employees.

 Review and monitor performance evaluation.

 Recruit for all open positions both internally and externally to fill vacant positions to meet customer requirements.

 Conduct exit interviews.

 Coordinate apprenticeship and training programs.

 Champion Health and Safety program

 Plan and organize employee functions as required.




 Credentials 




 Bachelor’s degree required in Human Resources or related area.

 Five (5) to Seven (7) years of progressive Human Resource experience.

 Must have proven leadership skills.

 Knowledge of all applicable legislation.

 Excellent Employee Relations skills.

 Human Resources certification preferred.

 Previous experience in a high volume manufacturing environment is preferred.

 Experience with production launches is a definite asset.




 Desired Characteristics 




 Able to work in a fast paced environment

 Flexible and adaptable

 Strong oral and written communication skills

 Excellent problem solving and conflict resolution skills




What Linamar Has To Offer




 Opportunities for career advancement.

 Assistance with approved professional designations and fees

 Community based outreach supporting both local and global initiatives and charities.

 Social committees and sports teams.

 Discounts for local vendors and events, including auto supplier discounts.




About Us



Linamar Corporation is a Canadian diversified global manufacturing company of highly engineered products across global industries &amp; markets. From the entrepreneurial seeds planted by our dynamic founder, to the support provided along the way, all Linamar employees are poised for success in this fast-paced and rapidly growing environment. With access to the tools you need to succeed, you will make an impact along with other motivated and engaged people.

Linamar is committed to promoting accessible recruitment as outlined in the Accessibility for Ontarians with Disabilities Act. Linamar will attempt to accommodate persons with a disability in an appropriate and effective manner throughout all stages of the recruitment process. Accommodations will be provided upon request.
      
",Linkedin,Human Resources Manager,,2022-03-09 19:56:27,Human Resources,
2,2960818049,Human Resources Manager,Full-time,,The Staffing Exchange,,"Surrey, BC","



Human Resources Manager
 - Food Industry




Requirements: 





Diploma or Degree in Human Resources / Business Administration

5+ years experience, ideally within food manufacturing environment

Strong working knowledge of applicable legislation and labour law requirements

Generalist experience including administration and management of benefits programs, time, attendance and payroll programs, full-cycle recruitment and retention activities, reporting, developing and implementing HR initiatives and programs etc. 

Excellent interpersonal skills, able to handle work collaboratively and effectively with all employee groups throughout an organization. 

Proficient computer skills including use of Microsoft Office Programs, HRIS etc

Experienced with USA based plant operations considered an asset

Strong English language skills required. Punjabi / Hindi language skills considered an asset

CPHR designation is considered an asset



",Linkedin,Human Resources Manager,,2022-03-09 07:32:44,,
3,2961944331,Human Resources Manager,Full-time,,The Staffing Exchange Inc.,,"Surrey, BC","


HR Manager




Responsibilities:





Administer and manage the time and attendance and payroll systems, and ensuring payroll is compliant with all company policies and provincial legislations for bi-weekly payroll. 

Act as a liaison between Senior Management and the employees and provide support to department managers for personnel management. 

Apply HR management skills to attract and retain quality employees while managing full-cycle recruitment, onboarding, off-boarding activities. 

Manage the HRIS platform and ensuring its full functionality 

Manage and administer the employee benefits program

Conducting research, analysis, interpretation, and making recommendations/ presentations to management

Develop, design, and implement HR initiatives and programs, engagement and retention activities and participate in the planning of company events.

Ensure compliance with appropriate legislations and provincial employment requirements.





Education and Experience: 





Post-secondary education in the form of a degree or diploma in Human Resources.

A minimum 8 years of working experience in Human Resources

CPHR designation is preferred.

Food manufacturing industry experience is preferred but not mandatory.

Ability to positively influence, negotiate, partner and coach managers and employees

Excellent organizational skills, detail oriented, efficient and able to multi-task and prioritize effectible. 

Proficient in HRIS and Microsoft Office Suite (Word, Excel, Outlook)

Excellent written and verbal communication and problem-solving skills. 





Hours: 





Monday to Friday, 8:30 am to 5:00 pm with occasional evenings.





",Linkedin,Human Resources Manager,,2022-03-09 15:54:46,,
4,2957602448,Human Resources Manager,Full-time,,Hughes Recruitment Inc.,,"Saskatoon, SK","


Hughes Recruitment is pleased to present an exciting opportunity on behalf of our client Prairie Machine




 

Role: Human Resources Manager 

Location: Saskatoon, SK (Onsite)

 

 




 


OUR CLIENT


 

Our client is a global leader in the manufacture and supply of equipment, battery-operated electric vehicles, and technical solutions for heavy industrial and mining industries. Internationally recognized, Prairie Machine is a leading manufacturer of heavy industrial machinery and machine components. They have a full-service machine, welding, fabrication, and heavy industrial assembly shop located in Saskatoon, Saskatchewan.

 




Prairie Machine prides itself on being an innovative company focused on safety with great employees producing high-quality products.

 

 




 


THE OPPORTUNITY


 

Prairie Machine is looking for people who are as passionate as they are. People with a desire to succeed, aspire to be great and want to be recognized and appreciated for their contributions. 

 




The Human Resources Manager (HRM) plays a critical role in maintaining a positive corporate culture that supports the personal growth and development of employees. 




 

 We would love to hear from you if you are: 

&gt; Proactive and adaptable in your approach

&gt; A proven relationship builder and trusted advisor

&gt; A true generalist; experienced in all facets of human resources management


 



 





 

 
KEY RESPONSIBILITIES


 

The Human Resources Manager, under the direction of the CEO, is primarily responsible for planning, organizing, directing, controlling, and evaluating all Human Resources programs including:


recruitment, selection, and onboarding

employee relations

performance management

learning and organizational development

career development, retention, and succession planning

total compensation and benefits administration

terminations and offboarding


 




Working collaboratively across the organization the HRM is responsible to:


­Act as a resource for employee inquiries and concerns

Advise and coach managers on key workplace matters such as performance management, difficult conversations, employee relations, and employee development

Manage all HR related communications including policies, procedures, conduct, and benefits administration

Conduct workplace investigations and lead conflict management

Oversee and maintain accurate employee records and HRIS data

Lead the development and maintenance of HR policies, programs, and practices

Develop training programs that are based on regulatory requirements and best practices

Conduct market evaluations to maintain internal wage bands in alignment with strategic direction

Perform other duties as assigned


 

 




 

 
QUALIFICATIONS


 
 



Degree in Human Resources, Business Administration, Commerce or equivalent combination of experience and education, required

5+ years of generalist experience

Solid understanding of employment standards and legislation

Strong communication and organizational skills

Proven ability to act with diplomacy and manage confidential information

Demonstrated ability to lead and manage HR core processes

Industry related experience preferred

Strong interpersonal skills and ability to work effectively with all levels of the organization

Competent in MS Office and managing an HRIS

CPHR designation considered an asset

Experience in Epicor HRIS system, considered an asset


 


 





 

 
WHAT OUR CLIENT OFFERS


 
 


Prairie Machine is committed to providing a positive corporate culture that supports the personal growth and development of its employees. We offer a competitive remuneration package including a robust benefits plan, matching pension plan after one year of service, and competitive wages

 




 

 
CONNECT WITH US


 
 


We welcome you to apply or begin a confidential conversation by contacting: 




 

Rosalie Hughes, B.Comm., RPR, CPHR

Founder &amp; Recruitment Consultant

rosalie@hughesrecruitment.ca

306.370.4473




Jaime Perreault, B.Arts, RPR

Senior Recruitment Consultant

jaime@hughesrecruitment.ca

306.381.9503




 


 
 

 

 
ABOUT HUGHES RECRUITMENT


 
 


At Hughes, we have REDEFINED RECRUITMENT! We don’t just place our candidates into a job, we take time to understand you, your passions, your strengths, and your potential. This approach allows us to connect you with a meaningful, rewarding, and lasting career opportunity. 




 

We pride ourselves on our professional and friendly approach. Hughes supports our clients by understanding their unique business goals and hiring needs in-depth, and then sourcing and placing exceptional candidates with them. We believe in success beyond the placement.




 

Your next career move could be the catalyst for something exceptional! Let us help you make that connection. Contact Rosalie or Jaime today to learn more.




",Linkedin,Human Resources Manager,,2022-03-09 20:13:40,,
5,2948635453,Human Resources Manager,Full-time,Mid-Senior level,Robert Half,"Wholesale Building Materials, Architecture and Planning, and Beverage Manufacturing","Waterloo, ON","


Robert Half has partnered with one of Waterloo's most innovative, progressive and growing organizations in their search for a new HR Manager. Reporting into the Vice President of Operations you will be a part of a forward thinking team in Waterloo, helping to maintain a high level of employee satisfaction and helping to mentor and lead others to achieve their full potential.

 


Your responsibilities as HR Manager will include:


 

· oversee, refine and execute employee standards and procedures

· improve existing policies and procedures

· maintain and enhance employee benefits programs,

· assist with recruitment efforts

· ensure legal compliance

· lead the HR department and manage the team

· delivery of strategic HR plans to fit overall business plans

· champion the onboarding process

· Implement and maintain health and safety programs

· maintain training matrix and plan training accordingly

· manage the Return to Work program


 



Requirements


· 5 or more years experience in Human Resources

· experience with HR Policy, Benefits Administration, Compensation &amp; Benefits, Pension Administration, Recruitment, Succession Planning, Terminations, Training &amp; Development, Workers Compensation,

· Post secondary education in Human Resources an asset

· CHRL or CHRP designation an asset

 


What we offer an HR Manager:


· performance based bonus

· $100,000 to $120,000 annual salary

· excellent health and dental benefits plan

· RSP matching plan

· vacation plus annual shut down and personal days

· this is an in office position

Apply today for immediate consideration or to learn more about this and other HR related job opportunities in the Waterloo area.




",Linkedin,Human Resources Manager,,2022-03-09 16:41:42,Human Resources,
6,2948681309,HR GENERALIST / ADVISOR,Full-time,,Pharmasave Drugs (West) Ltd,,"Surrey, BC","



HR GENERALIST / ADVISOR






Pharmasave West 
(BC/YT, AB, SK, MB)




Permanent Full-Time, based in Surrey BC 
(flexible/remote work arrangements possible)







As a member of Pharmasave West’s growing region office team based in Surrey BC, and reporting to the Region Director, Finance &amp; Administration, this new HR role provides guidance and support on a range of organizational, cultural, and strategic functional areas related to the employee experience. Areas of focus include employee-employer relations, employee engagement, performance management, recruitment and employee orientation, succession planning, training and development, and employment standards and regulatory requirements.







You will:




Champion a positive and rewarding culture throughout the organization

Monitor industry trends and provide guidance and expertise in support of Pharmasave’s aspiration of being recognized as an employer of choice

Work with management and lead activities that support employee engagement and overall experience

Support healthy conflict resolution methods, policies and procedures

Contribute to the development of the annual goal setting process

Advocate for maintaining a safe, inclusive space for employees to seek guidance and support on any workplace issue

Ensure compliance with federal and provincial employment standards and regulations

Communicate HR polices to staff and Pharmasave stores, including health &amp; safety protocols

Develop, update and maintain the employee policy handbook, and related procedures

Lead the development of training program options for region office employees and member stores







You are:




Up-to-date on employment / labour laws and regulations and their application

Aware of evolving expectations, trends, and technologies in HR

Able to uphold confidentiality and manage sensitive situations with tact and professionalism

Accurate, efficient, have a keen attention to detail

A strong presenter, with excellent communication and interpersonal skills

Skilled in project management can successfully oversee moderately complex company-wide projects

An accountable, self-manager, with a track record of making sound, well thought out decisions

Proficient using the Microsoft Office / Microsoft 365 suite of apps and programs

Comfortable with change

Someone who likes to have fun at work

A trusted, team player with a strong sense of community







You have:




A designation as a Chartered Professional in Human Resources (CPHR) (or are a candidate working towards this designation)

5 or more years of progressive HR experience, including at least 2 years as a generalist/advisor

A post-secondary education in Business, HR, Organizational Development, or a related field

General business experience monitoring and being accountable for budget management






In accordance with our policies on COVID-19 and Mandatory Vaccination, proof of full vaccination (or recognized exemption under the Human Rights Code) is required. Successful candidates may be required to submit to reference checks, criminal background check, vaccination status verification, education/certification verification, and/or driver’s abstract.



 



If you think we’re a match, send your resume &amp; cover letter in confidence to: 
HumanResources@pharmasavewest.ca
 
 


(include “


HR job posting


” in email subject line) 


by Mar 25, 2022
.






Pharmasave West embraces diversity and is committed to creating an inclusive environment for all employees. We welcome applications from all qualified individuals eligible to work in Canada. Only short-listed applicants will be contacted by email. 



A trusted household name in Canada since 1981, Pharmasave is a leading independent community pharmacy brand with over 800 member-owned and operated locations coast to coast. Pharmasave is proud to offer Region employees a rewarding career in a dynamic and everchanging industry, with growth and development opportunities, along with a competitive total compensation package.






",Linkedin,Human Resources Manager,,2022-03-09 20:06:47,,
7,2948634221,People & Culture Manager,Full-time,,Children Believe,,"Markham, ON","



Careers that empower young dreamers


When you make a decision to work with Children Believe you’re not just doing something great for your career, you’re helping empower children around the world to access education, pursue their dreams and be a voice for change. We know there are lots of career options for talented, top performers like you, but not many offer the opportunity to help children live and dream fearlessly. Children Believe is currently recruiting for the following position: 
People &amp; Culture Manager






﻿
Reporting to the Chief People &amp; Culture Officer (CPCO), the People &amp; Culture Manager will be responsible for providing a full range of value-added people and culture initiatives and services to the organization. Key areas of responsibility highlighted cover all aspects of a “true” HR business partner. This role requires an individual who is a strong team player with a creative and client-focused approach who can enable a diverse and inclusive environment to meet organizational goals.





This role includes, but not limited to:


·       Managing all aspects of the recruitment process for the Canadian operation.

·       Managing/Coordinating the orientation/onboarding process to ensure an engaging experience for all new employees joining Children Believe.

·       Advising/Coaching/Assisting departmental managers and directors understand and interpret human resource policies, programs, and best practices to ensure processes continue to create a fair and equitable work environment.

·       Managing Job Descriptions and Job Evaluation process to assess the relative internal value of positions while ensuring they meet requirements under Pay Equity legislation.

·       Participating in Compensation and Benefits programs to create transparent and clear programs that will motivate and reward your employees.

·       Managing the Employee Relations and investigation processes to maintain a positive and respectful work environment to ensure consistency and fairness, as well as corrective actions when necessary.

·       Modelling Children Believe values and related behaviours through positive and constructive communications practices.

·       Conducting training needs analysis and evaluation of all relevant training and development programs.

·       Compiling statistical reports and metrics towards better understanding organizational behaviours and making positive changes in the organization.

·       Facilitating Performance Management and Evaluation annually, including training and coaching managers to apply fair and efficient processes, ensuring corrective actions are taken and ensuring a successful evaluation process where employees participate in the process.

·       Accountable for end-to-end HRIS system management maintaining data integrity whilst protecting privacy of your employees.

·       Remaining current with best practices, legislative changes, and industry standards, including research and review of policies and procedures, employment legislation topics, compensation, and benefits surveys to present findings and making recommendations towards positive changes in the organization.

·       Maintaining superior communications to manage and deal with complex and sensitive issues where independent decision making may occur.





The ideal candidate possesses: 


·       University degree or college diploma in a related field, Certified Human Resources Leader (CHRL) designation is preferred;

·       Six (6+) years of HR generalist/business partner experience related to the entire HR employee life cycle;

·       Experience working with ADP’s Workforce Now;

·       Knowledge of applicable employment legislation;

·       Proven skills in project coordination and implementation with a collaborative approach;

·       Superior interpersonal skills/communication, conflict resolution and negotiation skills;

·       Excellent problem solving and analytical skills;

·       Quality-oriented; high attention to detail;

·       Adaptable to changing priorities and demands of the job;

·       Strong proficiency with Microsoft skills (Word, Excel, PowerPoint, Outlook);

·       A demonstrated commitment to Children Believe’s Vision, Mission and Values;

·       Cross cultural sensitivity and ability to work in a multi-faith, diverse environment;

·       Satisfactory current Canadian criminal record check required for successful candidates.

·       Experience in non-profit sector and the international development sector and ability to speak and/or write in either French or Spanish will be considered an asset.





Attributes, Traits, and Behaviours:


·       Accountability for results

·       Team player – business partner

·       Strong customer service orientation

·       Confidentiality, sensitivity, diplomacy, and tact

·       Ability to build positive working relationships; ability to collaborate, influence and persuade

·       Commitment to ongoing professional development





Children Believe offers competitive paid time-off benefits and a comprehensive group benefits plan, including health/dental, life insurance, disability, EAP and company-match RRSP.






Location: 
The office is located at 1200 Denison Street, Markham, ON. Staff are currently working from home with some flexibility on in-office activity until further notice (due to Covid-19 related health precautions).





Application Process:



Candidates must apply via Indeed. Attach your cover letter, resume and you will be prompted to complete a pre-screening questionnaire to be considered for the position. 







Children Believe is not accepting recruitment agency/firm referrals.







Applicants must be legally eligible (at this time) to work in Canada.






Consistent with our Child Safeguarding Policy, the successful candidate must receive clearance by a Canadian criminal record check.






Children Believe is committed to diversity in the workplace and is an equal opportunity employer. 






Children Believe is committed to providing workplace accommodations. If you require an accommodation, inform us and we will work with you to meet your needs.







﻿
We thank all applicants for applying, however, only candidates selected for an interview will be contacted.



",Linkedin,Human Resources Manager,,2022-03-09 15:56:47,,
8,2947099789,Senior HR Manager,Full-time,Mid-Senior level,Amazon,"IT Services and IT Consulting, Software Development, and Internet Publishing","Acheson, AB","



Job Summary




DESCRIPTION


Amazon’s fulfillment centers (FCs) within North American Customer Fulfillment (NACF) utilize robotics, scanning machines, and computer systems that track and allow delivery of millions of items (and smiles) to households daily. Our HR Leaders provide strategic and tactical leadership direction, executing our people initiatives, providing internal customer support, and driving HR functional excellence and process improvement in locations with up to 6,000 associates.

Amazon’s NACF People eXperience and Technology (PXT) team is looking for a Sr HR Leader with demonstrated ability to think big, deliver on large-scale initiatives, and lead teams through complex challenges.

You will influence across a variety of leaders, while looking around corners to plan for the future of your FC, region, and beyond. Additionally, this leadership role will leverage all facets of data, policy, process, and communication to drive excellence in the employee lifecycle.

The Senior HR Manager is part of a fulfillment center’s on-site senior leadership team, collaborating with leaders in finance and operations to drive strategy and engagement. For us, leaders are recognized as – flexible, thoughtful, socially responsible, and are always planning for the future

In this role, you will bring leadership skills and gain a deep knowledge of the business across Amazon’s growing supply chain network. Expectations are to scale with the growth of the business, lead and develop diverse teams, solve problems with creative solutions, and deliver results on behalf of our customers. This role is key in developing a team of HR professionals as well as personally progressing to scale into a future, multi-unit leadership role as the company grows.

Successful candidates will demonstrate and have responsibility for the following in a fast-paced operations environment:


 Set the vision, direction, and culture of their HR team ( up to 10-20 professionals in various stages of careers) by managing individual and team performance expectations and goals, monitoring real-time service levels and schedule adherence, and holding their teams accountable to meet and exceed performance targets.

 Collaborate with colleagues in operations and finance to work together with the centralized staffing team for non-exempt hiring strategies, and play a key role in hiring exempt professionals and managers within their fulfillment center.

 Thoughtful ability to develop strategic relationships with your business partners – you influence the decisions. You can root cause issues quickly and uncover core issues using data, then lean in, consult with, and teach the business how decisions affect their sites and create new mechanisms as they are needed

 A true hands-on approach as well as the ability to successfully monitor the ""pulse"" of the employees to ensure a high level of employee engagement

 Understand business goals and recommend thoughtful new approaches, policies, and procedures to affect continual improvements in business objectives, productivity, and development of HR within the company.

 Collaborate with site and regional leadership teams to harmonize site-specific priorities in alignment with overarching Amazon goals (e.g., diversity &amp; inclusion, engagement, and talent management initiatives).

 Deliver results in a fast-paced environment with a high volume workload supporting HR functions and operations leadership.

 Drive and direct all employee engagement efforts for senior leaders, front line managers, and associates.

 Continuously innovate HR solutions and process improvement; specific skills in Kaizen methodologies preferred.

 Lead projects at a site and network level, influence and obtain buy-in from stakeholders, and then drive execution and achievement of the right results using effective project management skills.





Basic Qualifications




 BA/BS degree from a four-year accredited university.

 7+ years’ human resources management experience.

 Experience supporting hourly, front-line employee populations of 2,000+.

 7+ years’ experience in one or more of the following industries: shipping/logistics distribution centers, manufacturing environments, hospitality, healthcare, retail, and customer-facing / customer-service environments.




Preferred Qualifications




 Advanced degree: MBA or Masters

 5-10+ years of experience in Fortune 500 companies.

 Demonstrated success proven through steady career progression within varied HR roles for the last 7 – 10+ years.

 Demonstrated success with stretch assignments that are evidence of superior performance in previous roles (e.g., varied experiences to include but not limited to start-ups, turn-arounds, international assignments, and rapid growth business environments).

 Experience in workforce planning/flex staffing

 Demonstrated success managing multiple priorities simultaneously - orientated on driving results.


Amazon Operations is a 24/7 business and requires flexibility.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status. If you would like to request an accommodation, please notify your Recruiter.



Company
 - AMZN CAN Fulfillment Svcs, ULC

Job ID: A1973416
      
",Linkedin,Human Resources Manager,,2022-03-09 10:48:30,Human Resources and Information Technology,
9,2962479629,Human Resources Manager,Full-time,,Nanak Foods,,"Surrey, BC","




Job Description




Job Title:
 HR Manager



Punjab Milk Foods Inc is looking for a 
Human Resources Manager 
to join our corporate office.  The individual will be responsible for all the functions of HR at PMF’s Surrey and Bellingham locations and will report directly to the CEO. 

 


Essential Functions and Responsibilities:



Administer and manage the time and attendance and payroll systems, and ensure payroll is compliant with all company policies and provincial legislation for bi-weekly payroll.

Provide frontline support to employees on a daily basis at the Surrey and the Bellingham locations. Resolve employee inquiries and grievances

Act as a liaison between Senior Management and the employees, and provide support to department managers for personnel management.

Act as a liaison between the U.S.A Manufacturing Plant and the Surrey Corporate Office

Apply HR management skills to attract and retain quality employees while managing full-cycle recruitment, onboarding, off-boarding activities.

Manage the HRIS platform and ensure its full functionality

Manage and administer the employee benefits program

Manage and administer the employee uniforms program.

Conducting research, analysis, interpretation, and making recommendations/ presentations to management

Develop, design, and implement HR initiatives and programs, engagement and retention activities and participate in the planning of company events.

Work closely with the Health and Safety Manager in coordinating and resolving WorkSafeBC inquiries, and ensuring the Health and Safety of all employees

Ensure compliance with appropriate legislation and provincial employment requirements.

Facilities the culture of the organization by supporting its mission, vision, and values


 


Knowledge and Skills:



Ø Post-secondary education in the form of a degree or diploma in Human Resources.

Ø A minimum of 8 years of working experience in Human Resources, with at least 5 years of HR managerial experience. 

Ø CPHR designation is preferred.

Ø Food manufacturing industry experience is preferred but not mandatory.

Ø Sound technical knowledge and experience as an HR Business Partner/Generalist with a proven track record of developing and delivering value-added HR solutions.

Ø Ability to work independently where appropriate and understand when to escalate issues. 

Ø Ability to deal with confidential and sensitive information with absolute discretion and tact and maintain high trust levels. 

Ø Ability to positively influence, negotiate, partner and coach managers and employees

Ø Excellent organizational skills, detail oriented, efficient and able to multi-task and prioritize effectible. High degree of resourcefulness, flexibility and adaptability.  

Ø Proficient in HRIS and Microsoft Office Suite (Word, Excel, Outlook)

Ø Excellent written and verbal communication and problem-solving skills. 

Ø Multilingual (English and Punjabi/Hindi) an asset.


 


Hours:
 

Monday to Friday, 8:30 am to 5:00 pm with occasional evenings.




At this time, we are not able to accommodate international candidates. Please apply only if you are legally authorized to work in Canada. 


",Linkedin,Human Resources Manager,,2022-03-10 00:02:06,,
