,id,job_title,job_type,job_exp,company,industries,location,source,search_kw,expected_salary,post_date,job_function,remote,job_summary,description
0,,Community & Support Representative,,,Archon Systems Inc,Computer Hardware Development,Toronto,Glassdoor,Healthcare Representative,,2022-03-05,,,,"Community & Support Representative
Enjoy making people’s lives easier by teaching them how to use software?
Want to lead a multi-country team at a growing tech company?
Yes and yes? Read on!
What’s most important to you? A great place to work? A stable, successful tech company? Or making a meaningful impact?
How about all of the above?
We are a rapidly growing tech company helping small businesses outcompete the giants; we improve their inventory management (an underappreciated problem!) with our powerful yet easy-to-use software and hardware."
1,,Client Services Representative,,,ClearPoint Medical,,Lachine,Glassdoor,Healthcare Representative,"$42,000 /yr (est.)",2022-03-05,,,,"The Client Services Representative provides a supporting role to the sales team and managers. This position will appeal to an individual who is comfortable in a team environment and also working autonomously without direct supervision.
The Client Services Representative interacts with healthcare professionals, patients and product distributors across North America to process orders, payments, product returns and exchanges.
Additional responsibilities include trade show planning (travel arrangements, exhibit and material logistics), overall trouble shooting and problem solving.
This position requires excellent communication, interpersonal and organizational skills; the ability to work fluently in English and French and work collaboratively in a team environment."
2,,Customer Service Representative,,,Freudenberg Medical,Machinery Manufacturing,Quebec,Glassdoor,Healthcare Representative,"$50,000 /yr (est.)",2022-03-05,,,,"In 2022, InHealth is expanding its services and clinical support in Canada with its first ever sales, customer service, and distribution operation outside the U.S. InHealth Technologies Canada has an exciting opportunity to join our growing team!
We are currently hiring a InHealth Technologies Canada Customer Service Representative who:
works independently with an entrepreneurial spirit and a genuine ability to help customers;
establishes trust with customers by responding promptly to inquiries related to products, product shipments, and invoices.
is self-motivated and thrives in a fast –paced, remote location, work environment;"
3,,Clinical Sales Representative,,,Fempro Consumer Products ULC,,Vancouver,Glassdoor,Healthcare Representative,,2022-03-05,,,,"First Quality was founded in 1989 and, in nearly three decades, has grown to be a global privately held company with over 4,000 employees. Its corporate offices are located in Great Neck, New York, with manufacturing facilities and offices in Pennsylvania, South Carolina, Georgia, and Canada. First Quality is a diversified family of companies manufacturing consumer products ranging from Absorbent Hygiene (adult incontinence, feminine care, and baby care), Tissue (bath and towel), and Industrial (print and packaging materials), serving institutional and retail markets throughout the world. First Quality focuses on private label and branded product lines.
Our core business philosophy is built on a proud culture driven by safety and quality, respect, humility, integrity, customer focus, and teamwork. With leading edge manufacturing technologies and processes and visionary leadership, First Quality is positioned to continue significant growth in the coming years.
FQ is seeking a Clinical Sales Representative for our Canadian-based Fempro division."
4,,Industrial Automation Sales Representative,,,Delco Automation Inc.,Electronics Manufacturing,Saskatoon,Glassdoor,Healthcare Representative,"$95,000 /yr (est.)",2022-03-05,,,,"Founded in 1994, Delco Automation Inc. is a premier integrator of process automation and control systems aimed at providing technology-driven solutions to the security, healthcare, corrections, manufacturing, technology, and water and wastewater industries. Headquartered in Saskatoon, Saskatchewan and with operations across the country, Delco Automation employs over 200 people and is growing rapidly to support its clients across North America.
Delco Automation is able to provide basic consulting or can take complete turn-key contracting responsibility for any size of automation or security project, from small compressor control panels, to customized water treatment plants, to large and integrated security systems.
Delco Automation is a single source of technical expertise in the combination of process control, SCADA, DCS, PLC’S, information systems, instrumentation, measurement, telecommunication systems, and control centers. Delco Automation performs feasibility and planning studies, followed by detailed design, manufacturing, procurement, integration, training, and commissioning for new builds and retrofits."
5,,Customer Service Representative - Work from Home,,,Sutherland,HR Consulting,Remote,Glassdoor,Healthcare Representative,,2022-03-05,,,,"Job Description:

Do you excel at handling customer inquiries, multi-tasking and hitting performance targets? Do you have strong active listening skills and an enthusiastic personality? Can you build rapport online, while asking probing questions to address issues and solve problems using templated solutions? Join us.

Sutherland now seeks Customer Service Representatives to provide assistance for customers of our major gaming client. In this role, you will bring your positive energy, enthusiasm and expertise to deliver exceptional service and solutions to customers in a work from home environment. You will get to work with leading technologies and systems while having a dedicated team of leaders and peers to support you each and every day.

What we offer:













As a digital transformation company, Sutherland rethinks and rebuilds processes for the digital age by combining the speed and insight of design thinking with the scale and accuracy of data analytics. We have been helping customers globally, across industries from financial services to healthcare, achieve greater agility through transformed and automated customer experiences for over 30 years.

#SP
Remote"
6,,Customer Service Representative - Track & Trace,,,Charger Logistics Inc,Transportation Management,Brampton,Glassdoor,Healthcare Representative,,2022-03-05,,,,"Charger logistics Inc. is a world- class asset-based carrier with locations across North America. With over 20 years of experience providing the best logistics solutions, Charger logistics has transformed into a world-class transport provider and continue to grow.
We are looking for dynamic individuals with a passion for helping people to join our fast-paced Customer Service team. We are entrepreneurial-minded organization that welcomes and support individual ideas and strategies.
Responsibilities:
Communicating with customers and responding to their queries (via phone, email or fax) in a professional and timely manner.
Track and Trace large volume of customer orders"
7,,Healthcare Sales Representative,,,Air Liquide,,Mississauga,Glassdoor,Healthcare Representative,,2022-03-05,,,,"Company presentation

VitalAire Canada is the Canadian home healthcare subsidiary of Air Liquide, the world leader in gases, medical technologies and services for Industry and Healthcare. VitalAire empowers patients who have sleep apnea or require home oxygen therapy through ongoing respiratory support and compliance.

Here is what you will do

VitalAire is currently recruiting for a highly energetic and motivated full time Healthcare Sales Representative for our GTA West territory. The Sales Representative is responsible for growing VitalAire's sleep apnea business, home oxygen patient base, and medical device sales by promoting our services and products.







Job Reference: CA05269"
8,,Healthcare Marketing Representative,,,BioAro Inc,,Delta,Glassdoor,Healthcare Representative,$21.00 /hr (est.),2022-03-05,,,,"The Healthcare Marketing Representative create and implement marketing plans for hospitals and medical facilities. In addition to plan programs and events that build relationships between physicians, Healthcare facility and BioAro Health clinic.
Key Responsibilities
Scheduling meetings with potential which includes doctors, nurses, and other health care professionals.
Healthcare Marketing Representative develops marketing strategies and implements marketing campaigns that enhance the organization’s brand and increase community awareness.
Sell laboratory testing services to professionals in a variety of medical fields
Ability to act as a liaison between internal departments to ensure that client needs are effectively filled."
9,,"Patient Service Representative, Vancouver (#14659891)",,,"Ashfield, part of UDG Healthcare plc",Healthcare Services & Hospitals,Vancouver,Glassdoor,Healthcare Representative,,2022-03-05,,,,"At Ashfield, we care about our people!
Are you a person who wants to make a difference?
Are you someone with strong interpersonal skills?
Ashfield Engage is looking for a Service Team Representative to see physicians and nurses everyday, focusing on how to help improve the lives of patients. This new opportunity will introduce you to the world of pharmaceuticals with no previous field experience required. Connect with various Health Care professionals by bringing them and their patients the medicines, knowledge and support they need. Ashfield Engage success is built on a team based environment and is looking for you to join the team!
This position is a hybrid position, consisting of face-to-face and telephone interactions. Temporarily remote due to Covid-19."
