,id,job_title,job_type,job_exp,company,industries,location,source,search_kw,expected_salary,post_date,job_function,remote,job_summary,description
0,,Human Resources Coordinator,,,Uline,Logistics & Supply Chain,Milton,Glassdoor,Human Resources Coordinator,$28.00 /hr (est.),2022-03-05,,,,"Human Resources Coordinator
From $26 to $30 per hour
Toronto Branch
3333 James Snow Parkway North, Milton, ON L9T 8L1
Uline's Human Resources team works hard to find and retain the best talent. We match quality candidates with a job they'll enjoy while continuing to support all employees throughout their career here.
Better together than apart. This position is in-office, and we are looking for good people who share our passion."
1,,Human Resources Coordinator (12-month temporary),,,Teck Resources Limited,Mining & Metals,Vancouver,Glassdoor,Human Resources Coordinator,,2022-03-05,,,,"External Job Description
Closing Date: April 13, 2022

Reporting to the Human Resources Manager, the Human Resources Coordinator is responsible for assisting the Human Resources Department with administrative services that contribute to the accomplishment of Human Resources practices and objectives that will contribute towards a positive employee experience and a high performance culture.

Responsibilities:"
2,,Human Resources Coordinator,,,PRIMED Medical Products Inc,,Cambridge,Glassdoor,Human Resources Coordinator,"$55,000 /yr (est.)",2022-03-05,,,,"Position Title: Human Resources Coordinator
Position Type: Full-time, permanent, salary
Division: Human Resources
Location: Cambridge, ON
Start Date: April 2022
Protecting 6 million people per day from harmful and infectious disease.
PRIMED Medical Products in Cambridge is seeking a Human Resources Coordinator to join our Human Resources team. Reporting to the HR Advisor with a dotted line to the Director, Human Resources, you will support our team members with their Human Resources needs. You will need to use exceptional written and verbal communication skills to develop and maintain strong relationships within the Plant. We are looking for a motivated individual who has a willingness to grow and develop with PRIMED."
3,,Human Resources Coordinator,,,PCL Construction,Building & Construction,Richmond,Glassdoor,Human Resources Coordinator,,2022-03-05,,,,"The future you want is within reach.

At PCL, we build the places where life happens and find camaraderie in the process. We're a community of builders committed to building better communities. That's why we're always looking ahead, and not just to the next project or what's next in our industry.

We're also looking at what's next for you and how we can help you build a career you're proud of. You will be part of a dynamic HR team where your contributions to the business will be valued and celebrated.

Here's how a Human Resources Coordinator for our BC Region office contributes to our team:"
4,,Human Resources Coordinator,,,Trophy Foods Inc.,,Mississauga,Glassdoor,Human Resources Coordinator,"$47,500 /yr (est.)",2022-03-05,,,,"Overview: The Human Resources Coordinator will support the HR Manager in all HR functions such as: HR administration, recruitment and selection, training, and employee relations. This position will work closely with the Supervisors and the JHSC to provide administrative support with respect to the company’s health and safety initiatives.
Key responsibilities include, but are not limited to:
HR Administration
o Perform all HR administrative duties including preparation of employment letters, offer letters, memos; maintain employee documents; track employee probationary periods, etc. Maintain confidential, accurate and up to date employee files and employee related databases.
o Assist with other office administrative tasks as required by management."
5,,"Coordinator, Talent Development",,,Compugen Inc,Information Technology Support Services,Canada,Glassdoor,Human Resources Coordinator,"$59,500 /yr (est.)",2022-03-05,,,,"About Compugen

Compugen is one of Canada's largest privately-owned Information Technology (IT) Solution Providers. We help customers design, acquire, integrate and operate technology. Our mission is to help organizations realize new possibilities. Every day, our dedicated staff across North America focus on providing extraordinary customer service and support experiences to private and public sector organizations. We combine breadth of skill, depth of expertise, and commitment to operational excellence at scale to deliver exceptional, customer-focused experiences.

If you are driven to make a difference, relentlessly curious and collaborative at the core, we’d love to talk to you. Join us and help us make a difference.

The Role
The Coordinator, Talent Development is a key member of the Talent Development team, responsible for the coordination of talent and learning strategies designed to strengthen the organization’s capabilities and support the achievement of business goals and objectives. This position supports all members of the Talent Development team. The Coordinator, Talent Development is part of an evolving People & Culture structure and supports with enterprise wide initiatives. This includes coordination on, key talent development and performance management programs, foundational skills development, employee and leadership development planning and learning, employee engagement initiatives, and diversity, equity and inclusion strategy."
6,,Human Resources Coordinator,,,Robert Half,HR Consulting,Vancouver,Glassdoor,Human Resources Coordinator,"$60,000 /yr (est.)",2022-03-05,,,,"Robert Half is looking for a Human Resources Coordinator for our Vancouver client. This role is within the healthcare space. The successful candidate will be responsible for full-cycle recruiting, onboarding, organizing orientation, and onboarding. This role is for someone who is truly passionate about recruitment, empathic yet a people person who builds rapport easily.

Responsibilities will include but are not limited to:
Full-cycle recruitment
Implementation of an effective sourcing strategy
Delivering an exceptional candidate experience throughout the recruitment process
Work with hiring managers to thoroughly understand their positions, teams, and recruitment needs, to build and draft job descriptions and interview guides
Data management

What’s in it for you?
The opportunity to work with an organization that truly makes a difference to people and empowers people. This opportunity comes with a competitive salary and benefits. Future growth opportunities.

If this sounds like the exciting and dynamic role you have been looking for, please apply today.

Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.

Robert Half puts you in the best position to succeed by advocating on your behalf and promoting you to employers. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity – even on the go. Download the Robert Half app and get 1-tap apply, instant notifications for AI-matched jobs, and more.

Questions? Call your local office at 1.888.490.5461. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2021 Robert Half. By clicking “Apply Now,” you’re agreeing to Robert Half’s Terms of Use ."
7,,Placement coordinator - human resources,,,Infinite Outsourcing Solutions,Energy & Utilities,Mississauga,Glassdoor,Human Resources Coordinator,$27.50 /hr (est.),2022-03-05,,,,"Employer:
Infinite Outsourcing Solutions
Position:
Placement coordinator - human resources
Duration/Type:
Full Time
Location:
Unit#820, 5915 Airport Road, Mississauga, ON, L4V 1T1"
8,,HR Coordinator,,,Impact Recruitment,HR Consulting,Vancouver,Glassdoor,Human Resources Coordinator,"$57,500 /yr (est.)",2022-03-05,,,,"Our client is looking to add a dedicated HR Coordinator to their team to support their Director of HR + Admin with employee engagement, training and various administrative tasks related to HR! If you are looking for your next big opportunity to grow your HR skills with a firm that values your hard work and eagerness to learn then we want to hear from you!

ABOUT OUR CLIENT
As one of Canada's Top 10 labor and employments firms, their clientele includes notable employers from both the public and private sectors. This is a firm that has risen very quickly in the legal community by combining their strengths and acknowledging each employee's unique strengths and contributions, in which they are not only the Top 10 firms, but have also been recognized for Best Lawyers and Legal 500."
9,,Human Resources Coordinator,,,University of British Columbia,Colleges & Universities,Vancouver,Glassdoor,Human Resources Coordinator,"$68,656 /mo (est.)",2022-03-05,,,,"Staff - Non Union
Job Category
M&P - AAPS
Job Profile
AAPS Salaried - Human Resources, Level A
Job Title
Human Resources Coordinator
Administrative Staff | Department of Electrical and Computer Engineering | Faculty of Applied Science
4,688.67 - $6,754.00 CAD Monthly
April 11, 2022"
