,id,job_title,job_type,job_exp,company,industries,location,source,search_kw,expected_salary,post_date,job_function,remote,job_summary,description
0,,Human Resources Manager,,,Evolution Americas,Internet & Web Services,Vancouver,Glassdoor,Human Resources Manager,"$98,537 /yr (est.)",2022-03-05,,,,"Company Description

Evolution is a leading international B2B developer and provider of products and services for online gaming. We operate in the forefront of our fast-moving industry, where the battle stands about who has the best product innovations and the most reliable IT-solutions for delivery to a large number of users across the world simultaneously with the highest possible quality. We provide a dynamic and engaging work environment rooted in our values ALIVE, do RIGHT and work TOGETHER and we believe success is achieved from challenging status quo and each team member striving to be just a little bit better every day.
Our unique product portfolio has won multiple international industry awards. We offer a turn-key solution for operators through which their players can play Slots or Live Casino, featuring real tables with real dealers in real time. Across our 20+ sites, we have over 11,000 people working in the fields of Product Innovation, Software Development, Game Presenters & Hosts, IT-support, Facility & Studio build as well as business support services."
1,,Human Resources Manager,,,Simpcw Resource Group,,Barrière,Glassdoor,Human Resources Manager,,2022-03-05,,,,"THE COMPANY
Located in the North Thompson valley the Simpcw Resources Group (SRG) provides environmental, management, and operational services while preserving Simpcw culture and heritage with respect towards the environment. Their goals include creating economic growth from the commercial development of natural resources within the Simpcw'ulécw (Simpcw Territory) by being the major contractor and competing for work in both the public and private sectors.
Highbridge Human Capital is excited help our client find a dynamic, organized self-starter to lead the Simpcw Resource Group’s Human Resources department as an Human Resources Manager in the BC Interior.
THE OPPORTUNITY"
2,,Service Manager,,,BluPool,,North Vancouver,Glassdoor,Human Resources Manager,$35.00 /hr (est.),2022-03-05,,,,"Blu Pool Supply, Ltd. is looking to hire a permanent, full-time Service Manager. If you enjoy managing teams, are committed to delivering exceptional customer service, experienced in trades-based management, have integrity and a positive attitude, we could be your career home!
Blu Pool is the PREMIER pool maintenance and service company in the Greater Vancouver region. Dependable and knowledgeable, our services are unmatched by other mechanical based companies in the area.
Blu Pool delivers exceptional customer service. We are committed to enriching our clients’ lives with stress-free, hassle-free enjoyment of their swimming pools, spas, and water features. We do this by providing all the tools, training, and cutting-edge technology to aid our employees’ success!"
3,,Senior Manager - Human Resources,,,River Rock Casino Resort,Gambling,Richmond,Glassdoor,Human Resources Manager,"$62,433 /yr (est.)",2022-03-05,,,,"Under the direction of the Regional Director, Human Resources, the Senior Manager, Human Resources is responsible for being a strategic partner; providing guidance, direction and support on matters related to Human Resources Policies & Procedures, and best practices, including but not limited to Recruitment, Performance Management, Workforce Planning, Compliance, Health, Safety & Wellness, Team Member and Labour Relations, Team Engagement & Retention, Rewards & Recognition, Respectful Workplace & Diversity, Organizational Development & Training and Change Management.
Key Accountabilities:
Provides leadership, direction and mentoring to the Human Resource department at the site level; develops performance objectives and delivers performance evaluations for direct reports"
4,,Human Resources Manager,,,Confidential,,Toronto,Glassdoor,Human Resources Manager,"$100,000 /yr (est.)",2022-03-05,,,,"About Us
Through innovation and a relentless commitment to deliver products and services that set the standard for reliability and durability, ABC Company is a recognized leader within the manufacturing, commercial, residential, and industrial construction market specializing in aluminum and glass railings.
Due to continued growth, we a have an opportunity for a Human Resources Manager to join our company at us in Toronto, Ontario. The HR Manager will support both the Edmonton, Alberta and London, Ontario locations.This position will require frequent travel to our London and Edmonton facilities. Relocation opportunity to Edmonton available.
Position Summary"
5,,Assistant Human Resources Manager,,,Hilton Hotel and Suites Niagara Falls/Fallsview,"Hotels, Motels, & Resorts",Niagara Falls,Glassdoor,Human Resources Manager,,2022-03-05,,,,"What will it be like to work for the Hilton Niagara Falls/Fallsview?
One of the most recognized names in the industry, Hilton Hotels & Resorts offers travelers a world of authentic experiences. Hilton remains an innovative forward-thinking hospitality leader by offering best-in-class products, services and amenities to ensure that every guest feels cared for, valued and respected.
If you understand the importance of upholding a brand reputation and what it takes to provide a globally recognized hospitality experience, you may be just the person we are looking for to work as a Team Member with Hilton Hotels & Resorts.
Assistant Human Resources Manager Responsibilities:
Works in collaboration with the HR Manager on various programs and initiatives and acts as a resource to other Team Members in the HR department. Oversees the department in the absence of the HR Manager."
6,,Human Resources Manager,,,Capilano Group,"Museums, Zoos & Amusement Parks",North Vancouver,Glassdoor,Human Resources Manager,,2022-03-05,,,,"The Capilano Group comprises retail, hospitality and tourism based businesses anchored by Capilano Suspension Bridge Park in North Vancouver. The Capilano Group’s portfolio includes Moraine Lake Lodge and Cathedral Mountain Lodge both located in the beautiful Canadian Rockies plus Stanley Park Pavilion, Stanley’s Park Bar & Grill and Prospect Point Cafe and Gift Shop in Stanley Park, Vancouver.
We are currently looking for a Human Resources Manager to join the team!
Reporting to the CEO, the Human Resources Manager advises and supports the Capilano Group of Companies. The Human Resources Manager focuses on delivering HR services that meet or exceed the needs of managers, supervisors, team members and enables business success; as well as ensures compliance with federal, provincial and local laws and Capilano Group of Companies overall goals and corporate philosophy."
7,,"Human Resources Manager, 90K, Monday-Friday, Day Shift, CHRP, Benefits/RRSP",,,CWT Group,,Mississauga,Glassdoor,Human Resources Manager,"$90,000 /yr (est.)",2022-03-05,,,,"CHRP

5 years experience required
$90,000 per annum
Monday-Friday
Day shift

Large Transportation LTL Company"
8,,Learning & Development Manager,,,Westland Insurance Ltd.,Insurance Agencies & Brokerages,Surrey,Glassdoor,Human Resources Manager,,2022-03-05,,,,"Westland Insurance Group Ltd has an exciting opportunity for a Learning and Development Manager situated either remotely or in Surrey, BC working in a hybrid model. In the position of L&D Manager, you will contribute to the ongoing development and implementation of learning programs and strategies that align with Westland’s goals. Leveraging your expertise in adult learning principles and instructional design, you will creatively design and implement effective methods to educate, enhance performance and develop talent internally.

What we offer:
A highly customer centric organization and position focused on service first
High-growth company environment with great opportunity for development
Competitive salary"
9,,HR & Recruitment Manager,,,Freshslice Pizza,Fast-Food & Quick-Service Restaurants,Burnaby,Glassdoor,Human Resources Manager,"$75,000 /yr (est.)",2022-03-05,,,,"Freshslice Pizza, Canada’s fastest-growing B.C.-based pizza by the slice chain is looking for a dynamic creative individual to join our team based in Lower Mainland, BC.
The ideal candidate would be an experienced professional with a passion for the job, able to employ unique techniques, and willing to drive creativity and enthusiasm in others.
The ideal candidate will:
Diploma in Human Resources and 2 years of related experience or an equivalent combination of education, training, and experience.
Intermediate skills with MS Office Suite.
Applied experience using various interview techniques and evaluation methods
Proven track record of sourcing, generating and converting leads to candidates"
