,id,job_title,job_type,job_exp,company,industries,location,source,search_kw,expected_salary,post_date,job_function,remote,job_summary,description
0,,Laboratory Technician/Laboratory Engineer,,,Convergent Manufacturing Technologies Inc.,,Vancouver,Glassdoor,Laboratory Technician,"$45,000 /yr (est.)",2022-03-05,,,,"Convergent Manufacturing Technologies (www.convergent.ca) is a dynamic university spin-off company located on the UBC Vancouver campus. We develop software and hardware and provide engineering support and specialized testing for advanced composites manufacturing for organizations worldwide.
Position Overview:
Convergent is seeking a full-time laboratory technician or laboratory engineer starting March 2022. This position will report to the Lead Engineer of the Production Applications group.
The successful candidate is a self-motivated, hands-on, detail-oriented individual that is willing and interested in learning new things. Many of the procedures and equipment used in the lab are highly specialized. The successful candidate will be trained in standard operating procedures (SOPs) and best practices. Once trained, he or she is expected to maintain a working condition of the lab and perform experiments as requested from the engineering team."
1,,Combined Laboratory and X-ray Technician (CLXT),,,Evergreen Medical Clinic,,Saskatoon,Glassdoor,Laboratory Technician,$26.50,2022-03-05,,,,"You must be a resident of Canada. You should hold a CLXT certificate. You will be working in our in-house x-ray and laboratory units as a full time worker.
Job Types: Full-time, Permanent
Salary: $25.00-$28.00 per hour
Benefits:
Extended health care
Schedule:
Monday to Friday"
2,,Looking For Laboratory Technician,,,Go Test Rapide,,Saint-Laurent,Glassdoor,Laboratory Technician,$27.50 /hr (est.),2022-03-05,,,,"The Laboratory Technician is responsible for performing tests on samples for purposes
such as quantitative and qualitative analyses, quality control, and process control. S/he is also responsible for general maintenance of laboratory equipment and maintaining a clean work environment using good laboratory practice.
Specific Responsibilities
- Reading and understanding all applicable test methods and safety standards that
include but are not limited to ASTM, UOP, and IP.
- Performing analysis according to client and industry requirements and industry
standards.
- Receiving, reviewing, and understanding work orders for all received samples.
- Recording each test result neatly and accurately on applicable laboratory documents.
- Preparation of corresponding analytical reports.
- Performing quality assurance / quality control testing and assisting with control
charts.
- Maintaining laboratory instruments, equipment, and supplies.
- Completing required safety training and necessary certifications.
- Preparing chemical solutions according to applicable standards or work instructions.
- Performing other laboratory related duties as required."
3,,Pharmaceutical Laboratory Technician (Lab Tech),,,Isologic Innovative Radiopharmaceuticals,,Toronto,Glassdoor,Laboratory Technician,"$60,000 /yr (est.)",2022-03-05,,,,"ISOLOGIC Innovative Radiopharmaceuticals is a nationwide radiopharmaceutical company, dedicated to nuclear medicine and the science of Radiopharmaceutical production. We utilize our significant experience, expertise and networks in Nuclear Pharmacy to provide our customers and patients with reliable; safe and a high-quality radiopharmaceutical products and services.
ISOLGIC is currently recruiting for a permanent, full-time Pharmaceutical Production Specialist to fulfill a position in our PET pharmacy in Toronto.
The candidate would be responsible for dose dispensing, compounding and quality control on a nightly basis. The work schedule is 8.5 hours per day with different start times (9pm, 1am, 3am, 4:30am).
Key Responsibilities:"
4,,XRF LABORATORY TECHNICIAN,,,Bureau Veritas,Farm Support,Vancouver,Glassdoor,Laboratory Technician,,2022-03-05,,,,"Bureau Veritas is looking for a XRF Laboratory Technician.

Reporting to the XRF Manager, the XRF Laboratory Technician position performs routine and non-routine duties in the XRF Lab including clerical or physical functions.

As a XRF Laboratory Technician, your responsibilities are:

Accurately conduct routine and non-routine analyses of samples using the appropriate method and in accordance with the established schedule such as high temperature Lithium tetraborate fusion and LOI.
Provide technical support to the senior technician and lab assistants, may assists in training new employees
Maintain a reasonable supply inventory"
5,,"Field Service Technician for Chromatographic Instruments (HPLC,GC and MS)",,,"ALPHA-1 Laboratory Solutions Inc. (ALPHA-1.ca) – Toronto, ON",,Etobicoke,Glassdoor,Laboratory Technician,"$50,000 /yr (est.)",2022-03-05,,,,"Title: Chromatography Instrument Service Engineer/Technician
Summary:
Complete initial installation and set-up, perform preventive maintenance, troubleshooting, repair and Validation of HPLC and GC instrument hardware and software including Mass Spectrometer detectors.
Job Functions:
1. Setup, PM, validate, troubleshoot and repair analytical instrument hardware and software.
2. Types of equipment may include but are not limited to HPLC, GC and MS systems.
3. Ensure customer satisfaction through proactive communication, dedication to resolving customer instrument performance issues/problems and completing service reports and other administrative duties as required.
4. Ensure service work is completed effectively and complete paperwork in a timely fashion in accordance with company policies.
5. Increase company growth by identifying sales opportunities, recommending appropriate products and services to customers, and identifying new potential customers in service area.
6. Establish and maintain effective relationship with customers, colleagues and management. Communicate timely and effectively with customers regarding PMs and routine service calls.
7. Maintain courteous and professional demeanor when working with customers, contractors, management and co-workers. Utilize customer policies when entering and exiting customer facilities and abide by ALPHA-1’s policies and procedures.
8. Other duties as assigned."
6,,Laboratory Technician,,,Inter Pipeline,Oil & Gas Services,Strathcona,Glassdoor,Laboratory Technician,,2022-03-05,,,,"We are a major energy infrastructure business that has experienced tremendous growth over the past decade. This growth has provided our employees with stability, positive challenges, new career paths and opportunities to work in a dynamic team environment. As one of Alberta’s Top 75 Employers we are proud to say no matter where your role at Inter Pipeline may lie, you are provided ample opportunities for valued contribution and innovation, with a strong emphasis on employee growth.
Located out of our Heartland Petrochemical Complex (HPC) site in Fort Saskatchewan, the individual in the Lab Technician role will report to the HPC Laboratory Supervisor. The successful candidate will be working in the HPC Product Quality Lab completing analytical, physical and mechanical testing to support the Central Utility Block (CUB), Propane Dehydrogenation (PDH) and Polypropylene (PP) facilities of HPC."
7,,Production Laboratory Technician,,,Confidential,,Scarborough,Glassdoor,Laboratory Technician,,2022-03-05,,,,"ABOUT US:
We are one of the leading manufacturing companies of premium quality products in Canada.
We are currently seeking a dedicated hard-working Production Laboratory Technician to join
our fast-growing team.
Production Laboratory Technicians will be fully trained to operate and troubleshoot sensitive
automatic machines and to perform quality checks on finished products. The successful
candidate will be responsible for operating production line machines, finishing products and
reporting any issues with machines directly to Laboratory Managers.
You will also assist in the warehouse as needed.
REQUIREMENTS:
Operate small machines, volumetric & mixing of products."
8,,LABORATORY ANALYST 1,,,Bureau Veritas,,Burnaby,Glassdoor,Laboratory Technician,,2022-03-05,,,,"Do you believe in the power of teamwork and sharing ideas? Do you take pride in delivering exceptional quality and service with everything you do? Do you seek out ideas for improving the status quo?

If you want to make a difference and love being surrounded by the best and the brightest minds, Bureau Veritas Canada might be the place for you!
If our core values of Trusted, Responsible, Ambitious & Humble and Open & Inclusive resonate with you, Bureau Veritas is looking for a:

Analyst – Industrial Hygiene

As an Analyst, your responsibilities are:"
9,,"LABORATORY TECHNICIAN, FT, INORGANIC PROCESSING",,,Bureau Veritas,,Mississauga,Glassdoor,Laboratory Technician,"$39,764 /yr (est.)",2022-03-05,,,,"Do you believe in the power of teamwork and sharing ideas? Do you take pride in delivering exceptional quality and service with everything you do? Do you seek out ideas for improving the status quo? If you want to make a difference and love being surrounded by the best and the brightest, Bureau Veritas Laboratories might be the place for you!
Imagine being surrounded by the brightest minds in the industry.

Bureau Veritas is looking for a

Laboratory Technician, Inorganic Processing (Full-time)

Join our talented team of experts in the scientific field to advance your technical knowledge and advance your career. Every day we go above and beyond to deliver innovative solutions to help our clients make important decisions that directly impact the community and the environment."
