,id,job_title,job_type,job_exp,company,industries,location,source,search_kw,expected_salary,post_date,job_function,remote,job_summary,description
0,,Director of Materials (Tier 1 Automotive Manufacturing),,,The Executive Wing,HR Consulting,Hamilton,Glassdoor,Manufacturing Director,"$74,218 /yr (est.)",2022-03-05,,,,"We Offer/Company Perks/Corporate Culture/Why Apply
Global, world class organization
Longstanding stable company with sustained growth and expansion
Sustained career growth trajectory
Award winning workplace
Strategic vision and Team driven organization
Global presence
Rapidly growing and Upwardly mobile
Become an integral part of a World Class manufacturing company"
1,,Director of Sales – Reserve Battery Manufacturing and Distribution,,,Just Sales Jobs,HR Consulting,Canada,Glassdoor,Manufacturing Director,"$160,000 /yr (est.)",2022-03-05,,,,"As Director of Sales, you will be responsible for the reserve battery power division that focuses on manufacturing, distribution, and installation of backup powers systems for Telecommunications (Cell Towers), Data Centers, Hospitals, Utilities, and Uninterupted Power Supply (UPS) OEMs. This is a new role You will be reporting to the VP of Sales and managing the National Sales Manager, National Account Executive (Western Canada), Sales Representative (Quebec), and Project Managers for infield implementations. You will be managing, coaching, and setting sales direction, along with maintaining key relationships at the executive level with large customers. This is a work-from-office position with a focus on being in the field working with the sales managers and meeting with large clients. The base salary is $150,000 - $170,000.

THE COMPANY & CULTURE

Founded in 1946 our client is a family-owned business that is a leader in battery manufacturing and distribution of high-quality batteries for automotive, commercial, marine, material handling, backup power, and specialty markets (ground support, mining, forestry). The company has close to 200 employees in Canada with over 17 locations and over 10,000 employees at their manufacturing facility in the US. The culture is open and values employee contributions. The Canadian operations generate approximately $300 million in revenue with a 200,000 ft distribution facility in Ontario. In the automotive space, they provide private label batteries to retailers such as Walmart, Canadian Tire, and many other retailers and automotive clients.

THE LOCATION

Head office Courtice, ON

This is work from office position

PRODUCTS, SERVICES, SOLUTIONS

Lead Acid Batteries (Primarily for forklifts)

Chargers and peripheral equipment

Installation Services

SALES CYCLE AND PRODUCT VALUE

Average order sizes $25K - $75K

Average account size $500,000

30 days – 1 year based on 2+ year contracts.

COMPETITIVE ADVANTAGE

High-quality batteries

Manufacture in North America

National Exposure and sales team across Canada.

High levels of inventory stocked.

PROSPECTIVE CUSTOMERS

Medium to enterprise clients

Telecom (Cell Towers)

Datacenters

Critical Infrastructure (Hospitals, Utilities, etc.)

Uninterrupted Power Supply OEMs

TYPICAL DAY AND DUTIES

20% team management

35% presenting / closing

5% reporting

10% calling

5% proposal prep

10% account management

10% internal meetings with supporting departments.

TERRITORY

Canada

Travel 25% - 50%

COMPENSATION AND BENEFITS

$150,000 - $170,000 Base Salary and profit-sharing.

100% Fully Paid Health Benefits

RSP Matching into the deferred profit-sharing plan.

Car Allowance

Expense Reimbursement

Cell Phone

Laptop

Further Education Reimbursement

MUST HAVE EXPERIENCE

7 -15 Years of Sales Leadership experience

Battery industry experience preferred.

Open to those with Telecom or Data Center infrastructure background

2+ years of related sales leadership selling an industrial product.

EDUCATION

University Degree or professional equivalent.

TECHNICAL SKILLS

Chemistry

Electrical theory and principals

Above average computer skills (Word, PowerPoint, Excel)

SUPPORT & TRAINING

70% Technical Training

30% Sales Training

Formal Classroom

On the Job

Mentoring/Shadowing

Management ride alongs

WHY YOU SHOULD APPLY

Leader in their field

Career Growth Opportunities

Excellent corporate culture

OTHER SALES JOBS

If this job is not ideal for you, please upload your resume for future considerations at https://justsalesjobs.recruiterbox.com/jobs/61ab37640cd048c4b78dc09bcbf58e04

Or visit our website to view other available sales jobs at https://justsalesjobs.ca/jobs/

ABOUT JUST SALES JOBS

Just Sales Jobs sources and places Top Sales Talent from Toronto to Kitchener/Waterloo and Cities in between. We use Artificial Intelligence and Machine Learning technologies along with a proven hiring methodology to identify Top Sales Talent.

Just Sales Jobs has earned a reputation as the best recruitment agency in Ontario. We source and place for Sales Positions between Toronto and Kitchener/Waterloo, and cities in between. Sales positions we hire for include, Vice President of Sales, National Sales Director, Sales Director, Director of Sales, Regional Sales Manager, Territory Sales Manager, Sales Manager, Vice President Business Development, Business Development, Business Development Director, Business Development Representative, Business Development Manager, Business Development Officer, Sales Representative, Senior Sales Representative, Sales Development Representative, Account Manager, Account Executive, Senior Account Manager, Telemarketer, Inside Sales, Outside Sales, Door to Door Sales.

#IND1"
2,,Director of Manufacturing,,,Oxygen8 Solutions Inc,,Burnaby,Glassdoor,Manufacturing Director,"$80,000 /yr (est.)",2022-03-05,,,,"ABOUT US:
We are passionate about indoor air quality and energy-efficient technologies. Oxygen8 manufactures low-profile, high-efficiency ventilation systems that help to improve the health of people and our planet. Our solutions deliver 100% fresh, filtered air with smart technology for maximum comfort, health, and low greenhouse gas emissions.
Through innovation, collaboration and intelligent design, our ventilation solutions feature energy recovery, MERV13 filtration and integrate seamlessly with VRV heat-pump technology for supplemental heating and cooling.
At Oxygen8, our mission is to help create healthy spaces for people to live, work, and play in an energy-efficient way."
3,,Director of Operations,,,Kryton International,Chemical Manufacturing,Vancouver,Glassdoor,Manufacturing Director,"$150,000 /yr (est.)",2022-03-05,,,,"WHO WE ARE: At KRYTON International, we are helping the world change by building concrete structures that are not only waterproof, but more durable, efficient and sustainable than ever before. KRYTON is the inventor of the world’s first crystalline waterproofing admixture for concrete and we have permanently changed the way concrete structures are built in every corner of the globe. It’s the extraordinary people on our team that have made all the difference and we have proven it by winning the 10 Best Companies to Work For in BC Award 4 years in a row. We also are:
· Global and Local
· Experts and disruptive innovators
· Inspiring you to do your best and chart your future"
4,,Director of Operations,,,Shaw-Almex Industries Limited,,Parry Sound,Glassdoor,Manufacturing Director,,2022-03-05,,,,"Company Profile
Industry leader and innovator in the design and manufacturing of a full range of vulcanizers and presses for splicing all types of belting and stationary presses for fabrication of flat and profile conveyor belting. Over a dozen corporate facilities and a network of exclusive distributors are strategically located on six continents to provide a comprehensive sales and service support system to clients in over 120 countries over 5 continents.
DIRECTOR OF OPERATIONS
At Almex, our strength is the efficiency with which we deliver leading-edge products and support to those we serve. We’re proud to set the standard for success in our industry. To help us continue our growth, we’re seeking an experienced Director of Operations to join our highly skilled team. As an ideal candidate, you have proven senior management experience in a highly dynamic setting. Strategic planning, organizational communication, and leadership skills are second to none and you enjoy developing solutions that push innovative boundaries. This role will work closely with executives to strategize and develop long-term plans that usher in new levels of productivity and success at Almex."
5,,Production Director,,,Agropur,Food & Drink Manufacturing,Don Mills,Glassdoor,Manufacturing Director,,2022-03-05,,,,"For Current Agropur Employees:
Please apply for this job through the Career application of your
Workday Home Page.
Job Type:
Regular
Working at Agropur means being a member of an extended family where simplicity and honesty are part of everyday life, and where the management style is based on integrity, openness and autonomy. You too can join the Agropur family!
Reporting into the Plant Manager, the Production Director is responsible to lead and mentor the production team to drive performance through the implementation of the IWS systems. He/she ensures quality production is delivered on time and budget while ensuring a safe work environment. He/she drives and motivates the team by means of an exceptional Servant Leader approach.
More specifically, the Production Director:"
6,,DIRECTOR OF MANUFACTURING (Food),,,TalentSphere Staffing Solutions,HR Consulting,North York,Glassdoor,Manufacturing Director,,2022-03-05,,,,"We are currently seeking a Director of Manufacturing for our food manufacturing client in the GTA. Reporting directly to the Owner of the company, the Director of Manufacturing will be responsible for the overall manufacturing strategy and day-to-day direction of the manufacturing plant and staff. The Director will use their previous management experience to improve the overall operations of the plant.

RESPONSIBILITIES
Manage production planning, scheduling, and the budget planning process
Train, coach, and mentor production teams to perform optimally
Ensure food safety and quality are maintained at all times through a rigorous QA program
Ensure that all departmental costs are controlled and budgets met (production, sanitation, maintenance, quality assurance)"
7,,Director of Health and Safety,,,Emterra Group,Consumer Products Manufacturing,Surrey,Glassdoor,Manufacturing Director,"$70,429 /yr (est.)",2022-03-05,,,,"Who We Are
We are a dynamic, growth-oriented, and safety-focused company. Our organization has been deemed to be an “essential service” by providing collection and processing of Waste and Recyclables that keep our communities clean and safe. With customer service and safety as our focus, we are looking for an energetic and driven leader to support our growing company and play a crucial role in the circular economy. Emterra is proud to be recognized as one of Canada’s Greenest Employers, a certified diverse supplier of the Canadian Aboriginal and Minority Supplier Council (CAMSC), the Canadian Women Business Enterprise National Council (WBE) and WEConnect International.
Under the direction of the Chief Executive Officer and the Chief Operating Officer, the Director of Health, Safety & Risk will lead and manage all Safety, Compliance and Risk functions within Emterra Group’s operations located in BC, Saskatchewan, Manitoba, Ontario and the state of Michigan. The focus of delivery on all processes and programs will be safe, effective, prevention-based practices that strive for measurable results and excellent customer service. This position plays a critical role in acting as an advocate for safety and will demonstrate principles and practices that will optimize a safe environment for all."
8,,Director of Operations,,,Gables Search Group,Building & Personnel Services,Brampton,Glassdoor,Manufacturing Director,,2022-03-05,,,,"The Director of Operations is responsible for managing and providing strategic guidance to operations Leaders. This position is accountable for all aspects of site operations. Direct reports include Production, Maintenance, Engineering, Supply Chain, with Matrix reporting for Finance, Quality, Human Resources, Environmental Health, and Safety. Responsibility for developing and adhering to the annual production budget, participating in new product development and planning, attending and participating in various organizational meetings. The Director of Operations is accountable for the supervision of all direct and indirect reports in a way that is beneficial to all associates and helps to establish and maintain a positive relationship with them.
Duties and Responsibilities:
Continue and strengthen a culture of Inclusion and Diversity to drive results in Safety, Quality, Delivery, and Cost."
9,,Senior Director of Manufacturing Operations - Building Materials,,,David Aplin Group,HR Consulting,Toronto,Glassdoor,Manufacturing Director,"$67,991 /yr (est.)",2022-03-05,,,,"If you are a talented and experienced Director of Operations, David Aplin Group has partnered with a Toronto, Ontario-based company, one of the leading manufacturers of interior and exterior doors, wood, vinyl, and aluminum windows.

Responsibilities:
Reporting to the VP & GM of Canada, the Vice President of Operations is responsible for driving operational excellence and maximizing organizational growth and profitability through the leadership of their 5 plants and distribution operations in Canada.

As a member of the Canadian leadership team, the successful candidate will be required to:

Provide visible leadership in all facilities and model the company’s vision and values across manufacturing facilities; ensure alignment to division goals and priorities

If you are interested in this position and meet the qualifications, apply today! We thank all applicants; however, only those who are authorized to work in Canada or are selected for an interview will be contacted.

David Aplin Group, one of Canada’s Best Managed Companies, is an employment agency specializing in finding top talent for exceptional organizations across North America. There are no fees to apply to our jobs or engage with our recruiters to find a new career. Companies hire us to help them grow their teams. Visit our website to learn more: www.aplin.com"
