,id,job_title,job_type,job_exp,company,industries,location,source,search_kw,expected_salary,post_date,job_function,remote,job_summary,description
0,,Recruitment Coordinator,,,CMiC,Computer Hardware Development,Toronto,Glassdoor,Recruiter,,2022-03-05,,,,"Founded in 1974, CMiC today delivers comprehensive and advanced enterprise and field operations solutions, purpose-built for construction and capital projects companies. CMiC’s powerful software transforms how firms optimize productivity, minimize risk and drive growth by planning and managing all financials, projects, resources, and content assets - all from a single database platform.

In the past several years, the construction industry has experienced unprecedented changes driven by new technologies - including integration with multi-dimensional modeling, an explosion of cloud-based offerings and the demand for robust mobile capabilities. CMiC has kept pace by constantly upgrading and enhancing our advanced platform to reflect the changing needs of the industry, leading to significant growth as a company."
1,,Recruiter (remote),,,LifeWorks,Business Consulting,Montreal,Glassdoor,Recruiter,"$55,176 /yr (est.)",2022-03-05,,,,"Build a meaningful career
At LifeWorks, we offer more than career opportunities, we provide career opportunities to make meaningful contributions to people’s lives. The extraordinary expertise of a more than 7,000-strong workforce is harnessed to support the employees and families of the organizations we serve. Our innovative programs have a lasting impact on the health, financial security and productivity of 24,000 workplaces.
The recruiter will join a growing global team of 20+ recruiters and people leaders, who work together to ensure overall success through strategic and solutions-oriented thinking, and collaborative teamwork.

Recruiters work in a fast paced, high-volume environment and are responsible for managing the full recruitment cycle from beginning to end, including the sourcing of candidates based on specialist skill sets, credentials or other requirement.
Responsibilities will include:"
2,,Senior Recruiter,,,Total Personnel Solutions,,Lively,Glassdoor,Recruiter,"$62,500 /yr (est.)",2022-03-05,,,,"Primary Duties & Responsibilities:
Develop and maintain relationships with clients
Develop and coordinate postings for job vacancies
Screen resumes, shortlist candidates
Set up and conduct interviews, make recommendations
Conduct reference checks
Attend and assist with career fairs
Update recruitment database
Complete all administrative and document management"
3,,Executive Recruiter,,,Peak Sales Recruiting,,Remote,Glassdoor,Recruiter,"$70,000 /yr (est.)",2022-03-05,,,,"Peak Sales Recruiting is a fast-paced organization that values teamwork and lifelong learning. We are passionate about placing people in their dream jobs. We are currently looking for a Recruiter to join our growing team. If you have a passion for service and are looking to work with like-minded people, read on.
Why work for Peak?
We offer the opportunity to work with first-class companies across the globe.
We headhunt talent for the world’s most innovative and disruptive companies.
We provide the tools and support needed to grow your career and develop new skills.
We offer flexible work-from-home arrangements.
We are purpose-driven, values-based."
4,,Junior Recruiter,,,6046203442,,Burnaby,Glassdoor,Recruiter,"$43,000 /yr (est.)",2022-03-05,,,,"At Efficiency Solutions Comfort Services (ESCS), we foster a collaborative, fun, and positive environment that challenges the status quo and allows our employees to thrive. Our organization is made up of individuals driven to be the best. We value humility, candor, a sense of humors and individuals whose drive for excellence results in a more rewarding work experience for all employees – individuals that enjoy being part of something bigger than themselves.
The Junior Recruiter will report to the Office Manager and CEO. The successful candidate will play a key role intergrading qualified candidates to our organization.
Responsibilities
Prepare recruitment materials and post jobs to appropriate job board/newspapers/colleges etc"
5,,"Junior Trades Recruiter in Nisku, AB",,,Phoenix Industrial,,Edmonton,Glassdoor,Recruiter,,2022-03-05,,,,"Currently we are looking for a Junior Trades Recruiter to join our Corporate Office!!
Who we Are - We are an Alberta based, family owned industrial contractor with over 25 years of successful industrial construction experience. We are a world-class leader in industrial fabrication, construction and maintenance and have built our company and reputation on ensuring visibility, value and accountability are always in the forefront. We are rapidly growing and are always seeking qualified and talented individuals to join our team.
What We Offer:
Competitive Compensation Package
Employee Benefit Program including Medical and Dental
Employee Assistance Program"
6,,Junior Recruiter,,,Knights On Guard Security,,Toronto,Glassdoor,Recruiter,"$40,000 /yr (est.)",2022-03-05,,,,"As a trusted member of your community since 1989, Knights On Guard Security is a growing family-based, Canadian company, that is committed to offering outstanding employment and career development opportunities within the security industry. We are hiring for a full-time office manager whose main duties are to manage day-to-day activities at our head office located at 7451 Kingston Road, Toronto M1B 5S3. Previous administrative or management experience is required, knowledge of the security industry is a plus. If you are customer-service driven and thrive in a fast-paced environment, we want to meet you!
Duties include, but are not limited to:
Ensure open positions are filled with qualified staff. ·
Review and screen all applications and resumes submitted for employment.
Conduct pre-screen and reference checks on employment candidates. ·"
7,,Virtual Recruiter,,,AGM Renovations,Building & Construction,Hamilton,Glassdoor,Recruiter,"$57,885 /yr (est.)",2022-03-05,,,,"We are growing! We're looking for a highly driven, detail-oriented Recruiter to join our team of professionals, based in Concord. It will support Human Resources and work closely with HR and management staff across each department of our business. This is a remote position.
Duties will include, but are not limited to:
Coordinate and participate in recruitment and selection process including identifying selection criteria; developing questions and tests; screening applications; interviewing candidates in conjunction with hiring manager; verifying references, etc.
Making job offers and preparing and sending out the offer package.
Develop, recommend and implement human resources programs and services in the area of recruitment and retention.
Provide guidance and advice to management and staff on recruitment and selection issues."
8,,Junior Recruiter,,,GoCo,,Toronto,Glassdoor,Recruiter,,2022-03-05,,,,"Who Are We?

GoCo is a next-generation managed service provider that offers robust and flexible business communication technology focused on Unified Communications, Managed Networks/SD WAN, and Network Security to its customers.

We are a group of experienced technology entrepreneurs from different backgrounds who are combining their strengths and expertise to help businesses connect with their customers and the world. We are united in our belief that there is a better way to deliver simple, scalable solutions with speed. We have the scale and resources to bring our vision to life, but also the agility to flex to the needs of our customers along the way."
9,,Recruiter,,,International Credit Experts Inc.,,Vaughan,Glassdoor,Recruiter,$19.50 /hr (est.),2022-03-05,,,,"We are a leading customer care company offering exceptional service for renowned clients in the energy and auto sectors across North America. We are looking to hire a recruiter (3-month contract) to support our growing team. If you're looking for an exciting, new challenge with a great team with the possibility of extension, International Credit Experts is the place to join!
Job Responsibilities:
Manage all aspects of full-time recruitment: from sourcing, evaluating resumes, interviewing candidates and negotiating job offers
Experiment with, and implement, new sourcing methods and advertising options
Strategizing and collaborating to improve the recruitment process
Source and contact passive candidates online and pipelining potential candidates
Support Human Resources team by performing administrative tasks pertaining to the recruitment and onboarding process"
