,id,job_title,job_type,job_exp,company,industries,location,source,search_kw,expected_salary,post_date,job_function,remote,job_summary,description
0,,Director of Laboratory Medicine,,,Island Health,Healthcare Services & Hospitals,Victoria,Glassdoor,Research Director,$77.15 /hr (est.),2022-03-30,,,,"At Island Health, our Vision of excellent health and care for everyone, everywhere every time is at the heart of everything we do. We are looking for a DIRECTOR of LABORATORY MEDICINE who shares our Vision and is committed to improving public health for all the populations we serve.
Island Health exists to support and serve the people of Vancouver Island and the surrounding Islands by providing high quality programs, services and care and the people make our organization. Health care attracts smart, caring individuals who want to make a difference and help people. No matter what area of health care you are in, our multi- disciplinary team's work together to provide the best care to our patients and residents, At Island Health we believe our values guide our actions and relationships, shaping how we make decision and plan for the future. Our vision is, ""Excellent health and care for everyone, everywhere, every time"".
Island Health is an employer that knows our people make the organization. We are the Health Authority for all of Vancouver Island, one of the most livable regions in the world. The South Island is a vibrant urban center with an abundance of recreational and cultural opportunities. We are the largest employer on Vancouver Island with over 27,000 employees, 2.400 Physician partners and 3,000 volunteers and we provide health services to the 850,000 residents of Vancouver Island and adjacent coastal communities."
1,,"Director, Commercial Operations Lead (Mississauga, Canada)",,,Philips,Healthcare Services & Hospitals,Mississauga,Glassdoor,Research Director,,2022-03-30,,,,"Job Title
Director, Commercial Operations Lead (Mississauga, Canada)
Job Description
Effective January 1, 2022, all Canada.-based Philips employees are required to be fully vaccinated against COVID as a condition of employment at Philips. Employees with a documented medical condition or other protected human rights ground that prevent them from participating in COVID-19 vaccination may apply for accommodation. Philips Canada will consider accommodation requests on a case-by-case basis in accordance with applicable human rights legislation."
2,,Study Director - Study Management,,,Charles River Laboratories,Biotech & Pharmaceuticals,Laval,Glassdoor,Research Director,"$68,500 /yr (est.)",2022-03-30,,,,"At Charles River, we are passionate about improving the quality of people’s lives. When you join our global family, you will help create healthier lives for millions of patients and their families.

Charles River employees are innovative thinkers, who are dedicated to continuous learning and improvement. We will empower you with the resources you need to grow and develop in your career."
3,,Director of Toxicology,,,Sterling Hoffman,HR Consulting,Vancouver,Glassdoor,Research Director,"$53,767 /yr (est.)",2022-03-30,,,,"Job Description

A leading company in the biopharmaceutical industry is currently seeking a Director of Toxicology to join their team. The role will be challenging but also highly rewarding and this leader will be a key voice in the company. For the right executive, this is a fantastic opportunity with great growth prospects. Key duties include:

1) Develop overarching toxicology strategy and corporate toxicology policies and serve as a subject matter expert for toxicology, pharmacokinetics and pharmacodynamics of small and large molecule therapeutics
2) Oversee toxicology staff in their execution of toxicology studies
3) Provide operational direction and oversight to ensure that toxicology studies adhere to appropriate guidelines and regulatory test standards"
4,,Laboratory Director,,,Merieux NutriSciences,Biotech & Pharmaceuticals,Dorval,Glassdoor,Research Director,"$90,000 /yr (est.)",2022-03-30,,,,"Take ownership of the business; develop and implement a strategic plan for the laboratory to meet business goalsManage financial aspects of the business including budget development, short and long term financial goal setting, P&L management and executing strategies to achieve goals Understand and take advantage of available resources to help achieve results in a cost effective, safe, ethical manner Develop and maintain expertise in the field of food science and related technologies through available library resources and peer expertise Demonstrate leadership through communication and actions to earn respect and trust of the team Set the tone of integrity, accountability, excellence and initiative by modeling the behavior that is expected from leaders and staff Clearly communicate goals and accountability of achievement across all levels of the workforce Create and foster an environment where coaching and development is a priority to promote employment engagement, career pathing, and organizational succession planning Understand corporate objectives and manage laboratory performance to maintain or improve operational and financial efficiencies aligning with company goals Ensure compliance with Mérieux policies and standard operating procedures striving for the highest level of quality, customer excellence, safety, and efficiency for existing and new business Ensure exceptional internal and external customer experiences through engagement, attitude, communication and serviceParticipate in strategic conversations with sales team and dedicate time to meet with current and perspective clients to understand customer needs and build trusting relationships Develop deep industry knowledge and play an active role in industry events Provide technical expertise to clients by helping them interpret laboratory data and suggesting solutions to their related business challenges Constantly evaluate laboratory from all aspects and challenge the status quo; analyze and derive strategy that is inclusive of change, provide clear goals and continually measure progress Communicate change and stand behind the message; present a united front with corporate partners and leadership team Participate in the implementation of internal quality control programs, evaluation of the results and in the establishment of the internal repeatability and reproducibility of standard methods, including participation in internal and external audits Manage, and check randomly and systematically, that the quality system is documented, effective, updated and being understood and adhered to by the staff. Monitor the quality activities and implement the agreed corrective action and evaluate its effectiveness Manage local controlled documents (Manuals, Procedures, Work Instructions, Charts, Guidelines). Cease specific analyses when evidence from the quality system indicated the process is not in control and the quality of the results are compromised as a result of the non-conformances and (b) to restart work and communicate the resumption of work to Corporate Sales and Quality groups."
5,,"Director, Economic Research",,,The Conference Board of Canada,Civic & Social Services,Remote,Glassdoor,Research Director,,2022-03-30,,,,"Employment opportunity: Permanent, Full-Time
Reports to: Vice President, Economic Research
Location: Remote work arrangement within Canada

We are currently seeking a Director to lead our fast paced and growing Economic Research practice. The Conference Board of Canada is the foremost applied research organization in Canada. Our research teams allow us to study complex issues from multiple perspectives, leveraging our proprietary models and cutting-edge methodologies, supported by a deep understanding of the market, political, and social context they occur. These deeply integrated insights help our clients create meaningful impact within their organization and industry. You will be leading a team of established economic experts and the brightest researchers to provide concrete, independent solutions to the toughest problems.
Our Ideal Candidate… a subject matter expert in economics, has proven success in project management and business development, and has people management experience. We are looking for someone with a strong work ethic, and who is looking to be a leader on a fast-paced team. Commitment to producing high quality work and demonstrating professional values in all aspects of work and interactions with colleagues and customers is a must.
We are a virtual organization and as a remote worker you must be comfortable and able to work 100 per cent of the time from a home office. To be successful as a remote worker you need to have a self-starter attitude, possess strong organizational and time management skills, and be a proactive communicator. Having a home office environment that provides for a productive, professional, and safe work environment during regular working/business hours is a requirement of this role.

About the Role
Leadership Responsibilities

Work closely with Executive Team lead in providing vision and leadership in advancing and growing the portfolio
Strategic orientation with the ability to executive and deliver results
Successfully execute on strategy to achieve goals. Meeting annual revenue, operating and stakeholder impact targets
Manage and evolve a team and oversee the day-to-day operations of the business unit
Demonstrate the values of the organization in all interactions with employees, internal and external stakeholders.

Operational Responsibilities

Anticipate and articulate the emerging trends and critical challenges Canadian leaders face regarding the labour market
Function as the lead subject matter expert and embrace the role of spokesperson for the Board speaking with authority and credibility at conferences, seminars, roundtables and media interviews related to economic impact analysis
Oversee and lead research projects varying in size, scope and complexity focusing on high quality, impactful projects and results
Contribute to the Board's body of knowledge by publishing briefings and reports
Communicate effectively with senior leaders across the organization.

Financial Responsibilities

Demonstrate sound financial management
Collaborate with the Executive Team lead and other members of the senior management team to anticipate, identify, develop and secure short, medium and long-term opportunities
Meet team’s annual revenue and operating targets
Secure funding for custom research projects.

About You


Solid understanding of economics and high-level issues in both the private and public sectors
Master’s degree and/or PhD in economics or a related discipline
Minimum of eight years of similar experience in a consulting or professional, customer focused environment
Outstanding interpersonal skills including the ability to communicate effectively with internal and external stakeholders at all levels
Proven success at managing a team of professional staff
Ability to communicate research findings to senior executives
Proven success at business development including the capacity to identify and implement new growth opportunities
Demonstrated success at the development and delivery of strategic goals and objectives
Extensive network of contacts with thought leaders and key national and international peer organizations
Demonstrated understanding of quantitative and qualitative research methodologies
Ability to write clearly, concisely and quickly - advanced writing skills are essential and published work would be a definite asset
Experience with leading complex projects from inception to completion
Proficiency in the use of computers in an MS Office environment
Availability to travel within in Canada is required
Bilingualism would be a definite asset
Having a home office environment that provides for a productive, professional, and safe work environment during regular working hours is a requirement of this role. This includes internet service and a reliable connection.

How to Apply
Applications must be submitted through our Careers’ page.
We value the unique skills, experiences, and insights that each employee brings to The Conference Board of Canada. We are committed to fostering an inclusive and accessible work environment where everyone feels valued, respected, and supported. If you require an accommodation at any point during the recruitment process, please email cbocjobs@conferenceboard.ca and we will work with you to meet your needs.
We wish to thank all applicants for their interest in The Conference Board of Canada. Please note that only those selected for an interview will be contacted.
E-mail us if you’re interested in this job"
6,,"Director, Biometric Research",,,Munich Re,Insurance Operators,Toronto,Glassdoor,Research Director,"$88,386 /yr (est.)",2022-03-30,,,,"Director, Biometric Research
The Biometric Research team is looking for a Director on their team in Toronto.

Location
Toronto , Canada
Directors lead a team of actuaries to complete North American experience studies, assumption development, support reinsurance pricing and to conduct research projects.
This position has direct reports who are junior and/or senior Actuarial Associate/Actuaries.
The Director’s reports may work with other Biometric Research Directors and vice versa based on project and quote opportunities."
7,,Research and Innovation Director,,,University of Alberta,Colleges & Universities,Edmonton,Glassdoor,Research Director,"$89,736 /yr (est.)",2022-03-30,,,,"ENG Dean Of Engineering
Competition No. -
A100147651

Closing Date -
Will remain open until filled.



While this position welcomes applications from the public, please note that preference will be given to current employees at the University of Alberta. Please indicate your internal status using the ""Advertisement"" drop down menu when applying.



COVID-19 Vaccination: Proof of full vaccination against COVID-19 in compliance with the University’s COVID-19 Vaccination Directive. Fully Vaccinated means a status an individual achieves 14 days after having received the recommended number of doses of a COVID-19 vaccine approved by Health Canada or the World Health Organization, and requires the individual to maintain the recommended number and type of vaccine doses as updated and required by Health Canada thereafter."
8,,Director of Commercial Real Estate Research,,,Marcus & Millichap,Real Estate,Vancouver,Glassdoor,Research Director,,2022-03-30,,,,"Marcus & Millichap, a leading commercial real estate brokerage and financing services company with nearly 2,000 investment sales and financing professionals in 80 offices in Canada and the United States, is seeking a Director of Canada Research based in either the Toronto or Vancouver office.

Marcus & Millichap is seeking candidates to join its industry-leading Research Services team. We are looking for people who share our passion for analyzing and interpreting economic, commercial real estate and investment data for key trends, then synthesizing it into reports, analyses and presentations that investors can use to make better-informed commercial real estate investment decisions.

Summary:
The Director of Canada Research is responsible for leading commercial real estate market analytics and intelligence initiatives throughout Canada. The Director will oversee the gathering, evaluation and interpretation of various economic and commercial real estate information sources, then translate the synthesized interpretation into a variety of reports, analytics and presentations. This position reports to the Vice President, Director of Research Operations (in the U.S.) and will supervise research personnel in Canada."
9,,"Director of Policy, Research & Advocacy",,,Amnesty International Canada,,Ottawa,Glassdoor,Research Director,"$108,773 /yr (est.)",2022-03-30,,,,"*Director of Policy, Research & Advocacy*
Hours: Full-time (37.5 hours/week)
Duration: Permanent
Location: Ottawa or Toronto
Starting Salary: $108,773 per annum.
Travel: Some travel required as travel restrictions allow
Deadline: Applications accepted until 5pm (eastern time), Friday, April 15
The Director of Policy, Research and Advocacy will join Amnesty International Canadian Section (English Speaking) during an exciting time as the organization moves forward with its new strategic framework. This individual will work closely with the colleagues across the section to implement improved processes, practices, systems, and tools within the Programs department to ensure they are equitable, transparent, and efficient."
