,id,job_title,job_type,job_exp,company,industries,location,source,search_kw,expected_salary,post_date,job_function,remote,job_summary,description
0,,Research Lead,,,Huntington Society of Canada,,Canada,Glassdoor,Research Manager,,2022-03-29,,,,"JOB POSTING: Research Lead
(Full-time Permanent)
Are you:
· Passionate and excited about research?
· Ready to support HSC as it continues to grow and become a more formidable and recognized leader in the global Huntington Disease (HD) space?
· Organized and able to juggle competing priorities?
The Huntington Society of Canada (HSC) is a leading Canadian charity dedicated to a world free from HD. Our team is in search of a Research Lead to assist the organization in furthering its mission and strategic objectives related to research. This newly created position reports to the Chief Executive Officer."
1,,Market Research Manager (Remote),,,Funded.club,Information Technology Support Services,Toronto,Glassdoor,Research Manager,,2022-03-29,,,,"Perksy, Inc.
Position: Market Research Manager
Department: Research & Customer Success
Our team at Perksy is looking for a Market Research Manager to help us build the future of feedback. The Market Research Manager will lead research execution for our clients and ensure that each campaign provides our brand and agency customers with actionable insights based on reliable data. He/she will build market research surveys for clients from the ground up and guarantee high-quality results are delivered on time and on budget. The ideal candidate will be a highly motivated individual with a can-do attitude who collaborates effectively with both our clients externally as well as Sales & Marketing as well as Product group internally."
2,,Research Manager - DeMarco lab,,,University of British Columbia,Colleges & Universities,Vancouver,Glassdoor,Research Manager,"$80,082 /mo (est.)",2022-03-29,,,,"Staff - Non Union
Job Category
M&P - AAPS
Job Profile
AAPS Salaried - Research and Facilitation, Level B
Job Title
Research Manager - DeMarco lab
DeMarco Laboratory | Department of Pathology and Laboratory Medicine | Faculty of Medicine
5,468.83 - $7,878.17 CAD Monthly
April 25, 2022
May 15, 2023"
3,,Research Manager - Knowledge & Systems (031722),,,Sunnybrook Health Sciences Centre,Healthcare Services & Hospitals,Toronto,Glassdoor,Research Manager,,2022-03-29,,,,"We currently have a Regular Full-time opportunity for a Research Manager in the Knowledge & Systems department at Sunnybrook Health Sciences Centre.
Title: Manager, Research
Department: Knowledge & Systems
Reporting Relationships: Reports to: Director, Knowledge & Systems
Direct Reports: Research Officers (2)
Sunnybrook is a premier academic health sciences centre, fully affiliated with the University of Toronto, with a vision to invent the future of health care. Today, with 1.2 million patient visits each year, Sunnybrook has established itself across three campuses and is home to Canada's largest trauma centre."
4,,Assistant Research Manager,,,Canadian Development,,Ottawa,Glassdoor,Research Manager,"$88,844 /yr (est.)",2022-03-29,,,,"Title: Assistant Research Manager

Position Type: Full-time
Term: 12-month contract
Location: Ottawa
Closing Date: 17/04/2022

Founded in 1998, CDCI Research is Canada’s largest historical research management and litigation support company. CDCI Research has offices in both Ottawa and Vancouver and provides litigation support, historical and applied research and records management to public and private sector clients across Canada. To learn more about CDCI, please visit our website at www.cdci.ca."
5,,"Manager, Policy and Research",,,Government of Saskatchewan,Government Agencies,Regina,Glassdoor,Research Manager,"$97,284 /mo (est.)",2022-03-29,,,,"Manager, Policy and Research - RES005949
Employment Type: Permanent Full-time
Location(s): SK-Rgna-Regina
Ministry: 018 Finance
Salary Range: $7,049-$9,165 Monthly
Grade: MCP.07.
About Us
The Public Employees Benefits Agency (PEBA) administers two of Canada’s top 100 Pension Funds, including Canada’s top Defined Contribution Pension Plan, along with a number of other pension and benefit programs. Our vision of Fostering Financial Wellness leads the work we do in providing valuable pension and benefit services to the over 100,000 members we are proud to serve."
6,,Research Manager,,,Simpson Associates,Information Technology Support Services,Vancouver,Glassdoor,Research Manager,"$83,870 /yr (est.)",2022-03-29,,,,"Our retained executive search group, Simpson Associates, continues to grow through these turbulent times. As such, we are looking to bring on an experienced research manager in our recruiting department. This indiviudal would report directly to the President, and would oversee most of the senoir search work - VP’s and up. We are looking for an individual who has a very strong interest in corporate psychology (training will be provided) and wants to build a serious, long-term career in the executive search industry. This is a salaried position, with bonus and full benefits.
Responsibilities include:
· Carrying out search work start to finish
· Leading candidate sourcing, interviewing and assessment debriefs"
7,,Research Manager ( Remote),,,World Education Services,Colleges & Universities,Toronto,Glassdoor,Research Manager,"$75,000 /yr (est.)",2022-03-29,,,,"WES Canada is seeking a Research Manager with demonstrated experience developing and executing a research agenda of policy-relevant research projects to join our social impact team. The Research Manager will join a team working to catalyze solutions and create systems change that will allow immigrants, refugees, and international students to make full use of their education, experience, and competencies in the Canadian labour market.
The Research Manager, in collaboration with the Director and Associate Director of Strategy, Policy, and Research, sets the research agenda for WES Canada’s social impact work to support skills commensurate labour market integration of immigrants, refugees, and international students.
The Manager works in close collaboration with all WES Canada social impact departments to support research needs and collaborates with communications and knowledge mobilization staff to ensure research reaches target audiences. The manager recruits and oversees research interns as required."
8,,Research Project Manager,,,Ipsos North America,Business Consulting,Vancouver,Glassdoor,Research Manager,"$60,324 /yr (est.)",2022-03-29,,,,"About Ipsos

Ipsos is the world’s third largest market research company, present in 90 markets and employing more than 18,000 people. Our passionately curious research professionals, analysts and scientists have built unique multi-specialist capabilities that provide true understanding and powerful insights into the actions, opinions and motivations of citizens, consumers, patients, customers or employees. We serve more than 5000 clients across the world with 75 business solutions.

Founded in France in 1975, Ipsos is listed on the Euronext Paris since July 1st, 1999. The company is part of the SBF 120 and the Mid-60 index and is eligible for the Deferred Settlement Service (SRD).


Required Skills

Required Experience"
9,,Agricultural Research & Development Manager,,,Cavendish Farms,Machinery Manufacturing,New Annan,Glassdoor,Research Manager,,2022-03-29,,,,"AGRICULTURAL RESEARCH & DEVELOPMENT MANAGER

Cavendish Farms is a leading producer of frozen food products for retail and foodservice throughout Canada, the United States, and around the world. We have state-of-the-art potato processing plants in Prince Edward Island, Lethbridge, Alberta and Jamestown, North Dakota, and an appetizer plant in Whealtey, Ontario. Our Head Office is in Dieppe, New Brunswick and has sales office locations in Toronto and Boston.

The Agricultural Research & Development Manager will be responsible to create synergies and develop new agricultural products and practices to support potato commercial program. This role emcompases 3 main pillars; innovation, variety development and technical support to see & commercial growers. Development of strategic projects in collaboration with public and private Agricultural Research institutes, to look for top technologies available to support Cavendish Farms business, management of the potato variety program, provide technical support to growers and establishment of innovative projects."
