,id,job_title,job_type,job_exp,company,industries,location,source,search_kw,expected_salary,post_date,job_function,remote,job_summary,description
0,,Senior Research Scientist,,,Coloursmith,,Halifax,Glassdoor,Research Scientist,"$70,000 /yr (est.)",2022-04-02,,,,"STATEMENT OF INTENTION
We encourage applications from Black, racialized and Indigenous Peoples, 2SLGBTQ+, newcomers to Canada, and people with disabilities. If you are a member of a group that has been historically excluded from opportunities, we encourage you to self-identify in your cover letter or resume and to share your pronouns.
We are committed to treating all applicants fairly and accommodating those with disabilities at any stage of the hiring process.
ABOUT
Coloursmith Labs Inc. (“Coloursmith”) is an optical technologies company founded on the idea of creating contact lenses that could correct for colour blindness. Coloursmith’s team of scientists are building on their technological breakthrough to unleash the potential of modern eyewear. The technology manipulates light passing through lenses - allowing you to see a super-coloured world, while protecting your vision."
1,,"Research Scientist, Deep Learning and Computer Vision",,,GeologicAI,,Toronto,Glassdoor,Research Scientist,,2022-04-02,,,,"About Us:
Enersoft Inc. is a Calgary-based startup developing and deploying exciting new technologies for the energy and mining sectors under the GeologicAI brand. We build innovative geological robots that scan rocks, train machine learning algorithms to analyze the data, and develop creative software that makes all our results incredibly useful for finding and extracting natural resources. We are well-funded and growing rapidly and looking for amazing people to join our team.
What You’ll Do"
2,,Scientist - Medical Devices - Research and Development - Ottawa Full time,,,CorGTA Inc.,,Ottawa,Glassdoor,Research Scientist,"$107,500 /yr (est.)",2022-04-02,,,,"Role: Scientist - Medical Devices - Research and Development
Structure: Full-time
Location: Ottawa / Kanata, Ontario
Hours: Monday - Friday (business hours)
We currently have an opportunity for a full-time role for a Scientist - Medical Devices - Research and Development working for a medical devices product company.
The required skills for this role will be:
Degree in microbiology, biochemistry, molecular biology or relevant discipline
Minimum 2 years of experience with design-controlled verification and validation activities
Knowledge of ISO 13485 and ISO 14971 is an asset"
3,,Research Scientist,,,Adecco Canada,HR Consulting,Ottawa,Glassdoor,Research Scientist,,2022-04-02,,,,"Adecco is currently hiring for a temporary full-time Research Scientist to work a one year term with our client, an established company specializing in point-of-care diagnostics equipment. In this role, you will be utilizing data analysis and statistical methods for raw material and equipment verification, supply continuity, experiment design, and optimization of process procedures. Get your foot in the door and expand your career with this unique and exciting employer!

The ideal candidate would have an Undergrand (4-year program) Degree or equivalent experience in Chemistry, Biochemistry, Chemical Engineering, or another relevant field.
Location: Ottawa, ON
Shifts: 8 AM - 5 PM | Monday to Friday
Job type: Full-time | Temporary
Don't miss out on this job in This is your chance to get your foot in the door and expand your career with an established company in a unique and exciting industry. Apply now and you will hear back from an Adecco Recruiter soon.

To find out more about Adecco Perks and how it can benefit you as an associate visit our page here: https://www.adecco.ca/en-ca/working-with-a-staffing-agency/adecco-perks/

@@j

CAAP1956"
4,,"Research Scientist, In Vitro Biology",,,Xenon Pharmaceuticals Inc.,Transportation Management,Vancouver,Glassdoor,Research Scientist,,2022-04-02,,,,"Xenon Pharmaceuticals (NASDAQ: XENE) – a biopharmaceutical company with operations in Vancouver, BC, Canada and Boston, MA, USA – is committed to delivering innovative medicines to provide a brighter future for patients suffering from neurological disorders.
At Xenon, we are advancing an exciting pipeline of neurology-focused therapies, with a particular emphasis on novel treatments for both adult and pediatric patients with epilepsy. XEN496 is currently being evaluated in the Phase 3 “EPIK” clinical trial in young patients with KCNQ2-DEE, a rare and severe form of childhood epilepsy. Late-stage development plans are also underway for our XEN1101 program, building upon the compelling data from the Phase 2b “X-TOLE” study in adult patients with focal epilepsy. We are also proud of the leading-edge science coming out of our discovery labs, with many early-stage research programs underway. In addition to Xenon’s proprietary programs, we have ongoing collaborations with our valued pharmaceutical partners. With a healthy balance sheet to support our growth plans, we continue to build a fully-integrated, premier neuroscience company with strong discovery, development, and commercial operations."
5,,Research scientist,,,Primary Peptides Inc,,Vancouver,Glassdoor,Research Scientist,,2022-04-02,,,,"Job Description:
Primary Peptides Inc., is a clinical-stage biotechnology company focused on creating new therapeutics via protein manipulation. We are currently developing novel peptide therapeutics focused on hard to drug targets in the areas of Cardiovascular Disease (CVD), Oncology and Neurodegeneration. Our goal is to develop life transforming therapeutics for patients in need. Learn more about us at http://www.primarypeptides.com/
Dr. Max Cynader is a renowned professor at the Department of Ophthalmology & Visual Sciences, Faculty of Medicine, UBC. He is the Founding Director of the Djavad Mowafaghian Centre for Brain Health at UBC. He has received many awards and has founded four successful companies. Learn more about Dr. Cynader at https://www.centreforbrainhealth.ca/cynader-max
Primary Peptides Inc. is working with Dr. Max Cynader at UBC to hire 2 research scientists to work on collaboration projects in severe human diseases with unmet medical need."
6,,Research Scientist,,,Pharma Planter,,Burnaby,Glassdoor,Research Scientist,,2022-04-02,,,,"At PharmaPlanter Technologies, we transform scientific ideas into fully realized products. We are here to help you translate your brilliant ideas and research discoveries into materialized products. If you are interested in any of our openings, please forward your resume to: careers@pharmaplanter.com
We are looking for self-motivated scientists who are excited about product development and can concurrently work on multiple research and development projects. Research scientists should be comfortable working independently, be flexible to changing demands and work closely with the company’s scientific head.
Qualifications:
The applicant must have a positive attitude when facing challenges
Broad technical experience in molecular and cell biology
Minimum Bachelor of Science (BSc) degree in a related discipline such as Biology, Immunology, Biochemistry or Microbiology"
7,,"Research Scientist, Gene Expression",,,Aspect Biosystems,Biotech & Pharmaceuticals,Vancouver,Glassdoor,Research Scientist,"$59,943 /yr (est.)",2022-04-02,,,,"Research Scientist, Gene Expression
VANCOUVER, BRITISH COLUMBIA /
THERAPEUTIC CELL PLATFORMS /
PERMANENT, FULL-TIME
We are seeking a Research Scientist, Gene Expression to join Aspect’s therapeutic cell platforms team to help advance our bioprinted tissue therapeutics. In this role, you will use our microfluidic 3D bioprinting technology to support designing, manufacturing, and testing bioprinted tissues for pre-clinical use and as therapeutics. This is an exciting opportunity to work closely with a team of cell biologists, biomaterials experts, and engineers to develop bioprinted tissue therapeutics that could transform the way we develop medicines and treat disease.
What You Will Do"
8,,"research scientist, chemistry",,,Blue-O Technology Inc.,Research & Development,Burnaby,Glassdoor,Research Scientist,"$65,000 /yr (est.)",2022-04-02,,,,"or equivalent experience
Business Equipment and Computer Applications
MS Excel
MS PowerPoint
MS Word
MS Outlook
Analytical Techniques
Instrumentation"
9,,Research Scientist (1-year term),,,Canadian Wildlife Federation,,Remote,Glassdoor,Research Scientist,,2022-04-02,,,,"Your Connection to Wildlife
As one of Canada’s largest not for profit leaders in wildlife conservation, research, and advocacy, we are seeking to fill the following position…
Research Scientist (1-year term)
Position Overview:
The Canadian Wildlife Federation (CWF) is seeking a Research Scientist to support our fisheries evaluation work examining (industry) costs and (conservation) benefits of fisheries management and fishing gear used throughout Atlantic Canada and BC, with respect to the risk posed to entangle marine mammals. This position will work closely with the CWF Fisheries Management Specialist and the Senior Conservation Biologist and will involve predictive risk modeling and hypothesis testing, data collection and management, and the production of detailed reports and scientific publications."
