,id,job_title,job_type,job_exp,company,industries,location,source,search_kw,expected_salary,post_date,job_function,remote,job_summary,description
0,,Sales Executive (3 Years Sales Exp Required) (On-site),,,MHC Men’s Health Clinic Ltd,,Victoria,Glassdoor,Sales Executive,"$100,000 /yr (est.)",2022-03-29,,,,"Sales Executive (3 Years Sales Exp Required)
Company description
Proudly established a decade ago, MHC Men's Health Clinic are now one of the fastest growing telehealth companies in the world. Under the strict guidance of our doctors and medical professionals over a period of 6 – 12 months, we empower men of all ages to restore their manhood, health and well-being, and confidence.
Job description
Are you an extraordinary B2C sales person?
THE WORLD IS CHANGING FAST…"
1,,Sales Executive (m/f/d),,,RepRisk,Research & Development,Toronto,Glassdoor,Sales Executive,,2022-03-29,,,,"About You
Are you looking to combine your assertiveness, strong drive, sales skills, and can-do attitude with a meaningful job in a growing market? Did you wonder what it would be like to work at a company where your contribution has a real, measurable impact – and you are rewarded for it? Do you love to connect with people in a professional environment? Are you a highly motivated and organized person who is interested in commercial discussions while growing close relationships with your clients? Are you self-driven with an entrepreneurial spirit, always going the extra mile with passion? Do you undertake your work with excellent service standards? Do you adapt well to changing priorities and tasks while always striving to deliver the best quality without missing a deadline? Do you undertake your work with a high attention to detail?
Your Responsibilities"
2,,Accounts Executive,,,Asic Jungle,,Montreal,Glassdoor,Sales Executive,"$118,600 /yr (est.)",2022-03-29,,,,"We are hiring!
About us
Bitcoin mining is one of the fastest-growing industries in the world right now, with an industry size of over 4-billion dollars. With the industry growing at unprecedented rates, miners seek new and innovative ways to fulfil their procurement needs. Asic Jungle is a leading player in the mining hardware space with its brokerage and marketplace services.
Founded in 2020, Asic Jungle quickly became an established player in the mining hardware brokerage space, having sold over $50,000,000 worth of hardware in 2021 alone. We strive to provide our clients with the best possible experience when acquiring hardware, starting a new mining operation or growing an existing one.
Being part of an industry that has 10X in value over the past year requires unprecedented levels of flexibility and versatility from our team members. Asic Jungle is built on a set of core values: trust, leadership and willingness to learn. We want to do more than just our job, we want to change lives, impact the future and be something bigger than ourselves. We want to leave a long lasting legacy that will last a lifetime."
3,,Sales Executive,,,Boix Machinery USA LLC,,Leamington,Glassdoor,Sales Executive,"$80,000 /yr (est.)",2022-03-29,,,,"Technical Sales
Boix USA in Canada
ROLES/RESPONSABILITIES
· Sales of Boix machines, complements and accesories in Canada area
· Sales of machines maintenance contracts (After-Sales)
· Assessment of spare parts and toolings
· Opening up contacts with new customers in the country
· Building and maintaining new and current bussiness volumen in the assigned country and region"
4,,Air Filter Sales Executive,,,MODERN AIR FILTERS CORPORATION,,Mississauga,Glassdoor,Sales Executive,"$65,500 /yr (est.)",2022-03-29,,,,"Since 2010 Modern Air Filters has been manufacturing various types of air filters for HVAC industry. We are constantly growing. We are conveniently located in proximity to the pearson airport.
We are looking for a competitive and trustworthy Sales Executive to help us build up our business activities.
Sales Executive responsibilities include discovering and pursuing new sales prospects, negotiating deals and maintaining customer satisfaction. If you have excellent communication skills and feel comfortable reaching out to potential customers to demonstrate our services and products through email and phone, we’d like to meet you.
Ultimately, you’ll help us meet and surpass business expectations and contribute to our company’s rapid and sustainable growth.
Responsibilities"
5,,Sales and Marketing Executive,,,IRIX Design Group Inc.,,Vancouver,Glassdoor,Sales Executive,,2022-03-29,,,,"We are looking for an enthusiastic and self-motivated sales & marketing executive who is keen to learn about and pursue a career in the field of marketing and advertising.
Job Description:
You will be involved in the sales process from servicing and growing existing accounts, liaising with production team and external vendors, prospecting and generating new business, to closing the sale.
Requirements:
· Bachelor's or equivalent qualification in marketing/communications or a related field
· 2+ years of working experience in marketing/communications or in a related field"
6,,B2B Sales Executive,,,Stadia Industries Ltd,,Toronto,Glassdoor,Sales Executive,"$77,500 /yr (est.)",2022-03-29,,,,"DO NOT SEND RESUME - PHONE CALLS ONLY
All sales has always been oriented around great unscripted phone conversation with strangers. Going off script, not being afraid ""not to be smarmy""
Must be able to Talk to a stranger like a old best friend still curious with a sense of familiarity... without assumption.
Covid... no, covid sales hasn't changed.... hunting hasn't changed...
Sales people that leave voicemail to strangers and send an introduction email are killing time.
Want to price and pray... in the name of fake busy, don’t call..."
7,,Market Sales Executive,,,"Marriott International, Inc",,Ottawa,Glassdoor,Sales Executive,,2022-03-29,,,,"Posting Date Mar 29, 2022
Job Number 22049021
Job Category Sales & Marketing
Location The Westin Ottawa, 11 Colonel By Drive, Ottawa, ONT, Canada
Brand Westin Hotels & Resorts
Schedule Full-Time
Relocation? N
Position Type Management
Located Remotely? N

At Westin, we are committed to empowering the well-being of our guests by providing a refreshing environment, thoughtful amenities, and revitalizing programming to help ensure that they leave feeling better than when they arrived. We recognize that travel can be disruptive to our guests’ well-being, and we’re energized to assist as partners in helping them maintain control and soaring above it all while on the road. Everything we do is designed to help guests be at their best, and they appreciate our supportive attitude, anticipatory service and extensive knowledge on how to best assist them throughout their stay. We are looking for dynamic people who are excited to join the team and ready to jump into any situation to give a helping hand. If you’re someone who has is positive, adaptable and intuitive, and has a genuine interest in the well-being of others around you, we invite you to discover how at Westin, together we can rise."
8,,Closer/Sales Executive,,,Canadian POS,Financial Transaction Processing,Montreal,Glassdoor,Sales Executive,"$65,000 /yr (est.)",2022-03-29,,,,"(French to Follow)
Canadian POS is one of the top payment solution providers in Canada. We are seeking motivated closers to join our growing team. Our sales team are some of the top earning Salesmen in Canada with our uncapped commission structure and hourly wages. With a large Lead Gen team, our sales department is give an unlimited opportunity to excel.
We are located Downtown
Job Summary:
If you are motived, dedicated and have the drive to be at the top of the industry, then this is the place for you! We have the experienced management and sales team to help you achieve your goals and realize your full potential."
9,,Sales Executive,,,Pathway Communications,"Cable, Internet & Telephone Providers",Markham,Glassdoor,Sales Executive,"$75,000 /yr (est.)",2022-03-29,,,,"Pathway Communications is a leader in technology management solutions and counts some of Canada's best brands as its clients. We are looking for highly motivated Sales Development Representatives to join our fast-growing Sales Team.
We'll help you build your career in Sales while you collaborate with a diverse team of talented individuals who successfully identifies and contacts prospects, builds healthy pipelines and manages the sales cycle from proposals to contracts.
The ideal candidate has a passion for sales, a razor-sharp attention to detail, an analytical mind, and the ability to execute and optimize multiple campaigns for multiple clients. If you are a self-starter who is deeply passionate about customer happiness, read on.
What you will be doing"
10,,Sales Executive,,,Avron Distribution Ltd,Wholesale,Delta,Glassdoor,Sales Executive,"$100,000 /yr (est.)",2022-03-29,,,,"Avron Distribution is a proudly Canadian company launched in 1994 which has grown to have thriving locations in the GTA, Vancouver, and Montreal. We are a leader in our industry and greatly improve the lives of Canadians by supplying a wide variety of products to facilities for children and seniors. Our products include food, educational and multi-sensory resources for all ages and abilities. We also specialize in permanent and mobile solutions to promote learning, cognitive, and physical development. Learn more at avron.ca.
Why Join Us:
· We are growing!!
· Competitive compensation
· Group Benefits and RRSP program"
11,,Junior Sales Executive,,,PSC Commercial,,Ottawa,Glassdoor,Sales Executive,"$92,500 /yr (est.)",2022-03-29,,,,"Commercial Sales Representative
Compensation: $65,000 - $120,000 a year – Full-time, permanent
Seeking Corporate/Commercial Inside and Outside Sales Professionals
B2B sales experience preferred
We are looking for ambitious individuals with a strong work ethic to join our team. The ideal candidate is a self-motivated individual with strong interpersonal and communication skills.
As a Commercial Sales Representative, you need to have a passion for customer service and thrive in a fast-paced environment. This vital quality allows you to be a team oriented individual who enjoys working with others."
12,,Sales Executive,,,Ink and Water,,Toronto,Glassdoor,Sales Executive,"$50,000 /yr (est.)",2022-03-29,,,,"Job Description
Ink & Water Tattoo is one of Canada’s top tattoo studios with multiple locations in Toronto & New York. This is your opportunity to change a growing industry. As a Account Executive, you are dedicated to delivering an exceptional and discerning service, connecting reputable artists to sophisticated clients for tattoo services in our studio. As a team member, you will actively participate in organizing and completing a high volume of booking requests. The successful candidate is highly detailed, an exceptional problem solver, can remain calm under pressure, motivated to tackle high volume, is a polished communicator and understands the importance of delivering superior customer service.
Responsibilities:
Primary liaison between our artists and prospective clients to complete tattoo booking requests in a very timely and accurate manner."
13,,In office or Remote Sales Executive,,,Automatic Closers,,Markham,Glassdoor,Sales Executive,"$125,000 /yr (est.)",2022-03-29,,,,"As an executive sales rep in our agency, you’ll be a part of one of the fastest-growing, high-performance inside sales teams in Canada. Accompanied by ambitious and skilled sales professionals, you will have the opportunity to learn and master the highest paying skill in the world; sales while implementing strategies used by 6-7 figure earners in our agency.
What do we do?
Our sales agency Automatic Closers (formerly known as World Class Sales Agency) is one of the first of its kind taking advantage of a massively growing market in digital education. The high-profile clients that we work with offer advanced coaching and digital education and hire us to optimize their sales process.
Our marketing team builds and scales high-budget digital campaigns and funnels to generate hundreds of leads daily."
14,,Sales Executive,,,Affinity IFS,,Toronto,Glassdoor,Sales Executive,"$115,000 /yr (est.)",2022-03-29,,,,"Sales Executive - Commission Only
Job Description The primary role of the Sales Executive is to secure new client accounts utilizing proven industry techniques such as networking, cold calling and advertising. The successful candidate will possess a combination of knowledge, skills, experience and aptitude to successfully meet the needs of our existing client base while fostering and developing new relationships with potential clients. The role of the Sales Executive requires a keen sense of market trends with regard to proposing solutions/services to the client that will meet their expectations. The position of Sales Executive is the pipeline through which the company maintains and grows the business. The qualified candidate shall have the ability/desire to perform the following duties.
Duties
Grow the client base and maximize all sales opportunities"
15,,Sales Executive,,,Highlight Motor Freight Inc.,,Concord,Glassdoor,Sales Executive,,2022-03-29,,,,"Highlight Motor Group
Concord, ON
Highlight Motor Group is one of the fastest growing transportation companies in GTA. As a result of our driven marketing approach and second-to-none work ethic, we are experiencing tremendous growth. In order to keep up with our growth we will be seeking experienced, professional, energetic, goal-oriented individuals to complement our organization.
Highlight Motor Group offers an exciting, fast-paced environment that has ideal positions for someone who is looking for a REAL career move. To work for Highlight Motor Group you must have great people skills, communicate well, have a team oriented personality, and have the desire to set and achieve goals. As our company is constantly expanding, we are looking for those candidates who are highly motivated and driven by the opportunity for financial reward and career advancement in the family like working environment."
16,,Sales Executive,,,MetaOptima,Enterprise Software & Network Solutions,Vancouver,Glassdoor,Sales Executive,,2022-03-29,,,,"What do you envision your next career to look like? Join MetaOptima to make a difference in the lives of millions as we revolutionize the dermatology industry with artificial intelligence-powered software solutions for faster, more effective, and affordable care. MetaOptima is full of passionate, innovative people who thrive on working together as a team to build smart, life-saving technologies for medical professionals and their patients. Our casual, open-office culture welcomes fresh ideas from the minds of doers. Join our fast-growing startup to add your voice to our vision while working with a great group of people set on making their mark on the world. We take pride in what we’ve accomplished together, and can’t wait to see how you’ll help us grow.

A team who works together, wins together. We’re excited to share some of our accomplishments with you:
A BCIC New Ventures Competition Winner
Plug and Play Startup Showdown Winner"
17,,B2B Account Executive,,,Jumpfactor,HR Consulting,Toronto,Glassdoor,Sales Executive,"$110,000 /yr (est.)",2022-03-29,,,,"Remote Sales Account Executive
WHO WE ARE:
Jumpfactor is an Award-winning 4 time Growth500 Fastest growing Agency in Canada. We are a dynamic, fast-paced and integrated digital inbound marketing agency. We’re best suited for motivated self-starters. We specialize in B2B services and technology marketing.
If you are smart, hungry and aggressive then this could be the role for you. In this role there is a base and commission and you will have the opportunity to earn six figures ($140K+) in your first year.
CORE VALUES:
We are strategic"
18,,Sales Executive,,,Trubuild Custom Homes,,Mississauga,Glassdoor,Sales Executive,"$100,000 /yr (est.)",2022-03-29,,,,"At TRUbuild Renovations, we are seeking a qualified sales representative to help us sell the services that our customers have grown to rely on. The sales representative will have a strong understanding of the sales process, excelling at generating leads and following up with many company generated leads. Must be very familiar with residential construction from renovations to additions. The ideal should strong negotiating skills, work independently. Create your own hours as long as you are always selling.
Responsibilities:
Present, promote and sell products/services using solid arguments to existing and prospective customers
Perform cost-benefit and needs analysis of existing/potential customers to meet their needs
Establish, develop and maintain positive business and customer relationships"
