,id,job_title,job_type,job_exp,company,industries,location,source,search_kw,expected_salary,post_date,job_function,remote,job_summary,description
0,,Sales Manager,,,Systèmes Sous-sol Québec,,Laval,Glassdoor,Sales Manager,"$75,000 /yr (est.)",2022-03-31,,,,"Job description
Systèmes Sous-sol Québec is looking for a Sales Manager to join its team!
We are recommended by: CAA-Quebec, APCHQ and ACQ. We were voted #1 Canadian Dealer at the Contractor Nation 2018 and 2020 annual convention and we are the recipient of the 2019, 2020 and 2021 Consumer Choice Awards.
Systemes Sous-sol Québec is a regional leader in the foundation repair, waterproofing basements, crawlspaces, basement finishing and much more!
What are you waiting for? Lets build something extraordinary together. Apply now to join our team!
The opportunity:"
1,,Sales Account Manager,,,Uline,Logistics & Supply Chain,North York,Glassdoor,Sales Manager,"$90,000 /yr (est.)",2022-03-31,,,,"Sales Account Manager
From $80,000 to $100,000 per year
Spend your work week in the field, not at your desk. As a member of Uline’s sales team, you’ll meet with customers on-site and help them grow their business with products you’re proud to deliver. With territories across North America, grow your sales career with Uline.
Position Responsibilities
Actively manage and grow accounts in a unique outside sales territory as a sales account manager. This will include a large, pre-existing customer base."
2,,Bus Sales Manager,,,Navistar Canada ULC,,Canada,Glassdoor,Sales Manager,"$115,000 /yr (est.)",2022-03-31,,,,"Navistar Canada, ULC*., is a leading producer of International® brand commercial and military trucks, and IC Bus™ brand school and commercial buses.
International® brand commercial trucks and engines, IC Bus® brand school and commercial buses, all-makes OnCommand® Connection advanced connectivity services, aftermarket parts brands Fleetrite®, ReNEWed® and Diamond Advantage® and Brazilian manufacturer of engines and gensets MWM Motores Diesel e Geradores.
With a history of innovation dating back to 1831, Navistar has more than 12,000 employees worldwide and is part of TRATON SE, a global champion of the truck and transport services industry.
Why Navistar?
Navistar has redesigned most of the International Truck vehicle line-up, including the LT Series and RH Series tractors, HX Series vocational truck, and soon to be introduced HV Series and MV Series trucks. The company is witnessing market share growth in several of its core segments, a testament to the customer acceptance of its new products"
3,,Sales Manager,,,OEC Group (Canada),Logistics & Supply Chain,Richmond,Glassdoor,Sales Manager,"$67,366 /yr (est.)",2022-03-31,,,,"The OEC Group, a leading International Freight Forwarder and logistics provider worldwide, with offices in Montreal, Toronto, Vancouver and affiliates globally, is looking for dynamic, highly motivated team players who are dedicated to excellence and welcome challenging and rewarding opportunities. We offer excellent benefits, opportunities for growth within the company and salary commensurate with experience. OEC Group is an equal opportunity Employer.
We are actively seeking to fill the regular full-time Sales Manager role at the office located in Richmond, BC. This opportunity is for an individual seeking to develop business relationships and while providing international freight forwarding services.
Responsibilities:
Reporting to the Director – Sales & Customer Service, Central & Western Canada , the Sales Manager will be responsible for prospecting new clients to offer them value added logistics/freight forwarding services and solutions.
*"
4,,Sales Manager (Work From Home),,,One Janitorial,,Toronto,Glassdoor,Sales Manager,"$102,000 /yr (est.)",2022-03-31,,,,"At One Janitorial we value ** Massive Action ** 100%countability ** Client-first policy *** Quick Response *** Solution-Oriented Reactions *** Transparent Working Processes.
For over 10 years, One Janitorial is the number one Janitorial Company when it comes to consistency, dominating its industry and continuing to grow across North America. With the strong culture and eagerness to expand, One Janitorial is seeking a motivated Sales Manager to help our Sales Team reach our Sales Goals.
Job Description:
- Hire, train and manage every team member of the Sales team
- Establish the sales team’s goals and be able to achieve them 100%
- Develop annual sales quotas and targets"
5,,Territory Sales Manager,,,Pacesetter Sales & Associates,,Vancouver,Glassdoor,Sales Manager,,2022-03-31,,,,"Territory Manager – Safety Division – British Columbia. & Saskatchewan
Pacesetter Sales & Associates is an Independent Sales Agency representing manufacturers of industrial and safety products in Canada. Founded in 1992, Pacesetter has grown into a National Sales Agency with a strong reputation in the Canadian Marketplace. We have a team of both Territory Managers and Inside Sales Specialists located across the Country who focus on market penetration and growth for the manufacturers we represent.
Pacesetter Sales is currently seeking a Territory Manager, based in Vancouver, responsible for both British Columbia & Saskatchewan Provinces. We are looking to hire a highly organized, self-motivated individual who is looking to grow within our organization.
Why Work for Pacesetter Sales & Associates? We are a Canadian owned and operated small family business and we pride ourselves on bringing professionalism to Sales. We encourage an entrepreneurial spirit and believe that a great company should invest in their employee’s personal growth and development. Your success in this role will be incredibly meaningful as it will directly impact our business performance! Said differently; we succeed when you succeed. At our core we are; tenacious, ambitious, highly-organized, energetic, and fun!"
6,,Sales Manager,,,Kathbern Management/Specialty Gaskets Inc.,,Toronto,Glassdoor,Sales Manager,,2022-03-31,,,,"This is a unique career opportunity to lead the sales function for this entrepreneurial and growing organization.
The Company:
Specialty Gaskets Inc. (www.specialtygaskets.com) was founded in 1980 and since then it has earned preferred supplier status for leading manufacturers and heavy industrial users with high-temperature sealing, shielding and insulation applications. We are a Canadian company with production facilities in Mississauga and Montreal, serving industrial partners across North America.
The Position:
The Sales Manager is responsible for driving long-term revenue growth and for overseeing day-to-day sales operations and sales force management."
7,,Sales Manager,,,Aldesta Hotels / Saliance Global Holdings,,Vancouver,Glassdoor,Sales Manager,"$65,000 /yr (est.)",2022-03-31,,,,"About our company:
The mission of Aldesta Hotels is simple: to provide visitors with unique and unforgettable experiences of some of the most incredible destinations in the world. Our ambitions are even greater: to revolutionize the upscale travel experience, setting a benchmark for other hospitality organizations to aspire to.
Currently in a significant growth phase, particularly in its Canada and Australia operations, the Company requires a Sales Manager, located in the Vancouver Office to represent our Hotels/Resort in BC Canada and Heron Island, Australia. We are looking for an energetic professional to join our dynamic and diverse Team of Professionals.
We endeavor to exceed guest expectations and deliver outstanding products and hospitality services. We welcome thousands of guests each year, providing them with exceptional services and wonderful memories."
8,,Regional Sales Manager,,,Explorer Software Inc.,,Vancouver,Glassdoor,Sales Manager,,2022-03-31,,,,"REGIONAL SALES MANAGER
Career Opportunity
Explorer Software Group is a global provider of enterprise software solutions for construction accounting and project management. Through our global reach and targeted solutions, we solve the essential, industry-specific challenges contractors face in today’s competitive environment.
The Regional Sales Manager will be responsible for generating revenue by understanding and supporting the growth of our Eclipse software to new prospects and existing customers. Also, the Regional Sales Manager will develop additional business opportunities via self- generating leads for migration, cross-sell and add on opportunities.
If you are flexible, very self-motivated and thrive in a fast-paced team environment this remote based position is for you."
9,,Sales Manager,,,Confidential,,Toronto,Glassdoor,Sales Manager,"$125,000 /yr (est.)",2022-03-31,,,,"ABOUT US
Through innovation and a relentless commitment to deliver products and services that set the standard for reliability and durability, ABC Company is a recognized leader within the manufacturing, commercial, residential, and industrial construction market specializing in aluminum and glass railings.
As a result of continued growth, ABC Company has an opportunity for a Sales Manager join our team in Toronto, ON.
POSITION SUMMARY
The Sales Manager will be responsible for contracts across the Greater Toronto Area. The successful candidate will predominantly be on the road conducting site visits, developing relationships with key stakeholders, bidding on projects, and hosting visits for showroom tours and qualification. The role involves working with clients conceptualizing, planning, and preparing estimations and creative design proposals for presentation. In addition, you will work with the executive team in finding new opportunities that align with the corporate strategy, identify sales leads, and maintain relationships with current and new contacts. This role will provide you with support to obtain new leads and drive new sales. You are innovative, creative and a team player who is able to lead by example in a fast-paced, deadline-driven environment."
