,id,job_title,job_type,job_exp,company,industries,location,source,search_kw,expected_salary,post_date,job_function,remote,job_summary,description
0,,Outside Sales Representative,,,Moore & Russell Heating Ltd,,Vancouver,Glassdoor,Sales Representative,"$200,000 /yr (est.)",2022-03-05,,,,"If you are a results-driven sales professional, are interested in a career with a dynamic organization and ready to make a dramatic change in your earnings, join the Moore & Russell team! We are looking for Home Comfort Advisors who are true selling experts that understand the key to succeeding in sales is based on building relationships and finding creative solutions that are beneficial for all. The successful candidate must be a strong communicator who is able to quickly foster new relationships as well as rekindle past relationships. You have a thirst for continuous learning and development, always driving to deliver more value and achieve more sales.
Requirements: As a Home Comfort Advisor, you must be self-motivated and driven to exceed goals and expectations.You must also have:
Strong organizational, time-management and prioritization skills as well as solid analytical and problem solving abilities."
1,,Sales Account Representative,,,Uline,Logistics & Supply Chain,Vancouver,Glassdoor,Sales Representative,"$75,000 /yr (est.)",2022-03-05,,,,"Sales Account Representative
From $70,000 to $80,000 per year

Vancouver, BC
8255 N. Fraser Way, Unit 109, Burnaby, BC V3N 0B9

Curiosity meets passion! As an outside sales account representative with Uline, help our customers realize their business goals with product solutions you're proud to deliver.

Relocation opportunities across the country.

Position Responsibilities"
2,,Sales Representative,,,Spring Financial Inc.,,Vancouver,Glassdoor,Sales Representative,"$65,000 /yr (est.)",2022-03-05,,,,"Founded in 2014, Spring Financial has spent the last 6 years simplifying the lending process for millions of Canadians facing all types of financial circumstances. Spring offers a growing range of financial products and services which currently include personal loans, mortgages, credit cards and secured loans - all of which are made available to Canadians without having to visit a branch! Spring is part of the Canada Drives Group of Companies. Together, the Group provides services to over 1 million Canadians each year.

We are high-energy entrepreneurs who operate with a real sense of urgency. We have created some of the best in market products and sales processes allowing millions of Canadians to get access to financing online, via text or over the phone – all from the comfort of their own home! To learn more about our products please visit our website here: www.springfinancial.ca."
3,,Sales Representative,,,Active Business Services,,Scarborough,Glassdoor,Sales Representative,$50.00 /hr (est.),2022-03-05,,,,"Company: Active Business Services
Position: Sales Representative
Location: Scarborough, ON
**HIRING SALES & BUSINESS DEVELOPMENT REPS!! **EARN $2000/week, Bonuses**
Due to our expansion, Active Business Services is NOW ACCEPTING applications for Sales Representatives and Business Development Managers!!
We currently operate in Ontario, Quebec, and in late 2019 entered Alberta with aggressive growth targets. Candidates who demonstrate an ability to perform are given opportunities to grow within our team and expand their careers. If you think you have what it takes and want to talk directly with professionals who are living proof, then apply below and let’s set up a call to determine if the opportunity is a right fit."
4,,Inbound Sales Representative,,,Spring Financial Inc.,Lending,Vancouver,Glassdoor,Sales Representative,"$65,000 /yr (est.)",2022-03-05,,,,"Founded in 2014, Spring Financial has spent the last 6 years simplifying the lending process for millions of Canadians facing all types of financial circumstances. Spring offers a growing range of financial products and services which currently include personal loans, mortgages, credit cards and secured loans - all of which are made available to Canadians without having to visit a branch! Spring is part of the Canada Drives Group of Companies. Together, the Group provides services to over 1 million Canadians each year.

We are high-energy entrepreneurs who operate with a real sense of urgency. We have created some of the best in market products and sales processes allowing millions of Canadians to get access to financing online, via text or over the phone – all from the comfort of their own home! To learn more about our products please visit our website here: www.springfinancial.ca."
5,,Software Sales Representative,,,Eproval,,Vancouver,Glassdoor,Sales Representative,"$75,000 /yr (est.)",2022-03-05,,,,"WHO WE ARE
Eproval is a software-as-a-service (SaaS) company with extensive experience helping public agencies move processes online, automate workflows and streamline collaboration. Eproval's experienced team takes complex processes and makes them simpler and more efficient resulting in improved applicant, reviewer and approver satisfaction. For more information, visit us at https://eproval.com/
HOW CAN YOU HELP?
First, bring your can-do attitude. We can train on a lot of things, but it’s better if you come with a positive outlook. Next, consider what it’s going to be like reporting to the Managing Director. That’s like saying you’re going to be reporting to the top dog in a company that doesn’t believe in calling anyone CEO. By the same token, your title is going to be BD Rep, but you are going to be doing some pretty cool stuff with some big opportunities to shine."
6,,Junior Outside Sales Representative,,,Ply Gem Canada,Wood & Paper Manufacturing,Vancouver,Glassdoor,Sales Representative,"$60,000 /yr (est.)",2022-03-05,,,,"Who We Are
One Company. Hundreds of Products. Endless Possibilities. Ply Gem is North America's leading manufacturer of exterior building materials, including windows, siding, stone, and 40 other categories. At Ply Gem, we provide the nation's residential builders, remodelers and architects with access to a comprehensive range of building products. From new construction to repair, remodel and replacement, our full line of building products provide quality and value for all types of projects.
Ply Gem Canada is a growing company in the building products industry backed by Cornerstone Building Brands, providing us with stability and strength in the North American market. Cornerstone Building Brands is the largest manufacturer of vinyl windows in North America with brands you’ve come to know and trust. We have endless building product options from standard to specialty to customized to whatever you’re looking for. But it’s our service capabilities that sets us apart."
7,,Outside Sales Representative,,,The Greenspan Co./Adjusters International,,Vancouver,Glassdoor,Sales Representative,"$250,000 /yr (est.)",2022-03-05,,,,"Disaster Recovery Sales Professionals Needed
Every day, Public Adjusters help residential and commercial business owners navigate the often complex and tedious insurance claims process. Clients have suffered financial loss due to fire, earthquake, or anything else that might trigger a claim against an insurance policy. Our goal rests exclusively around making our clients financially whole again after a disaster. We employ decades of knowledge and claims-handling experience to maximize the financial outcome and minimize the headache for our valued clients.
If you'd like to be part of our team, we are seeking an Outside Sales Rep to call on potential clients, educate them about available options, and engage them to allow our experts to represent/advocate for them during the claims process.
Hiring Firm: Financial/Commercial Construction/Insurance/Legal Services. Nationally recognized, industry leader with A rating with BBB, Bay Area Business."
8,,Inside Sales Representative / Appointment Setter,,,Acorn Stairlifts (Canada) Inc.,Healthcare Product Manufacturing,Vancouver,Glassdoor,Sales Representative,"$65,000 /yr (est.)",2022-03-05,,,,"Inside Sales Representative / Appointment Setter
WE ARE SEEKING
We are seeking a qualified Appointment Setter Representative to promote products and services with new and existing clients. This candidate will also ensure bookings for in-home survey appointments for the Field Sales Representatives.
WHO WE ARE
Acorn is a fun and friendly environment where your work here matters. We pride ourselves in the care we give to support all of our customer’s needs!
Acorn Stairlifts Canada Inc., has become the leader in our industry. We are the largest supplier of stairlifts sold directly to our clients, and are the largest independent straight stairlifts manufacturer of the world. The key to our success is simple. We utilize Hi-tech systems and processes to ensure a simple to use; yet high quality product is produced."
9,,Sales Representative,,,Profit for Contractors,,Toronto,Glassdoor,Sales Representative,"$115,000 /yr (est.)",2022-03-05,,,,"Sales Superstars - Your Opportunity in an Unusual Industry
*
Application Form: https://forms.clickup.com/f/dfhmj-16647/X3JN9HS1EVJ18GKM34
If you’re someone DYNAMIC looking for your next career move, we have got a very cool opportunity. Over the last few years our business has grown by 50% plus year-on-year and we need a Sales Superstar so we can help more clients succeed with their businesses.
Profit For Contractors is a Canadian-based coaching company with an international reputation for making a difference in the lives of the owners of plumbing, electrical and similar construction-based service businesses across America, Canada, and beyond.
Our mission is to turn great tradespeople into great business owners!"
